model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,kin8nm,1,1,2,0.5,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,4,1,8,0.5,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,4,1,1,0.03125,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,1,1,4,0.125,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,8,1,1,0.125,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,4,4,2,0.0078125,0.060037703801490025,0.06032923715262456,12
cegb,breastcancer,1,1,1,0.0,0.6285714285714286,0.6228070175438597,3
cegb,breastcancer,8,8,1,0.0625,0.945054945054945,0.9385964912280702,24
cegb,kin8nm,16,1,1,0.5,0.069549434430087,0.0692052834536657,1
cegb,breastcancer,16,7,1,0.25,0.9340659340659341,0.9385964912280702,21
cegb,mushroom,1,1,2,0.5,0.5177719649176796,0.5187692307692308,1
cegb,kin8nm,32,1,2,0.5,0.069549434430087,0.0692052834536657,1
cegb,wine,1,7,2,0.5,0.4308254762362902,0.4592307692307692,7
cegb,kin8nm,8,1,2,0.03125,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,2,1,8,0.125,0.069549434430087,0.0692052834536657,1
cegb,wine,2,7,8,0.125,0.4308254762362902,0.4592307692307692,7
cegb,kin8nm,2,1,4,0.5,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,1,1,8,0.03125,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,16,1,4,0.03125,0.069549434430087,0.0692052834536657,1
cegb,breastcancer,16,16,2,0.0625,0.9626373626373627,0.956140350877193,74
cegb,breastcancer,8,8,2,0.015625,0.9626373626373627,0.956140350877193,54
cegb,kin8nm,32,1,4,0.125,0.069549434430087,0.0692052834536657,1
cegb,mushroom,4,1,8,0.5,0.5177719649176796,0.5187692307692308,1
cegb,kin8nm,2,2,1,0.0078125,0.06387940458607774,0.06389638654854636,6
cegb,kin8nm,16,1,2,0.125,0.069549434430087,0.0692052834536657,1
cegb,mushroom,2,2,8,0.125,0.9843052777350362,0.984,50
cegb,kin8nm,8,4,4,0.0078125,0.060037703801490025,0.06032923715262456,12
cegb,kin8nm,64,4,1,0.0078125,0.060037703801490025,0.06032923715262456,12
cegb,mushroom,4,4,2,0.0078125,0.9147561163255885,0.9101538461538462,28
cegb,mushroom,2,1,4,0.5,0.5177719649176796,0.5187692307692308,1
cegb,breastcancer,64,64,2,0.0,0.9956043956043956,0.956140350877193,448
cegb,breastcancer,64,7,4,0.25,0.9340659340659341,0.9385964912280702,21
cegb,mushroom,8,8,2,0.03125,0.966456377904293,0.9618461538461538,56
cegb,wine,2,14,1,0.0078125,0.4308254762362902,0.4592307692307692,40
cegb,breastcancer,1,1,4,0.0625,0.6285714285714286,0.6228070175438597,7
cegb,mushroom,1,1,8,0.03125,0.988767502692722,0.9883076923076923,31
cegb,california_housing,2,2,8,0.125,1.0773393462767025,1.0651283950453583,70
cegb,wine,16,7,1,0.5,0.4308254762362902,0.4592307692307692,7
cegb,mushroom,16,7,2,0.125,0.9241421757193414,0.916923076923077,41
cegb,wine,4,28,1,0.03125,0.4308254762362902,0.4592307692307692,44
cegb,mushroom,32,6,4,0.125,0.9713802123403601,0.9667692307692307,88
cegb,breastcancer,128,51,1,0.015625,0.9736263736263736,0.956140350877193,153
cegb,mushroom,16,16,8,0.0078125,0.9961532543468226,0.9932307692307693,476
cegb,mushroom,128,40,2,0.0078125,0.9870749346053239,0.9901538461538462,262
cegb,kin8nm,64,1,8,0.125,0.069549434430087,0.0692052834536657,1
cegb,kin8nm,256,1,1,0.125,0.069549434430087,0.0692052834536657,1
cegb,california_housing,4,4,1,0.03125,1.081822873157452,1.0793377451663573,12
cegb,wine,16,7,2,0.125,0.4308254762362902,0.4592307692307692,7
cegb,mushroom,16,1,1,0.5,0.5177719649176796,0.5187692307692308,1
cegb,wine,4,7,8,0.5,0.4308254762362902,0.4592307692307692,7
cegb,mushroom,2,2,1,0.0078125,0.7350361594091399,0.7206153846153847,6
cegb,mushroom,32,17,8,0.03125,0.9843052777350362,0.984,355
cegb,breastcancer,32,32,1,0.0,0.9692307692307692,0.956140350877193,96
cegb,wine,32,7,4,0.125,0.4308254762362902,0.4592307692307692,7
cegb,california_housing,64,64,1,0.0078125,0.530450102823005,0.5512564483829746,192
cegb,mushroom,8,8,4,0.0078125,0.9846130173872903,0.9803076923076923,146
cegb,kin8nm,256,1,2,0.03125,0.069549434430087,0.0692052834536657,1
