model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,memory_usage,max_memory,randomseed
lgbm_base,mushroom,1.0,1.0,2.0,0.0,1e+34,0.9,0.9144615384615384,3.0,896.0,2000,1
lgbm_base,mushroom,1.0,1.0,4.0,0.0,1e+34,0.9738461538461538,0.9766153846153848,15.0,3200.0,4000,1
lgbm_base,mushroom,1.0,1.0,8.0,0.0,1e+34,0.9892307692307692,0.9901538461538462,255.0,5760.0,8000,1
lgbm_base,mushroom,2.0,2.0,8.0,0.0,1e+34,0.9923076923076924,0.9938461538461538,510.0,12288.0,16000,1
lgbm_base,mushroom,2.0,2.0,8.0,0.0,1e+34,0.9923076923076924,0.9938461538461538,510.0,12288.0,32000,1
lgbm_base,mushroom,2.0,2.0,8.0,0.0,1e+34,0.9923076923076924,0.9938461538461538,510.0,12288.0,64000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,128000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,256000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,512000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,1024000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,2048000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,4096000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,8192000,1
lgbm_base,mushroom,32.0,32.0,4.0,0.0,1e+34,1.0,0.9969230769230768,480.0,109056.0,16384000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,2000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,4000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,8000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,16000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,32000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,64000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,128000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,256000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,512000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,1024000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,2048000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,4096000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,8192000,1
lgbm_quant,mushroom,1.0,1.0,2.0,0.0,1e+34,1.0,1.0,3.0,448.0,16384000,1
ccp,mushroom,1.0,1.0,4.0,0.0078125,1e+34,0.9184615384615384,0.9304615384615385,15.0,1664.0,2000,1
ccp,mushroom,1.0,1.0,4.0,0.0,1e+34,0.9769230769230768,0.9778461538461538,15.0,2944.0,4000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,8000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,16000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,32000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,64000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,128000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,256000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,512000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,1024000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,2048000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,4096000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,8192000,1
ccp,mushroom,1.0,1.0,8.0,0.0,1e+34,1.0,1.0,255.0,7808.0,16384000,1
cegb,mushroom,1.0,1.0,2.0,0.0,1e+34,0.9,0.9144615384615384,3.0,896.0,2000,1
cegb,mushroom,1.0,1.0,8.0,0.03125,1e+34,0.9892307692307692,0.9938461538461538,255.0,3968.0,4000,1
