no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
4.0,3.0,10.0,51.0,36.0,2147.0,3632.0,0.0,0.0,0.9473684210526315,2.0,1.0
4.0,5.0,11.0,57.0,39.0,3563.0,3968.0,0.0,0.0,0.9473684210526315,2.0,1.0
4.0,7.0,11.0,57.0,39.0,8363.0,3968.0,0.0,0.0,0.9473684210526315,2.0,1.0
9.0,3.0,15.0,95.0,68.0,4111.0,6816.0,0.0,0.0,0.956140350877193,2.0,1.0
9.0,5.0,15.0,109.0,77.0,7227.0,7824.0,0.0,0.0,0.956140350877193,2.0,1.0
9.0,7.0,15.0,109.0,77.0,17787.0,7824.0,0.0,0.0,0.956140350877193,2.0,1.0
14.0,3.0,16.0,134.0,97.0,5864.0,9664.0,0.0,0.0,0.956140350877193,2.0,1.0
14.0,5.0,20.0,159.0,117.0,11105.0,11904.0,0.0,0.0,0.956140350877193,2.0,1.0
14.0,7.0,20.0,159.0,117.0,28385.0,11904.0,0.0,0.0,0.956140350877193,2.0,1.0
19.0,3.0,18.0,170.0,125.0,7653.0,12400.0,0.0,0.0,0.956140350877193,2.0,1.0
19.0,5.0,24.0,211.0,157.0,15418.0,15984.0,0.0,0.0,0.956140350877193,2.0,1.0
19.0,7.0,24.0,211.0,157.0,40378.0,15984.0,0.0,0.0,0.956140350877193,2.0,1.0
29.0,3.0,22.0,241.0,183.0,11182.0,18096.0,0.0,0.0,0.956140350877193,2.0,1.0
29.0,5.0,28.0,289.0,226.0,22166.0,22912.0,0.0,0.0,0.956140350877193,2.0,1.0
29.0,7.0,28.0,289.0,226.0,59606.0,22912.0,0.0,0.0,0.956140350877193,2.0,1.0
39.0,3.0,22.0,294.0,229.0,13936.0,22448.0,0.0,0.0,0.956140350877193,2.0,1.0
39.0,5.0,28.0,339.0,273.0,29218.0,27376.0,0.0,0.0,0.956140350877193,2.0,1.0
39.0,7.0,28.0,342.0,274.0,83075.0,27488.0,0.0,0.0,0.956140350877193,2.0,1.0
49.0,3.0,24.0,340.0,269.0,16829.0,26128.0,0.0,0.0,0.956140350877193,2.0,1.0
47.0,5.0,28.0,365.0,297.0,33626.0,29424.0,0.0,0.0,0.956140350877193,2.0,1.0
46.0,7.0,28.0,364.0,295.0,96317.0,29280.0,0.0,0.0,0.956140350877193,2.0,1.0
49.0,3.0,24.0,340.0,269.0,16829.0,26128.0,0.0,0.0,0.956140350877193,2.0,1.0
47.0,5.0,28.0,365.0,297.0,33626.0,29424.0,0.0,0.0,0.956140350877193,2.0,1.0
46.0,7.0,28.0,364.0,295.0,96317.0,29280.0,0.0,0.0,0.956140350877193,2.0,1.0
49.0,3.0,24.0,340.0,269.0,16829.0,26128.0,0.0,0.0,0.956140350877193,2.0,1.0
47.0,5.0,28.0,365.0,297.0,33626.0,29424.0,0.0,0.0,0.956140350877193,2.0,1.0
46.0,7.0,28.0,364.0,295.0,96317.0,29280.0,0.0,0.0,0.956140350877193,2.0,1.0
4.0,3.0,8.0,41.0,29.0,1723.0,2848.0,0.0,0.0,0.9385964912280702,4.0,1.0
4.0,5.0,9.0,47.0,32.0,3054.0,3184.0,0.0,0.0,0.9385964912280702,4.0,1.0
4.0,7.0,9.0,47.0,32.0,7374.0,3184.0,0.0,0.0,0.9385964912280702,4.0,1.0
9.0,3.0,10.0,78.0,57.0,3415.0,5584.0,0.0,0.0,0.956140350877193,4.0,1.0
9.0,5.0,11.0,88.0,63.0,6157.0,6256.0,0.0,0.0,0.956140350877193,4.0,1.0
9.0,7.0,11.0,88.0,63.0,15757.0,6256.0,0.0,0.0,0.956140350877193,4.0,1.0
14.0,3.0,12.0,117.0,86.0,5240.0,8432.0,0.0,0.0,0.956140350877193,4.0,1.0
14.0,5.0,15.0,135.0,96.0,9814.0,9552.0,0.0,0.0,0.956140350877193,4.0,1.0
14.0,7.0,15.0,135.0,96.0,25654.0,9552.0,0.0,0.0,0.956140350877193,4.0,1.0
19.0,3.0,15.0,149.0,113.0,6759.0,11056.0,0.0,0.0,0.9649122807017544,4.0,1.0
19.0,5.0,15.0,165.0,126.0,12559.0,12512.0,0.0,0.0,0.956140350877193,4.0,1.0
19.0,7.0,15.0,165.0,126.0,33679.0,12512.0,0.0,0.0,0.956140350877193,4.0,1.0
29.0,3.0,19.0,205.0,159.0,9963.0,15408.0,0.0,0.0,0.956140350877193,4.0,1.0
29.0,5.0,18.0,220.0,173.0,19807.0,16976.0,0.0,0.0,0.9649122807017544,4.0,1.0
29.0,7.0,18.0,220.0,173.0,57247.0,16976.0,0.0,0.0,0.9649122807017544,4.0,1.0
39.0,3.0,19.0,244.0,192.0,12256.0,18304.0,0.0,0.0,0.956140350877193,4.0,1.0
39.0,5.0,18.0,255.0,203.0,25132.0,19536.0,0.0,0.0,0.956140350877193,4.0,1.0
39.0,7.0,18.0,255.0,203.0,75052.0,19536.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,3.0,19.0,252.0,198.0,12816.0,18736.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,5.0,18.0,262.0,209.0,26596.0,19968.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,7.0,18.0,262.0,209.0,80260.0,19968.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,3.0,19.0,252.0,198.0,12816.0,18736.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,5.0,18.0,262.0,209.0,26596.0,19968.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,7.0,18.0,262.0,209.0,80260.0,19968.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,3.0,19.0,252.0,198.0,12816.0,18736.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,5.0,18.0,262.0,209.0,26596.0,19968.0,0.0,0.0,0.956140350877193,4.0,1.0
42.0,7.0,18.0,262.0,209.0,80260.0,19968.0,0.0,0.0,0.956140350877193,4.0,1.0
