no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
9.0,3.0,16.0,101.0,72.0,4319.0,7264.0,0.0,0.0,0.956140350877193,0.000976562,0.000976562
9.0,5.0,19.0,138.0,104.0,8461.0,10848.0,0.0,0.0,0.956140350877193,0.000976562,0.000976562
9.0,7.0,19.0,138.0,104.0,19981.0,10848.0,0.0,0.0,0.956140350877193,0.000976562,0.000976562
63.0,3.0,29.0,474.0,387.0,22840.0,38224.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,5.0,31.0,551.0,454.0,43143.0,46448.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,7.0,30.0,553.0,458.0,117025.0,46896.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
63.0,3.0,29.0,474.0,387.0,22840.0,38224.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,5.0,31.0,551.0,454.0,43143.0,46448.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,7.0,30.0,553.0,458.0,117025.0,46896.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
63.0,3.0,29.0,474.0,387.0,22840.0,38224.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,5.0,31.0,551.0,454.0,43143.0,46448.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,7.0,30.0,553.0,458.0,117025.0,46896.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
63.0,3.0,29.0,474.0,387.0,22840.0,38224.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,5.0,31.0,551.0,454.0,43143.0,46448.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
54.0,7.0,30.0,553.0,458.0,117025.0,46896.0,0.0,0.0,0.9649122807017544,0.000976562,0.000976562
14.0,3.0,17.0,144.0,105.0,6280.0,10560.0,0.0,0.0,0.956140350877193,0.000976562,0.000976562
14.0,5.0,26.0,207.0,152.0,13234.0,15824.0,0.0,0.0,0.956140350877193,0.000976562,0.000976562
