no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
0.0,3.0,0.0,0.0,8.0,0.0,816.0,0.0,0.0,0.6228070175438597,0.0,0.0
0.0,5.0,0.0,0.0,13.0,0.0,1376.0,0.0,0.0,0.6228070175438597,0.0,0.0
0.0,7.0,0.0,0.0,14.0,0.0,1488.0,0.0,0.0,0.6228070175438597,0.0,0.0
1.0,3.0,0.0,0.0,15.0,0.0,1520.0,0.0,0.0,0.6228070175438597,0.0,0.0
1.0,5.0,0.0,0.0,25.0,0.0,2640.0,0.0,0.0,0.6228070175438597,0.0,0.0
1.0,7.0,0.0,0.0,27.0,0.0,2864.0,0.0,0.0,0.6228070175438597,0.0,0.0
2.0,3.0,0.0,0.0,22.0,0.0,2224.0,0.0,0.0,0.9385964912280702,0.0,0.0
2.0,5.0,0.0,0.0,37.0,0.0,3904.0,0.0,0.0,0.9385964912280702,0.0,0.0
2.0,7.0,0.0,0.0,43.0,0.0,4576.0,0.0,0.0,0.9385964912280702,0.0,0.0
3.0,3.0,0.0,0.0,30.0,0.0,3040.0,0.0,0.0,0.9298245614035088,0.0,0.0
3.0,5.0,0.0,0.0,51.0,0.0,5392.0,0.0,0.0,0.9298245614035088,0.0,0.0
3.0,7.0,0.0,0.0,62.0,0.0,6624.0,0.0,0.0,0.9298245614035088,0.0,0.0
4.0,3.0,0.0,0.0,37.0,0.0,3744.0,0.0,0.0,0.9385964912280702,0.0,0.0
4.0,5.0,0.0,0.0,63.0,0.0,6656.0,0.0,0.0,0.9385964912280702,0.0,0.0
4.0,7.0,0.0,0.0,79.0,0.0,8448.0,0.0,0.0,0.9385964912280702,0.0,0.0
5.0,3.0,0.0,0.0,44.0,0.0,4448.0,0.0,0.0,0.9385964912280702,0.0,0.0
5.0,5.0,0.0,0.0,76.0,0.0,8032.0,0.0,0.0,0.9385964912280702,0.0,0.0
5.0,7.0,0.0,0.0,97.0,0.0,10384.0,0.0,0.0,0.9385964912280702,0.0,0.0
6.0,3.0,0.0,0.0,51.0,0.0,5152.0,0.0,0.0,0.9473684210526315,0.0,0.0
6.0,5.0,0.0,0.0,88.0,0.0,9296.0,0.0,0.0,0.9473684210526315,0.0,0.0
6.0,7.0,0.0,0.0,113.0,0.0,12096.0,0.0,0.0,0.9473684210526315,0.0,0.0
7.0,3.0,0.0,0.0,58.0,0.0,5856.0,0.0,0.0,0.9473684210526315,0.0,0.0
7.0,5.0,0.0,0.0,101.0,0.0,10672.0,0.0,0.0,0.9473684210526315,0.0,0.0
7.0,7.0,0.0,0.0,133.0,0.0,14256.0,0.0,0.0,0.9473684210526315,0.0,0.0
8.0,3.0,0.0,0.0,65.0,0.0,6560.0,0.0,0.0,0.956140350877193,0.0,0.0
8.0,5.0,0.0,0.0,115.0,0.0,12160.0,0.0,0.0,0.956140350877193,0.0,0.0
8.0,7.0,0.0,0.0,151.0,0.0,16192.0,0.0,0.0,0.956140350877193,0.0,0.0
9.0,3.0,0.0,0.0,72.0,0.0,7264.0,0.0,0.0,0.956140350877193,0.0,0.0
9.0,5.0,0.0,0.0,129.0,0.0,13648.0,0.0,0.0,0.956140350877193,0.0,0.0
9.0,7.0,0.0,0.0,170.0,0.0,18240.0,0.0,0.0,0.956140350877193,0.0,0.0
14.0,3.0,0.0,0.0,107.0,0.0,10784.0,0.0,0.0,0.956140350877193,0.0,0.0
14.0,5.0,0.0,0.0,197.0,0.0,20864.0,0.0,0.0,0.956140350877193,0.0,0.0
14.0,7.0,0.0,0.0,256.0,0.0,27472.0,0.0,0.0,0.956140350877193,0.0,0.0
19.0,3.0,0.0,0.0,143.0,0.0,14416.0,0.0,0.0,0.956140350877193,0.0,0.0
19.0,5.0,0.0,0.0,270.0,0.0,28640.0,0.0,0.0,0.956140350877193,0.0,0.0
19.0,7.0,0.0,0.0,352.0,0.0,37824.0,0.0,0.0,0.956140350877193,0.0,0.0
29.0,3.0,0.0,0.0,213.0,0.0,21456.0,0.0,0.0,0.9649122807017544,0.0,0.0
29.0,5.0,0.0,0.0,411.0,0.0,43632.0,0.0,0.0,0.956140350877193,0.0,0.0
29.0,7.0,0.0,0.0,555.0,0.0,59760.0,0.0,0.0,0.956140350877193,0.0,0.0
39.0,3.0,0.0,0.0,286.0,0.0,28832.0,0.0,0.0,0.956140350877193,0.0,0.0
39.0,5.0,0.0,0.0,567.0,0.0,60304.0,0.0,0.0,0.9736842105263158,0.0,0.0
39.0,7.0,0.0,0.0,791.0,0.0,85392.0,0.0,0.0,0.956140350877193,0.0,0.0
49.0,3.0,0.0,0.0,358.0,0.0,36096.0,0.0,0.0,0.956140350877193,0.0,0.0
49.0,5.0,0.0,0.0,722.0,0.0,76864.0,0.0,0.0,0.9736842105263158,0.0,0.0
49.0,7.0,0.0,0.0,1041.0,0.0,112592.0,0.0,0.0,0.956140350877193,0.0,0.0
99.0,3.0,0.0,0.0,715.0,0.0,72080.0,0.0,0.0,0.956140350877193,0.0,0.0
99.0,5.0,0.0,0.0,1554.0,0.0,166048.0,0.0,0.0,0.9649122807017544,0.0,0.0
99.0,7.0,0.0,0.0,2364.0,0.0,256768.0,0.0,0.0,0.9736842105263158,0.0,0.0
