no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
5.0,5.0,3.0,11.0,55.0,37.0,1987.0,5280.0,0.9385964912280702,0.0,0.000976562
5.0,5.0,5.0,17.0,90.0,60.0,3489.0,8960.0,0.9385964912280702,0.0,0.000976562
25.0,25.0,3.0,23.0,251.0,177.0,8798.0,25120.0,0.956140350877193,0.0,0.000976562
25.0,25.0,5.0,30.0,474.0,340.0,16966.0,51200.0,0.956140350877193,0.0,0.000976562
50.0,50.0,3.0,30.0,484.0,359.0,16930.0,51040.0,0.956140350877193,0.0,0.000976562
50.0,50.0,5.0,31.0,935.0,699.0,33315.0,105440.0,0.9649122807017544,0.0,0.000976562
100.0,100.0,3.0,31.0,914.0,717.0,31937.0,101920.0,0.956140350877193,0.0,0.000976562
100.0,100.0,5.0,31.0,1833.0,1508.0,65549.0,228480.0,0.9649122807017544,0.0,0.000976562
415.0,1000.0,3.0,31.0,2260.0,2027.0,78673.0,271200.0,0.9736842105263158,0.0,0.000976562
306.0,1000.0,5.0,31.0,2777.0,2449.0,98865.0,352672.0,0.9649122807017544,0.0,0.000976562
100.0,100.0,3.0,31.0,909.0,721.0,31860.0,102560.0,0.956140350877193,0.0,0.00195312
611.0,1000.0,3.0,31.0,2573.0,2354.0,89297.0,298432.0,0.9736842105263158,0.0,0.00195312
100.0,100.0,3.0,31.0,898.0,714.0,31395.0,101440.0,0.956140350877193,0.0,0.00390625
398.0,1000.0,3.0,31.0,2155.0,1953.0,74993.0,261536.0,0.9649122807017544,0.0,0.00390625
100.0,100.0,3.0,31.0,891.0,710.0,31139.0,100800.0,0.956140350877193,0.0,0.0078125
409.0,1000.0,3.0,31.0,2158.0,1971.0,74965.0,263008.0,0.9736842105263158,0.0,0.0078125
100.0,100.0,3.0,31.0,842.0,692.0,29351.0,97920.0,0.956140350877193,0.0,0.015625
343.0,1000.0,3.0,31.0,2033.0,1877.0,70585.0,256416.0,0.9649122807017544,0.0,0.015625
5.0,5.0,3.0,11.0,55.0,37.0,1987.0,5280.0,0.9385964912280702,0.0,0.03125
5.0,5.0,5.0,16.0,82.0,56.0,3200.0,8320.0,0.9385964912280702,0.0,0.03125
25.0,25.0,3.0,21.0,248.0,177.0,8689.0,25120.0,0.956140350877193,0.0,0.03125
25.0,25.0,5.0,30.0,419.0,321.0,15088.0,48160.0,0.956140350877193,0.0,0.03125
50.0,50.0,3.0,27.0,466.0,354.0,16251.0,50240.0,0.956140350877193,0.0,0.03125
50.0,50.0,5.0,31.0,849.0,669.0,30264.0,100640.0,0.9649122807017544,0.0,0.03125
100.0,100.0,3.0,29.0,855.0,709.0,29799.0,100640.0,0.956140350877193,0.0,0.03125
100.0,100.0,5.0,31.0,1618.0,1420.0,57405.0,214400.0,0.9736842105263158,0.0,0.03125
363.0,1000.0,3.0,29.0,2091.0,1942.0,72272.0,264256.0,0.9649122807017544,0.0,0.03125
213.0,1000.0,5.0,31.0,2453.0,2255.0,86669.0,333536.0,0.9736842105263158,0.0,0.03125
100.0,100.0,3.0,29.0,825.0,695.0,28634.0,98400.0,0.956140350877193,0.0,0.0625
279.0,1000.0,3.0,29.0,1889.0,1758.0,65272.0,245568.0,0.9649122807017544,0.0,0.0625
100.0,100.0,3.0,26.0,792.0,683.0,27617.0,96480.0,0.956140350877193,0.0,0.125
307.0,1000.0,3.0,26.0,1955.0,1846.0,67633.0,256064.0,0.9649122807017544,0.0,0.125
100.0,100.0,3.0,23.0,802.0,706.0,27786.0,100160.0,0.9649122807017544,0.0,0.25
301.0,1000.0,3.0,23.0,1920.0,1824.0,66060.0,253312.0,0.9649122807017544,0.0,0.25
100.0,100.0,3.0,20.0,758.0,684.0,26108.0,96640.0,0.9649122807017544,0.0,0.5
120.0,1000.0,3.0,20.0,894.0,820.0,30747.0,115840.0,0.9649122807017544,0.0,0.5
5.0,5.0,3.0,10.0,55.0,37.0,1977.0,5280.0,0.9298245614035088,0.0,1.0
5.0,5.0,5.0,10.0,65.0,44.0,2565.0,6400.0,0.9385964912280702,0.0,1.0
25.0,25.0,3.0,18.0,217.0,173.0,7575.0,24480.0,0.956140350877193,0.0,1.0
25.0,25.0,5.0,21.0,305.0,249.0,10938.0,36640.0,0.956140350877193,0.0,1.0
50.0,50.0,3.0,22.0,388.0,330.0,13354.0,46400.0,0.956140350877193,0.0,1.0
