no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
4,3,11,53,37,2223,3744,0,0,0.9385964912280702,0.000976562,0.000976562,5
4,5,16,76,53,4185,5536,0,0,0.9385964912280702,0.000976562,0.000976562,5
4,7,16,76,53,8985,5536,0,0,0.9385964912280702,0.000976562,0.000976562,5
9,3,16,101,72,4319,7264,0,0,0.956140351,0.000976562,0.000976562,10
9,5,19,138,104,8461,10848,0,0,0.956140351,0.000976562,0.000976562,10
9,7,19,138,104,19981,10848,0,0,0.956140351,0.000976562,0.000976562,10
14,3,17,144,105,6280,10560,0,0,0.956140351,0.000976562,0.000976562,15
14,5,26,207,152,13234,15824,0,0,0.956140351,0.000976562,0.000976562,15
14,7,26,207,152,31954,15824,0,0,0.956140351,0.000976562,0.000976562,15
19,3,19,184,138,8250,13856,0,0,0.956140351,0.000976562,0.000976562,20
19,5,28,275,207,17534,21584,0,0,0.956140351,0.000976562,0.000976562,20
19,7,28,275,207,42494,21584,0,0,0.956140351,0.000976562,0.000976562,20
29,3,23,256,198,11726,19776,0,0,0.956140351,0.000976562,0.000976562,30
29,5,29,368,293,25728,30416,0,0,0.9649122807017544,0.000976562,0.000976562,30
29,7,29,371,295,66152,30640,0,0,0.9649122807017544,0.000976562,0.000976562,30
39,3,26,333,259,15600,25808,0,0,0.956140351,0.000976562,0.000976562,40
39,5,31,464,376,33446,38912,0,0,0.9736842105263158,0.000976562,0.000976562,40
39,7,30,472,384,87460,39808,0,0,0.9649122807017544,0.000976562,0.000976562,40
49,3,29,402,320,18968,31840,0,0,0.956140351,0.000976562,0.000976562,50
49,5,31,532,436,40268,44832,0,0,0.9649122807017544,0.000976562,0.000976562,50
49,7,30,535,441,107485,45392,0,0,0.9649122807017544,0.000976562,0.000976562,50
63,3,29,474,387,22840,38224,0,0,0.9649122807017544,0.000976562,0.000976562,100
54,5,31,551,454,43143,46448,0,0,0.9649122807017544,0.000976562,0.000976562,100
54,7,30,553,458,117025,46896,0,0,0.9649122807017544,0.000976562,0.000976562,100
