no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
9.0,3.0,8.0,135.0,80.0,5452.0,8160.0,0.0,0.809202,0.5003025352562338,0.000976562,0.000976562,10
9.0,5.0,9.0,496.0,314.0,21682.0,34368.0,0.0,0.736161,0.5864395034988588,0.000976562,0.000976562,10
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,10
99.0,3.0,9.0,1090.0,788.0,49811.0,80256.0,0.0,0.540922,0.7767131579887105,0.000976562,0.000976562,100
32.0,5.0,9.0,1410.0,982.0,66081.0,107344.0,0.0,0.550278,0.7689225682072532,0.000976562,0.000976562,100
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,100
130.0,3.0,9.0,1388.0,1023.0,64331.0,104096.0,0.0,0.524635,0.7899572142711718,0.000976562,0.000976562,1000
32.0,5.0,9.0,1410.0,982.0,66081.0,107344.0,0.0,0.550278,0.7689225682072532,0.000976562,0.000976562,1000
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,1000
130.0,3.0,9.0,1388.0,1023.0,64331.0,104096.0,0.0,0.524635,0.7899572142711718,0.000976562,0.000976562,10000
32.0,5.0,9.0,1410.0,982.0,66081.0,107344.0,0.0,0.550278,0.7689225682072532,0.000976562,0.000976562,10000
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,10000
130.0,3.0,9.0,1388.0,1023.0,64331.0,104096.0,0.0,0.524635,0.7899572142711718,0.000976562,0.000976562,100000
32.0,5.0,9.0,1410.0,982.0,66081.0,107344.0,0.0,0.550278,0.7689225682072532,0.000976562,0.000976562,100000
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,100000
14.0,3.0,8.0,199.0,120.0,8112.0,12240.0,0.0,0.746711,0.5745012526614608,0.000976562,0.000976562,15
14.0,5.0,9.0,714.0,468.0,31673.0,51216.0,0.0,0.662537,0.6650238195234843,0.000976562,0.000976562,15
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,15
19.0,3.0,8.0,261.0,160.0,10819.0,16320.0,0.0,0.703327,0.6225075302596457,0.000976562,0.000976562,20
19.0,5.0,9.0,943.0,626.0,42586.0,68512.0,0.0,0.61822,0.7083387161913242,0.000976562,0.000976562,20
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,20
130.0,3.0,9.0,1388.0,1023.0,64331.0,104096.0,0.0,0.524635,0.7899572142711718,0.000976562,0.000976562,200
32.0,5.0,9.0,1410.0,982.0,66081.0,107344.0,0.0,0.550278,0.7689225682072532,0.000976562,0.000976562,200
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,200
29.0,3.0,8.0,370.0,240.0,15552.0,24480.0,0.0,0.62945,0.6976459114109286,0.000976562,0.000976562,30
29.0,5.0,9.0,1323.0,913.0,61479.0,99856.0,0.0,0.55987,0.7607965399864256,0.000976562,0.000976562,30
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,30
39.0,3.0,9.0,486.0,320.0,21058.0,32640.0,0.0,0.600566,0.7247583208794526,0.000976562,0.000976562,40
32.0,5.0,9.0,1410.0,982.0,66081.0,107344.0,0.0,0.550278,0.7689225682072532,0.000976562,0.000976562,40
8.0,7.0,9.0,1479.0,1005.0,70032.0,111840.0,0.0,0.711541,0.613639791334327,0.000976562,0.000976562,40
4.0,3.0,6.0,71.0,40.0,2797.0,4080.0,0.0,0.920555,0.35331547727421786,0.000976562,0.000976562,5
