no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
0.0,3.0,0.0,0.0,8.0,0.0,816.0,0.0,0.0,0.09835018185037903,0.0,0.0
0.0,5.0,0.0,0.0,32.0,0.0,3504.0,0.0,0.0,0.11711058158942433,0.0,0.0
0.0,7.0,0.0,0.0,120.0,0.0,13360.0,0.0,0.0,0.12810151539628367,0.0,0.0
1.0,3.0,0.0,0.0,16.0,0.0,1632.0,0.0,0.0,0.1792942636803604,0.0,0.0
1.0,5.0,0.0,0.0,63.0,0.0,6896.0,0.0,0.0,0.21363085571359852,0.0,0.0
1.0,7.0,0.0,0.0,237.0,0.0,26384.0,0.0,0.0,0.23713190380080873,0.0,0.0
2.0,3.0,0.0,0.0,24.0,0.0,2448.0,0.0,0.0,0.24978339637942526,0.0,0.0
2.0,5.0,0.0,0.0,95.0,0.0,10400.0,0.0,0.0,0.29259054946987195,0.0,0.0
2.0,7.0,0.0,0.0,357.0,0.0,39744.0,0.0,0.0,0.3255963584070233,0.0,0.0
3.0,3.0,0.0,0.0,32.0,0.0,3264.0,0.0,0.0,0.30570558341316834,0.0,0.0
3.0,5.0,0.0,0.0,126.0,0.0,13792.0,0.0,0.0,0.35860401768272154,0.0,0.0
3.0,7.0,0.0,0.0,475.0,0.0,52880.0,0.0,0.0,0.3966636302358153,0.0,0.0
4.0,3.0,0.0,0.0,40.0,0.0,4080.0,0.0,0.0,0.35331547727421786,0.0,0.0
4.0,5.0,0.0,0.0,157.0,0.0,17184.0,0.0,0.0,0.4145778727431908,0.0,0.0
4.0,7.0,0.0,0.0,591.0,0.0,65792.0,0.0,0.0,0.45754149607481087,0.0,0.0
5.0,3.0,0.0,0.0,48.0,0.0,4896.0,0.0,0.0,0.391824725508628,0.0,0.0
5.0,5.0,0.0,0.0,189.0,0.0,20688.0,0.0,0.0,0.4629730872527722,0.0,0.0
5.0,7.0,0.0,0.0,703.0,0.0,78256.0,0.0,0.0,0.5084058617645062,0.0,0.0
6.0,3.0,0.0,0.0,56.0,0.0,5712.0,0.0,0.0,0.4257735435687543,0.0,0.0
6.0,5.0,0.0,0.0,221.0,0.0,24192.0,0.0,0.0,0.5017404352774173,0.0,0.0
6.0,7.0,0.0,0.0,822.0,0.0,91504.0,0.0,0.0,0.5521875319807785,0.0,0.0
7.0,3.0,0.0,0.0,64.0,0.0,6528.0,0.0,0.0,0.4563549585860929,0.0,0.0
7.0,5.0,0.0,0.0,252.0,0.0,27584.0,0.0,0.0,0.5347302525446762,0.0,0.0
7.0,7.0,0.0,0.0,934.0,0.0,103968.0,0.0,0.0,0.5856496054081499,0.0,0.0
8.0,3.0,0.0,0.0,72.0,0.0,7344.0,0.0,0.0,0.48079068977454265,0.0,0.0
8.0,5.0,0.0,0.0,283.0,0.0,30976.0,0.0,0.0,0.5622201403937757,0.0,0.0
8.0,7.0,0.0,0.0,1044.0,0.0,116208.0,0.0,0.0,0.6134760929526878,0.0,0.0
9.0,3.0,0.0,0.0,80.0,0.0,8160.0,0.0,0.0,0.5003025352562338,0.0,0.0
9.0,5.0,0.0,0.0,314.0,0.0,34368.0,0.0,0.0,0.5864395034988588,0.0,0.0
9.0,7.0,0.0,0.0,1155.0,0.0,128560.0,0.0,0.0,0.6367053817475399,0.0,0.0
14.0,3.0,0.0,0.0,120.0,0.0,12240.0,0.0,0.0,0.5745012526614608,0.0,0.0
14.0,5.0,0.0,0.0,470.0,0.0,51440.0,0.0,0.0,0.6650392464687802,0.0,0.0
14.0,7.0,0.0,0.0,1687.0,0.0,187744.0,0.0,0.0,0.7141032116807184,0.0,0.0
19.0,3.0,0.0,0.0,160.0,0.0,16320.0,0.0,0.0,0.6225075302596457,0.0,0.0
19.0,5.0,0.0,0.0,629.0,0.0,68848.0,0.0,0.0,0.7083377986690484,0.0,0.0
19.0,7.0,0.0,0.0,2198.0,0.0,244576.0,0.0,0.0,0.7544470332786773,0.0,0.0
29.0,3.0,0.0,0.0,240.0,0.0,24480.0,0.0,0.0,0.6976459114109286,0.0,0.0
29.0,5.0,0.0,0.0,928.0,0.0,101536.0,0.0,0.0,0.7608560075850048,0.0,0.0
29.0,7.0,0.0,0.0,3134.0,0.0,348608.0,0.0,0.0,0.7916813454610906,0.0,0.0
39.0,3.0,0.0,0.0,320.0,0.0,32640.0,0.0,0.0,0.7247583208794526,0.0,0.0
39.0,5.0,0.0,0.0,1219.0,0.0,133328.0,0.0,0.0,0.7824437994053052,0.0,0.0
39.0,7.0,0.0,0.0,3996.0,0.0,444352.0,0.0,0.0,0.810865655454668,0.0,0.0
49.0,3.0,0.0,0.0,400.0,0.0,40800.0,0.0,0.0,0.7438935537500916,0.0,0.0
49.0,5.0,0.0,0.0,1517.0,0.0,165904.0,0.0,0.0,0.7940925322203123,0.0,0.0
49.0,7.0,0.0,0.0,4709.0,0.0,523408.0,0.0,0.0,0.8183490182897102,0.0,0.0
99.0,3.0,0.0,0.0,796.0,0.0,81152.0,0.0,0.0,0.7774319352794572,0.0,0.0
99.0,5.0,0.0,0.0,2867.0,0.0,313104.0,0.0,0.0,0.8185982045615819,0.0,0.0
99.0,7.0,0.0,0.0,8233.0,0.0,914096.0,0.0,0.0,0.8346256577643839,0.0,0.0
