no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
5.0,5.0,3.0,6.0,71.0,40.0,2521.0,5760.0,0.35331547727421786,0.0,0.000976562
5.0,5.0,5.0,9.0,267.0,157.0,9178.0,24480.0,0.4145778727431908,0.0,0.000976562
25.0,25.0,3.0,8.0,318.0,200.0,10720.0,28800.0,0.6683846389435515,0.0,0.000976562
25.0,25.0,5.0,9.0,1169.0,779.0,40651.0,121440.0,0.7401641545903661,0.0,0.000976562
50.0,50.0,3.0,9.0,599.0,400.0,20039.0,57600.0,0.7438935537500916,0.0,0.000976562
50.0,50.0,5.0,9.0,2152.0,1517.0,75647.0,236320.0,0.7940925322203123,0.0,0.000976562
100.0,100.0,3.0,9.0,1106.0,796.0,37844.0,114560.0,0.7774319352794572,0.0,0.000976562
100.0,100.0,5.0,9.0,3879.0,2890.0,140722.0,449600.0,0.818954729905249,0.0,0.000976562
1000.0,1000.0,3.0,9.0,9065.0,7881.0,337781.0,1132960.0,0.8414433964656426,0.0,0.000976562
1000.0,1000.0,5.0,9.0,27996.0,26182.0,1085741.0,4061120.0,0.8535637005132333,0.0,0.000976562
100.0,100.0,3.0,9.0,1120.0,796.0,38332.0,114560.0,0.7786284748250453,0.0,0.00195312
1000.0,1000.0,3.0,9.0,9084.0,7894.0,338337.0,1135040.0,0.8416394512557613,0.0,0.00195312
100.0,100.0,3.0,9.0,1115.0,795.0,38065.0,114400.0,0.7773395956749427,0.0,0.00390625
1000.0,1000.0,3.0,9.0,9044.0,7877.0,336845.0,1132320.0,0.8412055164366047,0.0,0.00390625
100.0,100.0,3.0,9.0,1115.0,795.0,38065.0,114400.0,0.7773395956749427,0.0,0.0078125
1000.0,1000.0,3.0,9.0,9074.0,7892.0,337920.0,1134720.0,0.8423596887702107,0.0,0.0078125
100.0,100.0,3.0,9.0,1115.0,795.0,38065.0,114400.0,0.7773395956749427,0.0,0.015625
1000.0,1000.0,3.0,9.0,9054.0,7890.0,336858.0,1134400.0,0.841919437530098,0.0,0.015625
5.0,5.0,3.0,6.0,71.0,40.0,2521.0,5760.0,0.35331547727421786,0.0,0.03125
5.0,5.0,5.0,9.0,267.0,157.0,9178.0,24480.0,0.4145778727431908,0.0,0.03125
25.0,25.0,3.0,8.0,318.0,200.0,10720.0,28800.0,0.6683846389435515,0.0,0.03125
25.0,25.0,5.0,9.0,1169.0,779.0,40651.0,121440.0,0.7401641545903661,0.0,0.03125
50.0,50.0,3.0,9.0,599.0,400.0,20039.0,57600.0,0.7438935537500916,0.0,0.03125
50.0,50.0,5.0,9.0,2150.0,1517.0,75616.0,236320.0,0.7941751621906761,0.0,0.03125
