no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
4,3,6,67,40,2658,4080,0,0.0,0.3533154772742178,0.000976562,0.000976562,5
4,5,9,266,157,11162,17184,0,0.875867,0.4145778727431908,0.000976562,0.000976562,5
4,7,9,907,581,41429,64672,0,0.843155,0.4574897601186399,0.000976562,0.000976562,5
9,3,8,126,80,5164,8160,0,0.0,0.5003025352562338,0.000976562,0.000976562,10
9,5,9,496,314,21682,34368,0,0.736161,0.5864395034988588,0.000976562,0.000976562,10
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,10
14,3,8,184,120,7546,12240,0,0.0,0.5745012526614608,0.000976562,0.000976562,15
14,5,9,714,468,31673,51216,0,0.662537,0.6650238195234843,0.000976562,0.000976562,15
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,15
19,3,8,238,160,10025,16320,0,0.0,0.6225075302596457,0.000976562,0.000976562,20
19,5,9,943,626,42586,68512,0,0.61822,0.7083387161913242,0.000976562,0.000976562,20
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,20
29,3,8,339,240,14431,24480,0,0.0,0.6976459114109286,0.000976562,0.000976562,30
29,5,9,1323,913,61479,99856,0,0.55987,0.7607965399864256,0.000976562,0.000976562,30
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,30
39,3,9,442,320,19582,32640,0,0.0,0.7247583208794526,0.000976562,0.000976562,40
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,40
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,40
49,3,9,540,400,24091,40800,0,0.0,0.7438935537500916,0.000976562,0.000976562,50
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,50
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,50
99,3,9,989,791,46006,80592,0,0.0,0.776601726,0.000976562,0.000976562,100
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,100
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,100
130,3,9,1388,1023,64331,104096,0,0.524635,0.7899572142711718,0.000976562,0.000976562,200
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,200
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,200
140,3,9,1332,1103,64386,112256,0,0.0,0.7926336800134148,0.000976562,0.000976562,500
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,500
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,500
130,3,9,1388,1023,64331,104096,0,0.524635,0.7899572142711718,0.000976562,0.000976562,1000
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,1000
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,1000
130,3,9,1388,1023,64331,104096,0,0.524635,0.7899572142711718,0.000976562,0.000976562,5000
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,5000
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,5000
130,3,9,1388,1023,64331,104096,0,0.524635,0.7899572142711718,0.000976562,0.000976562,10000
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,10000
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,10000
130,3,9,1388,1023,64331,104096,0,0.524635,0.7899572142711718,0.000976562,0.000976562,100000
32,5,9,1410,982,66081,107344,0,0.550278,0.7689225682072532,0.000976562,0.000976562,100000
8,7,9,1479,1005,70032,111840,0,0.711541,0.613639791,0.000976562,0.000976562,100000
4,3,6,67,40,2658,4080,0,0.0,0.3533154772742178,0.000976562,0.00195312,5
4,5,9,266,157,11162,17184,0,0.875867,0.4145778727431908,0.000976562,0.00195312,5
4,7,9,890,569,40811,63328,0,0.84314,0.4575087405376252,0.000976562,0.00195312,5
9,3,8,126,80,5164,8160,0,0.0,0.5003025352562338,0.000976562,0.00195312,10
9,5,9,496,314,21682,34368,0,0.736161,0.5864395034988588,0.000976562,0.00195312,10
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,10
14,3,8,184,120,7546,12240,0,0.0,0.5745012526614608,0.000976562,0.00195312,15
14,5,9,711,466,31567,50992,0,0.662543,0.6650182606085752,0.000976562,0.00195312,15
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,15
19,3,8,238,160,10025,16320,0,0.0,0.6225075302596457,0.000976562,0.00195312,20
19,5,9,923,614,41879,67168,0,0.619464,0.7071635043560457,0.000976562,0.00195312,20
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,20
29,3,8,339,240,14431,24480,0,0.0,0.6976459114109286,0.000976562,0.00195312,30
29,5,9,1288,882,60190,96384,0,0.557253,0.7630271165023813,0.000976562,0.00195312,30
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,30
39,3,9,442,320,19582,32640,0,0.0,0.7247583208794526,0.000976562,0.00195312,40
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,40
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,40
49,3,9,539,399,24054,40688,0,0.0,0.7438967146948534,0.000976562,0.00195312,50
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,50
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,50
99,3,9,979,776,45610,78912,0,0.0,0.7786369242010849,0.000976562,0.00195312,100
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,100
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,100
115,3,9,1224,886,56692,89952,0,0.531974,0.7840395460289414,0.000976562,0.00195312,200
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,200
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,200
125,3,9,1188,964,56333,97888,0,0.0,0.7884353617902448,0.000976562,0.00195312,500
33,5,9,1412,976,66574,106592,0,0.543313,0.7747353629559272,0.000976562,0.00195312,500
8,7,9,1418,959,67842,106688,0,0.710039,0.615269012,0.000976562,0.00195312,500
115,3,9,1224,886,56692,89952,0,0.531974,0.7840395460289414,0.000976562,0.00195312,1000
