no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
4.0,3.0,10.0,69.0,40.0,2725.0,4080.0,0.0,0.0,0.7316850683717288,2.0,1.0
4.0,5.0,24.0,254.0,157.0,10560.0,17184.0,0.0,0.0,0.769980120995155,2.0,1.0
4.0,7.0,30.0,869.0,558.0,39957.0,62096.0,0.0,0.0,0.7911241534211682,2.0,1.0
9.0,3.0,17.0,133.0,80.0,5303.0,8160.0,0.0,0.0,0.7370119532197964,2.0,1.0
9.0,5.0,24.0,477.0,317.0,20799.0,34704.0,0.0,0.0,0.7767097235011144,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
14.0,3.0,18.0,189.0,120.0,7722.0,12240.0,0.0,0.0,0.7444041892205882,2.0,1.0
14.0,5.0,28.0,697.0,474.0,30864.0,51888.0,0.0,0.0,0.7785857507981722,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
19.0,3.0,19.0,245.0,160.0,10272.0,16320.0,0.0,0.0,0.7489909899055962,2.0,1.0
19.0,5.0,30.0,902.0,628.0,40963.0,68736.0,0.0,0.0,0.7824754954691359,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
29.0,3.0,23.0,362.0,240.0,15276.0,24480.0,0.0,0.0,0.7614003080815469,2.0,1.0
29.0,5.0,34.0,1310.0,930.0,61451.0,101760.0,0.0,0.0,0.7879056478748397,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
39.0,3.0,24.0,475.0,320.0,20499.0,32640.0,0.0,0.0,0.7692142199426865,2.0,1.0
31.0,5.0,36.0,1372.0,975.0,64649.0,106640.0,0.0,0.0,0.7887834221147475,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
49.0,3.0,25.0,584.0,400.0,25514.0,40800.0,0.0,0.0,0.77201965525847,2.0,1.0
31.0,5.0,36.0,1372.0,975.0,64649.0,106640.0,0.0,0.0,0.7887834221147475,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
99.0,3.0,33.0,1096.0,795.0,50314.0,81040.0,0.0,0.0,0.7812965241861226,2.0,1.0
31.0,5.0,36.0,1372.0,975.0,64649.0,106640.0,0.0,0.0,0.7887834221147475,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
126.0,3.0,37.0,1369.0,1008.0,63297.0,102736.0,0.0,0.0,0.7854702546405858,2.0,1.0
31.0,5.0,36.0,1372.0,975.0,64649.0,106640.0,0.0,0.0,0.7887834221147475,2.0,1.0
8.0,7.0,33.0,1453.0,985.0,69788.0,109600.0,0.0,0.0,0.7960207567790849,2.0,1.0
4.0,3.0,10.0,69.0,40.0,2725.0,4080.0,0.0,0.0,0.7316850683717288,4.0,1.0
4.0,5.0,24.0,254.0,157.0,10560.0,17184.0,0.0,0.0,0.769980120995155,4.0,1.0
4.0,7.0,30.0,865.0,555.0,39815.0,61760.0,0.0,0.0,0.7911241534211682,4.0,1.0
9.0,3.0,17.0,133.0,80.0,5303.0,8160.0,0.0,0.0,0.7370119532197964,4.0,1.0
9.0,5.0,24.0,477.0,317.0,20799.0,34704.0,0.0,0.0,0.7767097235011144,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
14.0,3.0,18.0,189.0,120.0,7722.0,12240.0,0.0,0.0,0.7444041892205882,4.0,1.0
14.0,5.0,28.0,697.0,474.0,30864.0,51888.0,0.0,0.0,0.7785857507981722,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
19.0,3.0,19.0,245.0,160.0,10272.0,16320.0,0.0,0.0,0.7489909899055962,4.0,1.0
19.0,5.0,30.0,899.0,626.0,40857.0,68512.0,0.0,0.0,0.7824754954691359,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
29.0,3.0,23.0,362.0,240.0,15276.0,24480.0,0.0,0.0,0.7614003080815469,4.0,1.0
29.0,5.0,34.0,1305.0,927.0,61273.0,101424.0,0.0,0.0,0.7879056478748397,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
39.0,3.0,24.0,475.0,320.0,20499.0,32640.0,0.0,0.0,0.7692142199426865,4.0,1.0
31.0,5.0,36.0,1380.0,981.0,64933.0,107312.0,0.0,0.0,0.7889211121915958,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
49.0,3.0,25.0,584.0,400.0,25514.0,40800.0,0.0,0.0,0.77201965525847,4.0,1.0
31.0,5.0,36.0,1380.0,981.0,64933.0,107312.0,0.0,0.0,0.7889211121915958,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
99.0,3.0,33.0,1096.0,795.0,50314.0,81040.0,0.0,0.0,0.7812965241861226,4.0,1.0
31.0,5.0,36.0,1380.0,981.0,64933.0,107312.0,0.0,0.0,0.7889211121915958,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
127.0,3.0,37.0,1376.0,1013.0,63663.0,103216.0,0.0,0.0,0.7856940010154643,4.0,1.0
31.0,5.0,36.0,1380.0,981.0,64933.0,107312.0,0.0,0.0,0.7889211121915958,4.0,1.0
8.0,7.0,34.0,1465.0,997.0,70133.0,110944.0,0.0,0.0,0.7957281653657823,4.0,1.0
4.0,3.0,10.0,69.0,40.0,2725.0,4080.0,0.0,0.0,0.7316850683717288,8.0,1.0
4.0,5.0,24.0,252.0,156.0,10492.0,17072.0,0.0,0.0,0.769980120995155,8.0,1.0
4.0,7.0,30.0,849.0,546.0,39252.0,60752.0,0.0,0.0,0.7911241534211682,8.0,1.0
9.0,3.0,17.0,133.0,80.0,5303.0,8160.0,0.0,0.0,0.7370119532197964,8.0,1.0
9.0,5.0,24.0,473.0,313.0,20651.0,34256.0,0.0,0.0,0.7767097235011144,8.0,1.0
8.0,7.0,34.0,1427.0,970.0,68714.0,107920.0,0.0,0.0,0.7956937428465702,8.0,1.0
14.0,3.0,18.0,189.0,120.0,7722.0,12240.0,0.0,0.0,0.7444041892205882,8.0,1.0
14.0,5.0,28.0,690.0,468.0,30603.0,51216.0,0.0,0.0,0.7785857507981722,8.0,1.0
8.0,7.0,34.0,1427.0,970.0,68714.0,107920.0,0.0,0.0,0.7956937428465702,8.0,1.0
19.0,3.0,19.0,245.0,160.0,10272.0,16320.0,0.0,0.0,0.7489909899055962,8.0,1.0
19.0,5.0,30.0,889.0,618.0,40494.0,67616.0,0.0,0.0,0.7824754954691359,8.0,1.0
