no_trees,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
8.0,15.0,119.0,72.0,4337.0,7344.0,0.569257,0.0,0.7343528136106641,0.0,0.0
18.0,19.0,232.0,152.0,8783.0,15504.0,0.52634,0.0,0.747321497723811,0.0,0.0
38.0,23.0,462.0,312.0,18034.0,31824.0,0.496458,0.0,0.7687753328227326,0.0,0.0
77.0,30.0,881.0,624.0,35568.0,63648.0,0.470645,0.0,0.7777251878178705,0.0,0.0
155.0,41.0,1665.0,1246.0,69572.0,127072.0,0.448222,0.0,0.7896698019844582,0.0,0.0
312.0,49.0,3152.0,2494.0,137299.0,254288.0,0.422075,0.0,0.8035764997461339,0.0,0.0
469.0,53.0,4587.0,3742.0,204559.0,381504.0,0.404046,0.0,0.81266404481812,0.0,0.0
3.0,10.0,56.0,32.0,2016.0,3264.0,0.615713,0.0,0.7310482517663055,0.0,0.0
8.0,15.0,119.0,72.0,4337.0,7344.0,0.569257,0.0,0.7343528136106641,0.0,0.0
18.0,19.0,232.0,152.0,8783.0,15504.0,0.52634,0.0,0.747321497723811,0.0,0.0
38.0,23.0,462.0,312.0,18034.0,31824.0,0.496458,0.0,0.7687753328227326,0.0,0.0
77.0,30.0,881.0,624.0,35568.0,63648.0,0.470645,0.0,0.7777251878178705,0.0,0.0
