no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
5.0,5.0,3.0,10.0,69.0,40.0,2421.0,5760.0,0.7316850683717288,0.0,0.000976562
5.0,5.0,5.0,24.0,255.0,158.0,8976.0,24640.0,0.769980120995155,0.0,0.000976562
25.0,25.0,3.0,21.0,304.0,200.0,10427.0,28800.0,0.7547481562438147,0.0,0.000976562
25.0,25.0,5.0,32.0,1119.0,797.0,39720.0,124320.0,0.7849539168524049,0.0,0.000976562
50.0,50.0,3.0,25.0,584.0,400.0,20271.0,57600.0,0.77201965525847,0.0,0.000976562
50.0,50.0,5.0,39.0,2166.0,1579.0,78047.0,246240.0,0.7959433061108577,0.0,0.000976562
100.0,100.0,3.0,33.0,1101.0,800.0,38417.0,115200.0,0.7812965241861226,0.0,0.000976562
100.0,100.0,5.0,47.0,3966.0,3072.0,145287.0,478720.0,0.8112957496794403,0.0,0.000976562
1000.0,1000.0,3.0,54.0,9197.0,7967.0,335376.0,1146720.0,0.8356668932815848,0.0,0.000976562
1000.0,1000.0,5.0,53.0,32057.0,30131.0,1224837.0,4692960.0,0.9010266516355,0.0,0.000976562
100.0,100.0,3.0,33.0,1101.0,800.0,38417.0,115200.0,0.7812965241861226,0.0,0.00195312
1000.0,1000.0,3.0,54.0,9197.0,7967.0,335371.0,1146720.0,0.8356668932815848,0.0,0.00195312
100.0,100.0,3.0,33.0,1101.0,800.0,38417.0,115200.0,0.7812965241861226,0.0,0.00390625
1000.0,1000.0,3.0,54.0,9165.0,7955.0,334153.0,1144800.0,0.8344276825899504,0.0,0.00390625
100.0,100.0,3.0,33.0,1101.0,800.0,38417.0,115200.0,0.7812965241861226,0.0,0.0078125
1000.0,1000.0,3.0,54.0,9179.0,7952.0,334517.0,1144320.0,0.833739232205709,0.0,0.0078125
100.0,100.0,3.0,33.0,1101.0,800.0,38417.0,115200.0,0.7812965241861226,0.0,0.015625
1000.0,1000.0,3.0,54.0,9164.0,7957.0,334148.0,1145120.0,0.832267669509393,0.0,0.015625
5.0,5.0,3.0,10.0,69.0,40.0,2421.0,5760.0,0.7316850683717288,0.0,0.03125
5.0,5.0,5.0,24.0,255.0,158.0,8976.0,24640.0,0.769980120995155,0.0,0.03125
25.0,25.0,3.0,21.0,304.0,200.0,10427.0,28800.0,0.7547481562438147,0.0,0.03125
25.0,25.0,5.0,32.0,1119.0,797.0,39720.0,124320.0,0.7849539168524049,0.0,0.03125
50.0,50.0,3.0,25.0,584.0,400.0,20271.0,57600.0,0.77201965525847,0.0,0.03125
50.0,50.0,5.0,39.0,2166.0,1579.0,78047.0,246240.0,0.7959433061108577,0.0,0.03125
100.0,100.0,3.0,33.0,1101.0,800.0,38417.0,115200.0,0.7812965241861226,0.0,0.03125
100.0,100.0,5.0,47.0,3955.0,3072.0,144937.0,478720.0,0.8112957496794403,0.0,0.03125
1000.0,1000.0,3.0,54.0,9174.0,7956.0,334362.0,1144960.0,0.8335154858308306,0.0,0.03125
1000.0,1000.0,5.0,53.0,32166.0,30244.0,1228822.0,4711040.0,0.9031952703458602,0.0,0.03125
100.0,100.0,3.0,33.0,1100.0,800.0,38388.0,115200.0,0.7812965241861226,0.0,0.0625
1000.0,1000.0,3.0,54.0,9181.0,7961.0,334754.0,1145760.0,0.8337908659845271,0.0,0.0625
100.0,100.0,3.0,33.0,1100.0,800.0,38388.0,115200.0,0.7812965241861226,0.0,0.125
1000.0,1000.0,3.0,54.0,9167.0,7970.0,333978.0,1147200.0,0.8334294295328003,0.0,0.125
100.0,100.0,3.0,33.0,1100.0,800.0,38388.0,115200.0,0.7812965241861226,0.0,0.25
1000.0,1000.0,3.0,54.0,9163.0,7964.0,334268.0,1146240.0,0.8336359646480728,0.0,0.25
100.0,100.0,3.0,33.0,1100.0,800.0,38388.0,115200.0,0.7812965241861226,0.0,0.5
1000.0,1000.0,3.0,53.0,9132.0,7970.0,332861.0,1147200.0,0.8334638520520125,0.0,0.5
5.0,5.0,3.0,10.0,69.0,40.0,2421.0,5760.0,0.7316850683717288,0.0,1.0
5.0,5.0,5.0,24.0,255.0,158.0,8976.0,24640.0,0.769980120995155,0.0,1.0
25.0,25.0,3.0,21.0,303.0,200.0,10394.0,28800.0,0.7555570854452983,0.0,1.0
25.0,25.0,5.0,30.0,1125.0,797.0,40054.0,124320.0,0.787027873634932,0.0,1.0
50.0,50.0,3.0,24.0,582.0,400.0,20197.0,57600.0,0.7713312048742287,0.0,1.0
50.0,50.0,5.0,39.0,2155.0,1581.0,77730.0,246560.0,0.7967780522017504,0.0,1.0
100.0,100.0,3.0,34.0,1103.0,800.0,38441.0,115200.0,0.7812965241861226,0.0,1.0
100.0,100.0,5.0,45.0,3959.0,3093.0,145036.0,482080.0,0.8120702563617118,0.0,1.0
1000.0,1000.0,3.0,54.0,9123.0,7972.0,332257.0,1147520.0,0.834264175623693,0.0,1.0
1000.0,1000.0,5.0,53.0,31963.0,30173.0,1220100.0,4699680.0,0.9016548626111202,0.0,1.0
100.0,100.0,3.0,32.0,1108.0,799.0,38691.0,115040.0,0.7809006652151838,0.0,2.0
1000.0,1000.0,3.0,53.0,9119.0,7972.0,332861.0,1147520.0,0.8336359646480728,0.0,2.0
100.0,100.0,3.0,32.0,1096.0,798.0,38294.0,114880.0,0.7816063268590312,0.0,4.0
1000.0,1000.0,3.0,53.0,9011.0,7975.0,328320.0,1148000.0,0.8328786692254072,0.0,4.0
100.0,100.0,3.0,33.0,1096.0,798.0,38353.0,114880.0,0.7812104678880923,0.0,8.0
1000.0,1000.0,3.0,53.0,8964.0,7979.0,326891.0,1148640.0,0.8321385850623478,0.0,8.0
100.0,100.0,3.0,32.0,1076.0,796.0,37545.0,114560.0,0.7818989182723337,0.0,16.0
1000.0,1000.0,3.0,52.0,8828.0,7967.0,320887.0,1146720.0,0.8305465435487897,0.0,16.0
5.0,5.0,3.0,10.0,68.0,40.0,2389.0,5760.0,0.7316850683717288,0.0,32.0
5.0,5.0,5.0,24.0,240.0,153.0,8424.0,23840.0,0.7701178110720033,0.0,32.0
25.0,25.0,3.0,20.0,301.0,200.0,10322.0,28800.0,0.7552817052916018,0.0,32.0
25.0,25.0,5.0,28.0,1059.0,781.0,37485.0,121760.0,0.7859521699095549,0.0,32.0
50.0,50.0,3.0,24.0,575.0,400.0,19936.0,57600.0,0.7728544013493628,0.0,32.0
50.0,50.0,5.0,37.0,1981.0,1544.0,70905.0,240640.0,0.7951946163179953,0.0,32.0
100.0,100.0,3.0,32.0,1068.0,796.0,37223.0,114560.0,0.7806511019508963,0.0,32.0
100.0,100.0,5.0,43.0,3678.0,3048.0,134209.0,474880.0,0.8132750445341342,0.0,32.0
1000.0,1000.0,3.0,51.0,8653.0,7867.0,313284.0,1130720.0,0.8308821631111073,0.0,32.0
1000.0,1000.0,5.0,50.0,30850.0,29714.0,1170494.0,4626240.0,0.8919563178231199,0.0,32.0
100.0,100.0,3.0,30.0,1049.0,788.0,36517.0,113280.0,0.7823378053922876,0.0,64.0
1000.0,1000.0,3.0,49.0,8333.0,7691.0,297355.0,1102560.0,0.8283435023192173,0.0,64.0
100.0,100.0,3.0,29.0,1004.0,779.0,34918.0,111840.0,0.7815460874504101,0.0,128.0
1000.0,1000.0,3.0,39.0,7781.0,7274.0,271041.0,1035840.0,0.8233608426632704,0.0,128.0
100.0,100.0,3.0,26.0,913.0,731.0,31633.0,104160.0,0.7796184263745343,0.0,256.0
1000.0,1000.0,3.0,34.0,6898.0,6580.0,234616.0,924800.0,0.8089119902240045,0.0,256.0
100.0,100.0,3.0,22.0,808.0,663.0,27692.0,93280.0,0.7762278082321454,0.0,512.0
1000.0,1000.0,3.0,24.0,6199.0,6003.0,206601.0,832480.0,0.7918212094352125,0.0,512.0
5.0,5.0,3.0,7.0,54.0,32.0,1923.0,4480.0,0.7316850683717288,0.0,1024.0
5.0,5.0,5.0,13.0,143.0,102.0,5101.0,15680.0,0.7633021522680138,0.0,1024.0
25.0,25.0,3.0,14.0,234.0,166.0,8012.0,23360.0,0.7487586379009148,0.0,1024.0
25.0,25.0,5.0,17.0,702.0,589.0,24298.0,91040.0,0.7771141881018563,0.0,1024.0
50.0,50.0,3.0,15.0,407.0,318.0,13816.0,44480.0,0.7660473481751762,0.0,1024.0
50.0,50.0,5.0,17.0,1197.0,1071.0,41580.0,164960.0,0.7789127647306868,0.0,1024.0
100.0,100.0,3.0,16.0,681.0,579.0,23014.0,79840.0,0.7687925440823387,0.0,1024.0
100.0,100.0,5.0,18.0,2013.0,1880.0,69432.0,288000.0,0.7819161295319398,0.0,1024.0
1000.0,1000.0,3.0,16.0,5510.0,5394.0,181777.0,735040.0,0.7731039646136503,0.0,1024.0
1000.0,1000.0,5.0,19.0,11078.0,12786.0,370511.0,1917760.0,0.783508171045498,0.0,1024.0
100.0,100.0,3.0,14.0,577.0,512.0,19302.0,69120.0,0.7633021522680138,0.0,2048.0
1000.0,1000.0,3.0,14.0,5191.0,5149.0,170809.0,695840.0,0.7648941937815719,0.0,2048.0
100.0,100.0,3.0,5.0,292.0,259.0,9790.0,28640.0,0.7325370257222275,0.0,4096.0
1000.0,1000.0,3.0,5.0,446.0,2059.0,15618.0,201440.0,0.7325370257222275,0.0,4096.0
14.0,100.0,3.0,2.0,62.0,41.0,2189.0,4768.0,0.7287075204598848,0.0,8192.0
14.0,1000.0,3.0,2.0,62.0,41.0,2189.0,4768.0,0.7287075204598848,0.0,8192.0
8.0,100.0,3.0,2.0,36.0,24.0,1277.0,2816.0,0.7287075204598848,0.0,16384.0
8.0,1000.0,3.0,2.0,36.0,24.0,1277.0,2816.0,0.7287075204598848,0.0,16384.0
4.0,5.0,3.0,2.0,18.0,12.0,652.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,5.0,5.0,2.0,18.0,12.0,772.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,25.0,3.0,2.0,18.0,12.0,652.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,25.0,5.0,2.0,18.0,12.0,772.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,50.0,3.0,2.0,18.0,12.0,652.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,50.0,5.0,2.0,18.0,12.0,772.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,100.0,3.0,2.0,18.0,12.0,652.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,100.0,5.0,2.0,18.0,12.0,772.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,1000.0,3.0,2.0,18.0,12.0,652.0,1408.0,0.7287075204598848,0.0,32768.0
4.0,1000.0,5.0,2.0,18.0,12.0,772.0,1408.0,0.7287075204598848,0.0,32768.0
5.0,5.0,3.0,10.0,69.0,40.0,2421.0,5760.0,0.7316850683717288,0.000976562,0.0
5.0,5.0,5.0,24.0,255.0,158.0,8976.0,24640.0,0.769980120995155,0.000976562,0.0
25.0,25.0,3.0,21.0,304.0,200.0,10427.0,28800.0,0.7547481562438147,0.000976562,0.0
25.0,25.0,5.0,32.0,1120.0,797.0,39751.0,124320.0,0.7849539168524049,0.000976562,0.0
50.0,50.0,3.0,25.0,584.0,400.0,20271.0,57600.0,0.77201965525847,0.000976562,0.0
50.0,50.0,5.0,39.0,2168.0,1579.0,78120.0,246240.0,0.7959433061108577,0.000976562,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.000976562,0.0
100.0,100.0,5.0,47.0,3976.0,3072.0,145682.0,478720.0,0.8112957496794403,0.000976562,0.0
1000.0,1000.0,3.0,54.0,9180.0,7957.0,334941.0,1145120.0,0.8345137388879805,0.000976562,0.0
1000.0,1000.0,5.0,53.0,32154.0,30212.0,1228371.0,4705920.0,0.9027649888557094,0.000976562,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.00195312,0.0
1000.0,1000.0,3.0,54.0,9180.0,7957.0,334941.0,1145120.0,0.8345137388879805,0.00195312,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.00390625,0.0
1000.0,1000.0,3.0,54.0,9180.0,7957.0,334941.0,1145120.0,0.8345137388879805,0.00390625,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.0078125,0.0
1000.0,1000.0,3.0,54.0,9180.0,7957.0,334941.0,1145120.0,0.8345137388879805,0.0078125,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.015625,0.0
1000.0,1000.0,3.0,54.0,9178.0,7959.0,334594.0,1145440.0,0.8345223445177835,0.015625,0.0
5.0,5.0,3.0,10.0,69.0,40.0,2421.0,5760.0,0.7316850683717288,0.03125,0.0
5.0,5.0,5.0,24.0,255.0,158.0,8976.0,24640.0,0.769980120995155,0.03125,0.0
25.0,25.0,3.0,21.0,304.0,200.0,10427.0,28800.0,0.7547481562438147,0.03125,0.0
25.0,25.0,5.0,32.0,1120.0,797.0,39751.0,124320.0,0.7849539168524049,0.03125,0.0
50.0,50.0,3.0,25.0,584.0,400.0,20271.0,57600.0,0.77201965525847,0.03125,0.0
50.0,50.0,5.0,39.0,2168.0,1579.0,78120.0,246240.0,0.7959433061108577,0.03125,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.03125,0.0
100.0,100.0,5.0,47.0,3976.0,3072.0,145682.0,478720.0,0.8112957496794403,0.03125,0.0
1000.0,1000.0,3.0,54.0,9186.0,7958.0,335098.0,1145280.0,0.8343330206621171,0.03125,0.0
1000.0,1000.0,5.0,53.0,32154.0,30212.0,1228370.0,4705920.0,0.9027649888557094,0.03125,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38465.0,115200.0,0.7812879185563195,0.0625,0.0
1000.0,1000.0,3.0,54.0,9197.0,7961.0,335674.0,1145760.0,0.8345911895562077,0.0625,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38464.0,115200.0,0.7812879185563195,0.125,0.0
1000.0,1000.0,3.0,54.0,9196.0,7980.0,335703.0,1148800.0,0.8325258384034836,0.125,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38464.0,115200.0,0.7812879185563195,0.25,0.0
1000.0,1000.0,3.0,54.0,9189.0,7965.0,335165.0,1146400.0,0.8335240914606336,0.25,0.0
100.0,100.0,3.0,33.0,1102.0,800.0,38464.0,115200.0,0.7812879185563195,0.5,0.0
1000.0,1000.0,3.0,53.0,9203.0,7972.0,335937.0,1147520.0,0.8339543729507845,0.5,0.0
5.0,5.0,3.0,10.0,69.0,40.0,2421.0,5760.0,0.7316850683717288,1.0,0.0
5.0,5.0,5.0,24.0,255.0,158.0,8976.0,24640.0,0.769980120995155,1.0,0.0
25.0,25.0,3.0,21.0,304.0,200.0,10427.0,28800.0,0.7547481562438147,1.0,0.0
25.0,25.0,5.0,31.0,1120.0,797.0,39739.0,124320.0,0.7849539168524049,1.0,0.0
50.0,50.0,3.0,25.0,584.0,400.0,20271.0,57600.0,0.77201965525847,1.0,0.0
50.0,50.0,5.0,38.0,2189.0,1589.0,78683.0,247840.0,0.7964854607884478,1.0,0.0
100.0,100.0,3.0,34.0,1112.0,800.0,38817.0,115200.0,0.7817698338252885,1.0,0.0
100.0,100.0,5.0,46.0,4007.0,3090.0,146612.0,481600.0,0.8112010877516072,1.0,0.0
1000.0,1000.0,3.0,53.0,9203.0,7975.0,335869.0,1148000.0,0.8356496820219788,1.0,0.0
1000.0,1000.0,5.0,53.0,32102.0,30145.0,1226401.0,4695200.0,0.9027822001153154,1.0,0.0
100.0,100.0,3.0,33.0,1108.0,800.0,38635.0,115200.0,0.7815546930802131,2.0,0.0
