no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
3.0,7.0,6.0,51.0,8.0,7130.0,576.0,0.0,0.0,0.9035087719298246,1.0,16.0
12.0,3.0,2.0,3.0,26.0,170.0,1872.0,0.0,0.0,0.9385964912280702,2.0,0.00390625
0.0,7.0,3.0,6.0,2.0,274.0,144.0,0.0,0.0,0.6228070175438597,1.0,128.0
6.0,5.0,2.0,3.0,15.0,122.0,1120.0,0.0,0.0,0.9385964912280702,1.0,4.0
0.0,7.0,2.0,3.0,2.0,122.0,144.0,0.0,0.0,0.6228070175438597,1.0,128.0
31.0,3.0,2.0,3.0,107.0,362.0,9424.0,0.0,0.0,0.956140350877193,0.25,0.0078125
9.0,5.0,2.0,3.0,20.0,122.0,1440.0,0.0,0.0,0.9385964912280702,2.0,0.00195312
19.0,7.0,3.0,6.0,59.0,466.0,5008.0,0.0,0.0,0.956140350877193,0.25,0.125
4.0,5.0,6.0,35.0,14.0,13444.0,1168.0,0.0,0.0,0.9298245614035088,0.25,2.0
9.0,3.0,5.0,14.0,21.0,1598.0,1552.0,0.0,0.0,0.9385964912280702,1.0,2.0
0.0,3.0,3.0,6.0,2.0,466.0,144.0,0.0,0.0,0.6228070175438597,0.25,8192.0
0.0,7.0,6.0,46.0,2.0,6397.0,144.0,0.0,0.0,0.6228070175438597,0.25,512.0
0.0,3.0,2.0,3.0,2.0,362.0,144.0,0.0,0.0,0.6228070175438597,0.25,1024.0
9.0,7.0,2.0,3.0,23.0,362.0,1776.0,0.0,0.0,0.956140350877193,1.0,0.015625
11.0,3.0,3.0,6.0,24.0,274.0,1728.0,0.0,0.0,0.9385964912280702,2.0,0.125
0.0,5.0,2.0,3.0,2.0,362.0,144.0,0.0,0.0,0.6228070175438597,2.0,8192.0
19.0,7.0,6.0,34.0,81.0,1953.0,7472.0,0.0,0.0,0.9736842105263158,0.25,0.00390625
10.0,7.0,6.0,19.0,26.0,1036.0,2032.0,0.0,0.0,0.9385964912280702,0.25,2.0
4.0,7.0,9.0,73.0,10.0,9089.0,720.0,0.0,0.0,0.9298245614035088,1.0,8.0
18.0,5.0,6.0,35.0,41.0,3977.0,3072.0,0.0,0.0,0.956140350877193,1.0,0.00195312
0.0,7.0,6.0,39.0,2.0,2177.0,144.0,0.0,0.0,0.6228070175438597,1.0,8192.0
0.0,5.0,5.0,12.0,2.0,564.0,144.0,0.0,0.0,0.6228070175438597,1.0,128.0
