no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
0.0,3.0,0.0,0.0,8.0,0.0,816.0,0.0,0.0,0.06278240583756844,0.0,0.0
0.0,5.0,0.0,0.0,32.0,0.0,3504.0,0.0,0.0,0.07891104042471564,0.0,0.0
0.0,7.0,0.0,0.0,120.0,0.0,13360.0,0.0,0.0,0.09465541618267204,0.0,0.0
1.0,3.0,0.0,0.0,16.0,0.0,1632.0,0.0,0.0,0.11312043224067725,0.0,0.0
1.0,5.0,0.0,0.0,64.0,0.0,7008.0,0.0,0.0,0.14548438747624448,0.0,0.0
1.0,7.0,0.0,0.0,241.0,0.0,26832.0,0.0,0.0,0.17487770974330108,0.0,0.0
2.0,3.0,0.0,0.0,24.0,0.0,2448.0,0.0,0.0,0.1543277014876384,0.0,0.0
2.0,5.0,0.0,0.0,96.0,0.0,10512.0,0.0,0.0,0.2006479054123672,0.0,0.0
2.0,7.0,0.0,0.0,359.0,0.0,39968.0,0.0,0.0,0.24596631281371495,0.0,0.0
3.0,3.0,0.0,0.0,32.0,0.0,3264.0,0.0,0.0,0.19026321075129338,0.0,0.0
3.0,5.0,0.0,0.0,128.0,0.0,14016.0,0.0,0.0,0.2431768601146045,0.0,0.0
3.0,7.0,0.0,0.0,475.0,0.0,52880.0,0.0,0.0,0.30052758690458925,0.0,0.0
4.0,3.0,0.0,0.0,40.0,0.0,4080.0,0.0,0.0,0.22080938638430736,0.0,0.0
4.0,5.0,0.0,0.0,160.0,0.0,17520.0,0.0,0.0,0.2854632490857021,0.0,0.0
4.0,7.0,0.0,0.0,589.0,0.0,65568.0,0.0,0.0,0.34859172331107424,0.0,0.0
5.0,3.0,0.0,0.0,48.0,0.0,4896.0,0.0,0.0,0.2458797361145325,0.0,0.0
5.0,5.0,0.0,0.0,191.0,0.0,20912.0,0.0,0.0,0.32019013012356223,0.0,0.0
5.0,7.0,0.0,0.0,707.0,0.0,78704.0,0.0,0.0,0.38772571964124203,0.0,0.0
6.0,3.0,0.0,0.0,56.0,0.0,5712.0,0.0,0.0,0.2683300439878715,0.0,0.0
6.0,5.0,0.0,0.0,223.0,0.0,24416.0,0.0,0.0,0.3531409945825089,0.0,0.0
6.0,7.0,0.0,0.0,830.0,0.0,92400.0,0.0,0.0,0.4262324058734088,0.0,0.0
7.0,3.0,0.0,0.0,64.0,0.0,6528.0,0.0,0.0,0.28582063045882034,0.0,0.0
7.0,5.0,0.0,0.0,255.0,0.0,27920.0,0.0,0.0,0.37523740085361135,0.0,0.0
7.0,7.0,0.0,0.0,948.0,0.0,105536.0,0.0,0.0,0.45625546548721196,0.0,0.0
8.0,3.0,0.0,0.0,72.0,0.0,7344.0,0.0,0.0,0.3024420201804314,0.0,0.0
8.0,5.0,0.0,0.0,287.0,0.0,31424.0,0.0,0.0,0.3976717539844916,0.0,0.0
8.0,7.0,0.0,0.0,1068.0,0.0,118896.0,0.0,0.0,0.4805458601356435,0.0,0.0
9.0,3.0,0.0,0.0,80.0,0.0,8160.0,0.0,0.0,0.3144049992194432,0.0,0.0
9.0,5.0,0.0,0.0,319.0,0.0,34928.0,0.0,0.0,0.4177572271656671,0.0,0.0
9.0,7.0,0.0,0.0,1177.0,0.0,131024.0,0.0,0.0,0.5009372126400062,0.0,0.0
14.0,3.0,0.0,0.0,120.0,0.0,12240.0,0.0,0.0,0.3668462753083477,0.0,0.0
14.0,5.0,0.0,0.0,477.0,0.0,52224.0,0.0,0.0,0.4813076955928043,0.0,0.0
14.0,7.0,0.0,0.0,1729.0,0.0,192448.0,0.0,0.0,0.5790228574075967,0.0,0.0
19.0,3.0,0.0,0.0,160.0,0.0,16320.0,0.0,0.0,0.399841356851815,0.0,0.0
19.0,5.0,0.0,0.0,632.0,0.0,69184.0,0.0,0.0,0.5157121506447435,0.0,0.0
19.0,7.0,0.0,0.0,2240.0,0.0,249280.0,0.0,0.0,0.6207251519595938,0.0,0.0
29.0,3.0,0.0,0.0,240.0,0.0,24480.0,0.0,0.0,0.44866853000464624,0.0,0.0
29.0,5.0,0.0,0.0,935.0,0.0,102320.0,0.0,0.0,0.570361076868775,0.0,0.0
29.0,7.0,0.0,0.0,3167.0,0.0,352304.0,0.0,0.0,0.6655249987690095,0.0,0.0
39.0,3.0,0.0,0.0,320.0,0.0,32640.0,0.0,0.0,0.47636985929289055,0.0,0.0
39.0,5.0,0.0,0.0,1222.0,0.0,133664.0,0.0,0.0,0.6054006323130187,0.0,0.0
39.0,7.0,0.0,0.0,3904.0,0.0,434048.0,0.0,0.0,0.696252457113731,0.0,0.0
49.0,3.0,0.0,0.0,399.0,0.0,40688.0,0.0,0.0,0.4982766498990123,0.0,0.0
49.0,5.0,0.0,0.0,1502.0,0.0,164224.0,0.0,0.0,0.6315897880340512,0.0,0.0
49.0,7.0,0.0,0.0,4652.0,0.0,517024.0,0.0,0.0,0.7216675664794798,0.0,0.0
99.0,3.0,0.0,0.0,796.0,0.0,81152.0,0.0,0.0,0.5498591710125389,0.0,0.0
99.0,5.0,0.0,0.0,2774.0,0.0,302688.0,0.0,0.0,0.7084532418004892,0.0,0.0
99.0,7.0,0.0,0.0,7313.0,0.0,811056.0,0.0,0.0,0.7651240010623528,0.0,0.0
