no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
5.0,5.0,3.0,8.0,68.0,40.0,1994.0,5760.0,0.22080938638430736,0.0,0.000976562
5.0,5.0,5.0,9.0,285.0,160.0,8233.0,24960.0,0.2854632490857021,0.0,0.000976562
25.0,25.0,3.0,9.0,322.0,200.0,9318.0,28800.0,0.4307749505546472,0.0,0.000976562
25.0,25.0,5.0,9.0,1286.0,783.0,38190.0,122080.0,0.5405411173868434,0.0,0.000976562
50.0,50.0,3.0,9.0,639.0,400.0,18581.0,57600.0,0.5051300764863197,0.0,0.000976562
50.0,50.0,5.0,9.0,2319.0,1505.0,72209.0,234400.0,0.6320766855696088,0.0,0.000976562
100.0,100.0,3.0,9.0,1186.0,795.0,35334.0,114400.0,0.5642445552797875,0.0,0.000976562
100.0,100.0,5.0,9.0,3969.0,2782.0,129294.0,432320.0,0.7110529491818887,0.0,0.000976562
1000.0,1000.0,3.0,9.0,9240.0,7727.0,326367.0,1108320.0,0.6771591849283161,0.0,0.000976562
1000.0,1000.0,5.0,9.0,25415.0,23405.0,962058.0,3616800.0,0.7812487980832893,0.0,0.000976562
100.0,100.0,3.0,9.0,1184.0,793.0,35441.0,114080.0,0.5578253782794924,0.0,0.00195312
1000.0,1000.0,3.0,9.0,9210.0,7724.0,325197.0,1107840.0,0.6743877422301457,0.0,0.00195312
100.0,100.0,3.0,9.0,1185.0,793.0,35677.0,114080.0,0.5486968836321189,0.0,0.00390625
690.0,1000.0,3.0,9.0,6546.0,5324.0,226404.0,763520.0,0.6706277771939816,0.0,0.00390625
100.0,100.0,3.0,9.0,1170.0,789.0,35419.0,113440.0,0.5497739738317302,0.0,0.0078125
481.0,1000.0,3.0,9.0,4689.0,3715.0,159034.0,532832.0,0.6560734390016421,0.0,0.0078125
100.0,100.0,3.0,9.0,1168.0,789.0,35205.0,113440.0,0.5556776612441292,0.0,0.015625
292.0,1000.0,3.0,9.0,2941.0,2236.0,95736.0,320384.0,0.6415816499211879,0.0,0.015625
5.0,5.0,3.0,8.0,68.0,40.0,1994.0,5760.0,0.22080938638430736,0.0,0.03125
5.0,5.0,5.0,9.0,284.0,160.0,8128.0,24960.0,0.28623113569082237,0.0,0.03125
25.0,25.0,3.0,9.0,324.0,200.0,9298.0,28800.0,0.4258382248451662,0.0,0.03125
25.0,25.0,5.0,9.0,1276.0,789.0,38089.0,123040.0,0.5471826342950231,0.0,0.03125
50.0,50.0,3.0,9.0,631.0,400.0,18394.0,57600.0,0.49811608979540867,0.0,0.03125
50.0,50.0,5.0,9.0,2255.0,1522.0,71310.0,237120.0,0.6387616996160148,0.0,0.03125
100.0,100.0,3.0,9.0,1166.0,796.0,35059.0,114560.0,0.5580582339247278,0.0,0.03125
88.0,100.0,5.0,9.0,3382.0,2470.0,112404.0,383936.0,0.6960958628615846,0.0,0.03125
156.0,1000.0,3.0,9.0,1653.0,1192.0,52016.0,170752.0,0.5873893961717152,0.0,0.03125
88.0,1000.0,5.0,9.0,3382.0,2470.0,112404.0,383936.0,0.6960958628615846,0.0,0.03125
100.0,100.0,3.0,9.0,1124.0,795.0,34427.0,114400.0,0.5722478614992921,0.0,0.0625
145.0,1000.0,3.0,9.0,1486.0,1096.0,46498.0,156800.0,0.5928037105412637,0.0,0.0625
99.0,100.0,3.0,9.0,1085.0,783.0,33359.0,112608.0,0.5440170108542209,0.0,0.125
99.0,1000.0,3.0,9.0,1085.0,783.0,33359.0,112608.0,0.5440170108542209,0.0,0.125
95.0,100.0,3.0,9.0,1001.0,742.0,31026.0,106560.0,0.55040588542259,0.0,0.25
95.0,1000.0,3.0,9.0,1001.0,742.0,31026.0,106560.0,0.55040588542259,0.0,0.25
57.0,100.0,3.0,9.0,613.0,434.0,18523.0,62144.0,0.5020598208185129,0.0,0.5
57.0,1000.0,3.0,9.0,613.0,434.0,18523.0,62144.0,0.5020598208185129,0.0,0.5
5.0,5.0,3.0,6.0,64.0,40.0,1909.0,5760.0,0.21974353055593743,0.0,1.0
5.0,5.0,5.0,9.0,203.0,127.0,6087.0,19680.0,0.27747694361336883,0.0,1.0
25.0,25.0,3.0,9.0,288.0,196.0,8540.0,28160.0,0.4216162803276733,0.0,1.0
25.0,25.0,5.0,9.0,784.0,569.0,24619.0,87840.0,0.5399601114333075,0.0,1.0
43.0,50.0,3.0,9.0,450.0,321.0,13571.0,45856.0,0.47322923606973044,0.0,1.0
34.0,50.0,5.0,9.0,944.0,706.0,30111.0,108608.0,0.5820013882153509,0.0,1.0
43.0,100.0,3.0,9.0,450.0,321.0,13571.0,45856.0,0.47322923606973044,0.0,1.0
34.0,100.0,5.0,9.0,944.0,706.0,30111.0,108608.0,0.5820013882153509,0.0,1.0
43.0,1000.0,3.0,9.0,450.0,321.0,13571.0,45856.0,0.47322923606973044,0.0,1.0
34.0,1000.0,5.0,9.0,944.0,706.0,30111.0,108608.0,0.5820013882153509,0.0,1.0
32.0,100.0,3.0,9.0,284.0,205.0,8620.0,28704.0,0.4269480195508917,0.0,2.0
32.0,1000.0,3.0,9.0,284.0,205.0,8620.0,28704.0,0.4269480195508917,0.0,2.0
25.0,100.0,3.0,9.0,181.0,132.0,5516.0,17920.0,0.3911829563734842,0.0,4.0
25.0,1000.0,3.0,9.0,181.0,132.0,5516.0,17920.0,0.3911829563734842,0.0,4.0
17.0,100.0,3.0,6.0,80.0,55.0,2406.0,6624.0,0.30496917044190797,0.0,8.0
17.0,1000.0,3.0,6.0,80.0,55.0,2406.0,6624.0,0.30496917044190797,0.0,8.0
13.0,100.0,3.0,3.0,42.0,30.0,1283.0,3136.0,0.2568747473291526,0.0,16.0
13.0,1000.0,3.0,3.0,42.0,30.0,1283.0,3136.0,0.2568747473291526,0.0,16.0
5.0,5.0,3.0,2.0,14.0,10.0,476.0,960.0,0.14973736440183782,0.0,32.0
5.0,5.0,5.0,2.0,14.0,10.0,596.0,960.0,0.14973736440183782,0.0,32.0
7.0,25.0,3.0,2.0,19.0,14.0,616.0,1344.0,0.17951252537782525,0.0,32.0
7.0,25.0,5.0,2.0,19.0,14.0,736.0,1344.0,0.17951252537782525,0.0,32.0
7.0,50.0,3.0,2.0,19.0,14.0,616.0,1344.0,0.17951252537782525,0.0,32.0
7.0,50.0,5.0,2.0,19.0,14.0,736.0,1344.0,0.17951252537782525,0.0,32.0
7.0,100.0,3.0,2.0,19.0,14.0,616.0,1344.0,0.17951252537782525,0.0,32.0
7.0,100.0,5.0,2.0,19.0,14.0,736.0,1344.0,0.17951252537782525,0.0,32.0
7.0,1000.0,3.0,2.0,19.0,14.0,616.0,1344.0,0.17951252537782525,0.0,32.0
7.0,1000.0,5.0,2.0,19.0,14.0,736.0,1344.0,0.17951252537782525,0.0,32.0
3.0,100.0,3.0,2.0,8.0,6.0,299.0,576.0,0.10429093869646655,0.0,64.0
3.0,1000.0,3.0,2.0,8.0,6.0,299.0,576.0,0.10429093869646655,0.0,64.0
