no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
4.0,3.0,8.0,66.0,40.0,2540.0,4080.0,0.0,0.0,0.22080938638430736,0.000976562,0.000976562
4.0,5.0,9.0,285.0,160.0,11830.0,17520.0,0.0,0.222352,0.2854632490857021,0.000976562,0.000976562
4.0,7.0,9.0,693.0,392.0,32802.0,43504.0,0.0,0.214013,0.3380545491419269,0.000976562,0.000976562
9.0,3.0,9.0,122.0,80.0,4934.0,8160.0,0.0,0.0,0.3144049992194432,0.000976562,0.000976562
9.0,5.0,9.0,522.0,305.0,22508.0,33360.0,0.0,0.201591,0.4126687276233506,0.000976562,0.000976562
9.0,7.0,9.0,891.0,525.0,49470.0,58000.0,0.0,0.193934,0.4564349612140489,0.000976562,0.000976562
14.0,3.0,9.0,176.0,120.0,7172.0,12240.0,0.0,0.0,0.3668462753083477,0.000976562,0.000976562
14.0,5.0,9.0,704.0,419.0,31034.0,45728.0,0.0,0.190484,0.4756046857362176,0.000976562,0.000976562
14.0,7.0,9.0,982.0,589.0,61925.0,64768.0,0.0,0.185444,0.5029853057401937,0.000976562,0.000976562
19.0,3.0,9.0,229.0,160.0,9618.0,16320.0,0.0,0.0,0.399841356851815,0.000976562,0.000976562
19.0,5.0,9.0,806.0,485.0,36869.0,52720.0,0.0,0.183836,0.5115709115075823,0.000976562,0.000976562
19.0,7.0,9.0,1058.0,636.0,73703.0,69632.0,0.0,0.180252,0.5304291962305011,0.000976562,0.000976562
29.0,3.0,9.0,332.0,239.0,14077.0,24368.0,0.0,0.0,0.4487312609286286,0.000976562,0.000976562
29.0,5.0,9.0,934.0,568.0,46627.0,61216.0,0.0,0.176479,0.5498817391955719,0.000976562,0.000976562
29.0,7.0,9.0,1140.0,696.0,94574.0,75552.0,0.0,0.17424,0.561227866765835,0.000976562,0.000976562
39.0,3.0,9.0,425.0,312.0,18631.0,31744.0,0.0,0.0,0.47325917319608446,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
49.0,3.0,9.0,504.0,376.0,22469.0,38112.0,0.0,0.0,0.4941802833411112,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
51.0,3.0,9.0,517.0,388.0,23131.0,39296.0,0.0,0.0,0.4970553826702566,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
49.0,3.0,9.0,572.0,365.0,25005.0,36880.0,0.0,0.186082,0.49955950106540425,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
51.0,3.0,9.0,517.0,388.0,23131.0,39296.0,0.0,0.0,0.4970553826702566,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
49.0,3.0,9.0,572.0,365.0,25005.0,36880.0,0.0,0.186082,0.49955950106540425,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
49.0,3.0,9.0,572.0,365.0,25005.0,36880.0,0.0,0.186082,0.49955950106540425,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
49.0,3.0,9.0,572.0,365.0,25005.0,36880.0,0.0,0.186082,0.49955950106540425,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
49.0,3.0,9.0,572.0,365.0,25005.0,36880.0,0.0,0.186082,0.49955950106540425,0.000976562,0.000976562
31.0,5.0,9.0,941.0,573.0,47757.0,61616.0,0.0,0.176299,0.5507981878464018,0.000976562,0.000976562
30.0,7.0,9.0,1142.0,698.0,96432.0,75696.0,0.0,0.174058,0.5621442518324192,0.000976562,0.000976562
4.0,3.0,8.0,66.0,40.0,2540.0,4080.0,0.0,0.0,0.22080938638430736,0.000976562,0.00195312
4.0,5.0,9.0,278.0,156.0,11590.0,17072.0,0.0,0.222409,0.28509770079872976,0.000976562,0.00195312
4.0,7.0,9.0,522.0,294.0,26665.0,32528.0,0.0,0.218416,0.3105394143114125,0.000976562,0.00195312
9.0,3.0,9.0,122.0,80.0,4934.0,8160.0,0.0,0.0,0.3144049992194432,0.000976562,0.00195312
9.0,5.0,9.0,464.0,273.0,20409.0,29776.0,0.0,0.202194,0.40914740907500025,0.000976562,0.00195312
9.0,7.0,9.0,663.0,385.0,40081.0,42320.0,0.0,0.198985,0.4277552964865905,0.000976562,0.00195312
14.0,3.0,9.0,176.0,120.0,7172.0,12240.0,0.0,0.0,0.3668462753083477,0.000976562,0.00195312
14.0,5.0,9.0,568.0,340.0,26170.0,36880.0,0.0,0.193376,0.45956083523547864,0.000976562,0.00195312
14.0,7.0,9.0,713.0,420.0,50149.0,45840.0,0.0,0.192611,0.4638271036696585,0.000976562,0.00195312
19.0,3.0,9.0,228.0,159.0,9583.0,16208.0,0.0,0.0,0.39985842133679916,0.000976562,0.00195312
19.0,5.0,9.0,634.0,382.0,30584.0,41184.0,0.0,0.18822,0.4879970563355741,0.000976562,0.00195312
19.0,7.0,9.0,767.0,458.0,60364.0,49696.0,0.0,0.186763,0.4958938234894227,0.000976562,0.00195312
29.0,3.0,9.0,323.0,234.0,13802.0,23808.0,0.0,0.0,0.44881077179554907,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
29.0,7.0,9.0,817.0,495.0,78718.0,53040.0,0.0,0.182912,0.5164674170181036,0.000976562,0.00195312
39.0,3.0,9.0,397.0,297.0,17639.0,30064.0,0.0,0.0,0.4786140965912613,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
44.0,3.0,9.0,420.0,317.0,18936.0,31904.0,0.0,0.0,0.48768606140553616,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
30.0,7.0,9.0,819.0,497.0,80447.0,53184.0,0.0,0.182729,0.5174332794167922,0.000976562,0.00195312
44.0,3.0,9.0,420.0,317.0,18936.0,31904.0,0.0,0.0,0.48768606140553616,0.000976562,0.00195312
28.0,5.0,9.0,710.0,432.0,36920.0,46064.0,0.0,0.181592,0.523417766596882,0.000976562,0.00195312
