no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
4,3,8,66,40,2540,4080,0,0.0,0.2208093863843073,0.000976562,0.000976562,5
4,5,9,285,160,11830,17520,0,0.222352,0.2854632490857021,0.000976562,0.000976562,5
4,7,9,693,392,32802,43504,0,0.214013,0.3380545491419269,0.000976562,0.000976562,5
9,3,9,122,80,4934,8160,0,0.0,0.3144049992194432,0.000976562,0.000976562,10
9,5,9,522,305,22508,33360,0,0.201591,0.4126687276233506,0.000976562,0.000976562,10
9,7,9,891,525,49470,58000,0,0.193934,0.4564349612140489,0.000976562,0.000976562,10
14,3,9,176,120,7172,12240,0,0.0,0.3668462753083477,0.000976562,0.000976562,15
14,5,9,704,419,31034,45728,0,0.190484,0.4756046857362176,0.000976562,0.000976562,15
14,7,9,982,589,61925,64768,0,0.185444,0.5029853057401937,0.000976562,0.000976562,15
19,3,9,229,160,9618,16320,0,0.0,0.399841357,0.000976562,0.000976562,20
19,5,9,806,485,36869,52720,0,0.183836,0.5115709115075823,0.000976562,0.000976562,20
19,7,9,1058,636,73703,69632,0,0.180252,0.5304291962305011,0.000976562,0.000976562,20
29,3,9,332,239,14077,24368,0,0.0,0.4487312609286286,0.000976562,0.000976562,30
29,5,9,934,568,46627,61216,0,0.176479,0.5498817391955719,0.000976562,0.000976562,30
29,7,9,1140,696,94574,75552,0,0.17424,0.561227867,0.000976562,0.000976562,30
39,3,9,425,312,18631,31744,0,0.0,0.4732591731960844,0.000976562,0.000976562,40
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,40
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,40
49,3,9,504,376,22469,38112,0,0.0,0.4941802833411112,0.000976562,0.000976562,50
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,50
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,50
51,3,9,517,388,23131,39296,0,0.0,0.4970553826702566,0.000976562,0.000976562,100
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,100
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,100
49,3,9,572,365,25005,36880,0,0.186082,0.4995595010654042,0.000976562,0.000976562,200
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,200
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,200
51,3,9,517,388,23131,39296,0,0.0,0.4970553826702566,0.000976562,0.000976562,500
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,500
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,500
49,3,9,572,365,25005,36880,0,0.186082,0.4995595010654042,0.000976562,0.000976562,1000
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,1000
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,1000
49,3,9,572,365,25005,36880,0,0.186082,0.4995595010654042,0.000976562,0.000976562,5000
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,5000
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,5000
49,3,9,572,365,25005,36880,0,0.186082,0.4995595010654042,0.000976562,0.000976562,10000
31,5,9,941,573,47757,61616,0,0.176299,0.5507981878464018,0.000976562,0.000976562,10000
30,7,9,1142,698,96432,75696,0,0.174058,0.5621442518324192,0.000976562,0.000976562,10000
49,3,9,572,365,25005,36880,0,0.186082,0.4995595010654042,0.000976562,0.000976562,100000
