no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
0.0,3.0,0.0,0.0,6.0,0.0,592.0,0.0,0.0,0.9109375,0.0,0.0
0.0,5.0,0.0,0.0,15.0,0.0,1600.0,0.0,0.0,0.93125,0.0,0.0
0.0,7.0,0.0,0.0,26.0,0.0,2832.0,0.0,0.0,0.946875,0.0,0.0
1.0,3.0,0.0,0.0,12.0,0.0,1184.0,0.0,0.0,0.9109375,0.0,0.0
1.0,5.0,0.0,0.0,32.0,0.0,3424.0,0.0,0.0,0.93125,0.0,0.0
1.0,7.0,0.0,0.0,54.0,0.0,5888.0,0.0,0.0,0.9640625,0.0,0.0
2.0,3.0,0.0,0.0,19.0,0.0,1888.0,0.0,0.0,0.9109375,0.0,0.0
2.0,5.0,0.0,0.0,49.0,0.0,5248.0,0.0,0.0,0.93125,0.0,0.0
2.0,7.0,0.0,0.0,83.0,0.0,9056.0,0.0,0.0,0.9703125,0.0,0.0
3.0,3.0,0.0,0.0,24.0,0.0,2368.0,0.0,0.0,0.9109375,0.0,0.0
3.0,5.0,0.0,0.0,63.0,0.0,6736.0,0.0,0.0,0.93125,0.0,0.0
3.0,7.0,0.0,0.0,108.0,0.0,11776.0,0.0,0.0,0.9703125,0.0,0.0
4.0,3.0,0.0,0.0,31.0,0.0,3072.0,0.0,0.0,0.9109375,0.0,0.0
4.0,5.0,0.0,0.0,81.0,0.0,8672.0,0.0,0.0,0.93125,0.0,0.0
4.0,7.0,0.0,0.0,137.0,0.0,14944.0,0.0,0.0,0.975,0.0,0.0
5.0,3.0,0.0,0.0,37.0,0.0,3664.0,0.0,0.0,0.9109375,0.0,0.0
5.0,5.0,0.0,0.0,97.0,0.0,10384.0,0.0,0.0,0.93125,0.0,0.0
5.0,7.0,0.0,0.0,165.0,0.0,18000.0,0.0,0.0,0.9765625,0.0,0.0
6.0,3.0,0.0,0.0,43.0,0.0,4256.0,0.0,0.0,0.9109375,0.0,0.0
6.0,5.0,0.0,0.0,114.0,0.0,12208.0,0.0,0.0,0.93125,0.0,0.0
6.0,7.0,0.0,0.0,192.0,0.0,20944.0,0.0,0.0,0.9765625,0.0,0.0
7.0,3.0,0.0,0.0,49.0,0.0,4848.0,0.0,0.0,0.9109375,0.0,0.0
7.0,5.0,0.0,0.0,131.0,0.0,14032.0,0.0,0.0,0.93125,0.0,0.0
7.0,7.0,0.0,0.0,222.0,0.0,24224.0,0.0,0.0,0.9765625,0.0,0.0
8.0,3.0,0.0,0.0,57.0,0.0,5664.0,0.0,0.0,0.9109375,0.0,0.0
8.0,5.0,0.0,0.0,151.0,0.0,16192.0,0.0,0.0,0.93125,0.0,0.0
8.0,7.0,0.0,0.0,258.0,0.0,28176.0,0.0,0.0,0.9765625,0.0,0.0
9.0,3.0,0.0,0.0,65.0,0.0,6480.0,0.0,0.0,0.9109375,0.0,0.0
9.0,5.0,0.0,0.0,170.0,0.0,18240.0,0.0,0.0,0.93125,0.0,0.0
9.0,7.0,0.0,0.0,295.0,0.0,32240.0,0.0,0.0,0.9765625,0.0,0.0
14.0,3.0,0.0,0.0,105.0,0.0,10560.0,0.0,0.0,0.93125,0.0,0.0
14.0,5.0,0.0,0.0,255.0,0.0,27360.0,0.0,0.0,0.93125,0.0,0.0
14.0,7.0,0.0,0.0,467.0,0.0,51104.0,0.0,0.0,0.9796875,0.0,0.0
19.0,3.0,0.0,0.0,145.0,0.0,14640.0,0.0,0.0,0.93125,0.0,0.0
19.0,5.0,0.0,0.0,344.0,0.0,36928.0,0.0,0.0,0.9453125,0.0,0.0
19.0,7.0,0.0,0.0,649.0,0.0,71088.0,0.0,0.0,0.984375,0.0,0.0
29.0,3.0,0.0,0.0,225.0,0.0,22800.0,0.0,0.0,0.93125,0.0,0.0
29.0,5.0,0.0,0.0,510.0,0.0,54720.0,0.0,0.0,0.9484375,0.0,0.0
29.0,7.0,0.0,0.0,1017.0,0.0,111504.0,0.0,0.0,0.9875,0.0,0.0
39.0,3.0,0.0,0.0,305.0,0.0,30960.0,0.0,0.0,0.9359375,0.0,0.0
39.0,5.0,0.0,0.0,754.0,0.0,81248.0,0.0,0.0,0.95625,0.0,0.0
39.0,7.0,0.0,0.0,1338.0,0.0,146656.0,0.0,0.0,0.9875,0.0,0.0
49.0,3.0,0.0,0.0,385.0,0.0,39120.0,0.0,0.0,0.9453125,0.0,0.0
49.0,5.0,0.0,0.0,999.0,0.0,107888.0,0.0,0.0,0.9609375,0.0,0.0
49.0,7.0,0.0,0.0,1664.0,0.0,182368.0,0.0,0.0,0.9875,0.0,0.0
99.0,3.0,0.0,0.0,766.0,0.0,77792.0,0.0,0.0,0.965625,0.0,0.0
99.0,5.0,0.0,0.0,2135.0,0.0,231120.0,0.0,0.0,0.9859375,0.0,0.0
99.0,7.0,0.0,0.0,4190.0,0.0,461280.0,0.0,0.0,0.990625,0.0,0.0
