no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
4.0,3.0,8.0,38.0,40.0,1564.0,4080.0,0.0,0.0,0.9501538461538461,0.000976562,0.000976562
4.0,5.0,14.0,63.0,73.0,3632.0,7776.0,0.0,0.0,0.992,0.000976562,0.000976562
4.0,7.0,14.0,46.0,85.0,7267.0,9120.0,0.0,0.0,0.9969230769230769,0.000976562,0.000976562
9.0,3.0,8.0,76.0,80.0,3274.0,8160.0,0.0,0.0,0.9778461538461538,0.000976562,0.000976562
9.0,5.0,14.0,111.0,146.0,7144.0,15552.0,0.0,0.0,0.992,0.000976562,0.000976562
9.0,7.0,16.0,90.0,173.0,17050.0,18576.0,0.0,0.0,0.9969230769230769,0.000976562,0.000976562
14.0,3.0,10.0,120.0,120.0,5139.0,12240.0,0.0,0.0,0.976,0.000976562,0.000976562
14.0,5.0,15.0,169.0,217.0,11338.0,23104.0,0.0,0.0,0.9944615384615385,0.000976562,0.000976562
14.0,7.0,18.0,136.0,260.0,27556.0,27920.0,0.0,0.0,1.0,0.000976562,0.000976562
19.0,3.0,16.0,163.0,154.0,7029.0,15648.0,0.0,0.0,0.9883076923076923,0.000976562,0.000976562
19.0,5.0,15.0,240.0,293.0,15650.0,31216.0,0.0,0.0,1.0,0.000976562,0.000976562
19.0,7.0,18.0,192.0,350.0,39655.0,37600.0,0.0,0.0,1.0,0.000976562,0.000976562
29.0,3.0,16.0,216.0,206.0,9715.0,20672.0,0.0,0.0,0.9883076923076923,0.000976562,0.000976562
29.0,5.0,18.0,393.0,442.0,26509.0,47104.0,0.0,0.0,1.0,0.000976562,0.000976562
29.0,7.0,18.0,322.0,530.0,64435.0,56960.0,0.0,0.0,1.0,0.000976562,0.000976562
39.0,3.0,18.0,278.0,262.0,13073.0,26144.0,0.0,0.0,0.9938461538461538,0.000976562,0.000976562
39.0,5.0,18.0,534.0,586.0,35664.0,62432.0,0.0,0.0,1.0,0.000976562,0.000976562
39.0,7.0,18.0,460.0,699.0,86893.0,75088.0,0.0,0.0,1.0,0.000976562,0.000976562
49.0,3.0,19.0,336.0,317.0,16422.0,31504.0,0.0,0.0,0.9944615384615385,0.000976562,0.000976562
49.0,5.0,18.0,621.0,671.0,44700.0,71152.0,0.0,0.0,1.0,0.000976562,0.000976562
49.0,7.0,18.0,586.0,828.0,115446.0,88736.0,0.0,0.0,1.0,0.000976562,0.000976562
99.0,3.0,19.0,597.0,568.0,31440.0,55616.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
123.0,3.0,19.0,715.0,685.0,38165.0,66800.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
123.0,3.0,19.0,715.0,685.0,38165.0,66800.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
123.0,3.0,19.0,715.0,685.0,38165.0,66800.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
123.0,3.0,19.0,715.0,685.0,38165.0,66800.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
123.0,3.0,19.0,715.0,685.0,38165.0,66800.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
123.0,3.0,19.0,715.0,685.0,38165.0,66800.0,0.0,0.0,1.0,0.000976562,0.000976562
69.0,5.0,18.0,771.0,818.0,59364.0,86016.0,0.0,0.0,1.0,0.000976562,0.000976562
71.0,7.0,18.0,695.0,936.0,161197.0,99072.0,0.0,0.0,1.0,0.000976562,0.000976562
4.0,3.0,8.0,38.0,40.0,1564.0,4080.0,0.0,0.0,0.9501538461538461,0.000976562,0.00195312
4.0,5.0,14.0,62.0,72.0,3598.0,7664.0,0.0,0.0,0.992,0.000976562,0.00195312
4.0,7.0,14.0,46.0,85.0,7267.0,9120.0,0.0,0.0,0.9969230769230769,0.000976562,0.00195312
9.0,3.0,8.0,76.0,80.0,3274.0,8160.0,0.0,0.0,0.9778461538461538,0.000976562,0.00195312
9.0,5.0,14.0,110.0,145.0,7110.0,15440.0,0.0,0.0,0.992,0.000976562,0.00195312
9.0,7.0,16.0,89.0,172.0,17016.0,18464.0,0.0,0.0,0.9969230769230769,0.000976562,0.00195312
14.0,3.0,10.0,120.0,120.0,5139.0,12240.0,0.0,0.0,0.976,0.000976562,0.00195312
14.0,5.0,15.0,167.0,215.0,11270.0,22880.0,0.0,0.0,0.9944615384615385,0.000976562,0.00195312
14.0,7.0,18.0,135.0,259.0,27522.0,27808.0,0.0,0.0,1.0,0.000976562,0.00195312
19.0,3.0,16.0,163.0,154.0,7029.0,15648.0,0.0,0.0,0.9883076923076923,0.000976562,0.00195312
19.0,5.0,16.0,237.0,287.0,15499.0,30544.0,0.0,0.0,1.0,0.000976562,0.00195312
19.0,7.0,18.0,191.0,349.0,39621.0,37488.0,0.0,0.0,1.0,0.000976562,0.00195312
29.0,3.0,16.0,214.0,204.0,9649.0,20448.0,0.0,0.0,0.9883076923076923,0.000976562,0.00195312
