,no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
0,16.0,16.0,8.0,2.0,181.0,141.0,8858.0,20512.0,0.4524224605873816,256.0,16.0,6400000.0
1,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,256.0,16384.0,6400000.0
2,16.0,16.0,8.0,2.0,93.0,68.0,5295.0,8832.0,0.4313892115389283,512.0,128.0,6400000.0
3,16.0,16.0,8.0,2.0,590.0,496.0,24813.0,77312.0,0.4572177955886265,512.0,0.125,6400000.0
4,16.0,16.0,8.0,2.0,602.0,496.0,25197.0,77312.0,0.4572142138786934,1024.0,0.000976562,6400000.0
5,16.0,16.0,8.0,2.0,466.0,411.0,19854.0,63712.0,0.4575622805254409,1024.0,1.0,6400000.0
6,6.0,16.0,8.0,2.0,18.0,12.0,1883.0,1152.0,0.2355001376400215,1024.0,1024.0,6400000.0
7,16.0,16.0,8.0,2.0,606.0,496.0,25325.0,77312.0,0.4572288752128725,2048.0,0.0078125,6400000.0
8,16.0,16.0,8.0,2.0,242.0,199.0,11158.0,29792.0,0.4548223338556587,2048.0,8.0,6400000.0
9,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,4096.0,0.0625,6400000.0
10,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,2048.0,8192.0,6400000.0
11,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,4096.0,64.0,6400000.0
12,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,8192.0,0.0,6400000.0
13,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,16384.0,4096.0,6400000.0
14,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,8192.0,512.0,6400000.0
15,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,8192.0,0.5,6400000.0
16,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,16384.0,0.00390625,6400000.0
17,1.0,16.0,8.0,1.0,1.0,1.0,543.0,32.0,-0.0002190871974017,16384.0,4.0,6400000.0
