,no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
0,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.000976562,2.0,6400000.0
1,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0,0.25,6400000.0
2,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0078125,0.000976562,6400000.0
3,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.125,4.0,6400000.0
4,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.00195312,16.0,6400000.0
5,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0625,0.0,6400000.0
6,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.00195312,0.015625,6400000.0
7,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.000976562,0.00195312,6400000.0
8,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.00195312,16384.0,6400000.0
9,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.000976562,2048.0,6400000.0
10,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0625,0.5,6400000.0
11,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0078125,1024.0,6400000.0
12,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0,256.0,6400000.0
13,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.015625,8.0,6400000.0
14,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.015625,0.0078125,6400000.0
15,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0078125,1.0,6400000.0
16,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.03125,0.0625,6400000.0
17,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.5,0.25,6400000.0
18,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.03125,64.0,6400000.0
19,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.125,4096.0,6400000.0
20,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.125,0.00390625,6400000.0
21,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.015625,8192.0,6400000.0
22,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,2.0,16.0,6400000.0
23,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.25,0.03125,6400000.0
24,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.0625,512.0,6400000.0
25,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,2.0,0.015625,6400000.0
26,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,1.0,2048.0,6400000.0
27,1.0,1.0,1.0,1.0,1.0,1.0,35.0,32.0,0.513781916129532,0.25,32768.0,6400000.0
28,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,1.0,2.0,6400000.0
29,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.5,256.0,6400000.0
30,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,0.25,32.0,6400000.0
31,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,8.0,0.000976562,6400000.0
32,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,1.0,0.00195312,6400000.0
33,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,4.0,128.0,6400000.0
34,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,8.0,1.0,6400000.0
35,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,16.0,0.0078125,6400000.0
36,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,2.0,16384.0,6400000.0
37,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,16.0,8.0,6400000.0
38,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,32.0,0.0625,6400000.0
39,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,16.0,8192.0,6400000.0
40,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,4.0,0.125,6400000.0
41,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,64.0,0.0,6400000.0
42,1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6648193248022857,8.0,1024.0,6400000.0
