no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
4.0,3.0,8.0,38.0,40.0,1564.0,4080.0,0.0,0.0,0.9501538461538461,2.0,1.0
4.0,5.0,14.0,60.0,70.0,3532.0,7440.0,0.0,0.0,0.992,2.0,1.0
4.0,7.0,14.0,46.0,85.0,7267.0,9120.0,0.0,0.0,0.9969230769230769,2.0,1.0
9.0,3.0,8.0,76.0,80.0,3274.0,8160.0,0.0,0.0,0.9778461538461538,2.0,1.0
9.0,5.0,14.0,106.0,140.0,6976.0,14880.0,0.0,0.0,0.992,2.0,1.0
9.0,7.0,16.0,89.0,172.0,17016.0,18464.0,0.0,0.0,0.9969230769230769,2.0,1.0
14.0,3.0,10.0,120.0,120.0,5139.0,12240.0,0.0,0.0,0.976,2.0,1.0
14.0,5.0,14.0,157.0,206.0,10926.0,21872.0,0.0,0.0,0.9932307692307693,2.0,1.0
14.0,7.0,17.0,133.0,258.0,27447.0,27696.0,0.0,0.0,1.0,2.0,1.0
19.0,3.0,15.0,157.0,150.0,6835.0,15200.0,0.0,0.0,0.9883076923076923,2.0,1.0
19.0,5.0,14.0,214.0,277.0,14753.0,29424.0,0.0,0.0,0.9969230769230769,2.0,1.0
19.0,7.0,17.0,189.0,348.0,39547.0,37376.0,0.0,0.0,1.0,2.0,1.0
29.0,3.0,15.0,209.0,201.0,9487.0,20112.0,0.0,0.0,0.9913846153846154,2.0,1.0
29.0,5.0,17.0,358.0,419.0,25223.0,44528.0,0.0,0.0,1.0,2.0,1.0
29.0,7.0,17.0,317.0,512.0,64238.0,54944.0,0.0,0.0,1.0,2.0,1.0
39.0,3.0,17.0,268.0,252.0,12792.0,25024.0,0.0,0.0,0.9932307692307693,2.0,1.0
39.0,5.0,17.0,471.0,529.0,33380.0,56048.0,0.0,0.0,1.0,2.0,1.0
39.0,7.0,17.0,446.0,647.0,86464.0,69264.0,0.0,0.0,1.0,2.0,1.0
49.0,3.0,17.0,320.0,302.0,15936.0,29824.0,0.0,0.0,0.9938461538461538,2.0,1.0
49.0,5.0,18.0,545.0,601.0,40296.0,63312.0,0.0,0.0,1.0,2.0,1.0
49.0,7.0,17.0,507.0,708.0,106382.0,75296.0,0.0,0.0,1.0,2.0,1.0
99.0,3.0,20.0,578.0,547.0,30822.0,53264.0,0.0,0.0,1.0,2.0,1.0
63.0,5.0,18.0,644.0,698.0,51970.0,73056.0,0.0,0.0,1.0,2.0,1.0
63.0,7.0,17.0,571.0,771.0,141704.0,81232.0,0.0,0.0,1.0,2.0,1.0
106.0,3.0,20.0,611.0,579.0,32735.0,56288.0,0.0,0.0,1.0,2.0,1.0
63.0,5.0,18.0,644.0,698.0,51970.0,73056.0,0.0,0.0,1.0,2.0,1.0
63.0,7.0,17.0,571.0,771.0,141704.0,81232.0,0.0,0.0,1.0,2.0,1.0
4.0,3.0,8.0,38.0,40.0,1564.0,4080.0,0.0,0.0,0.9501538461538461,4.0,1.0
4.0,5.0,14.0,60.0,70.0,3532.0,7440.0,0.0,0.0,0.992,4.0,1.0
4.0,7.0,14.0,46.0,85.0,7267.0,9120.0,0.0,0.0,0.9969230769230769,4.0,1.0
9.0,3.0,8.0,76.0,80.0,3274.0,8160.0,0.0,0.0,0.9778461538461538,4.0,1.0
9.0,5.0,14.0,106.0,140.0,6976.0,14880.0,0.0,0.0,0.992,4.0,1.0
9.0,7.0,16.0,89.0,172.0,17016.0,18464.0,0.0,0.0,0.9969230769230769,4.0,1.0
14.0,3.0,10.0,120.0,120.0,5139.0,12240.0,0.0,0.0,0.976,4.0,1.0
14.0,5.0,14.0,157.0,206.0,10926.0,21872.0,0.0,0.0,0.9932307692307693,4.0,1.0
14.0,7.0,17.0,134.0,256.0,27477.0,27472.0,0.0,0.0,1.0,4.0,1.0
19.0,3.0,15.0,156.0,149.0,6802.0,15088.0,0.0,0.0,0.9883076923076923,4.0,1.0
19.0,5.0,14.0,210.0,273.0,14617.0,28976.0,0.0,0.0,0.9969230769230769,4.0,1.0
19.0,7.0,17.0,191.0,341.0,39603.0,36592.0,0.0,0.0,1.0,4.0,1.0
29.0,3.0,15.0,208.0,200.0,9454.0,20000.0,0.0,0.0,0.9913846153846154,4.0,1.0
29.0,5.0,16.0,344.0,403.0,23804.0,42736.0,0.0,0.0,1.0,4.0,1.0
29.0,7.0,17.0,313.0,489.0,64138.0,52368.0,0.0,0.0,1.0,4.0,1.0
39.0,3.0,17.0,264.0,249.0,12570.0,24688.0,0.0,0.0,0.9932307692307693,4.0,1.0
39.0,5.0,17.0,427.0,483.0,31907.0,50896.0,0.0,0.0,1.0,4.0,1.0
39.0,7.0,17.0,394.0,567.0,84721.0,60304.0,0.0,0.0,1.0,4.0,1.0
49.0,3.0,17.0,314.0,297.0,15636.0,29264.0,0.0,0.0,0.9938461538461538,4.0,1.0
