no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
0.0,3.0,0.0,0.0,8.0,0.0,816.0,0.0,0.0,0.9513846153846154,0.0,0.0
0.0,5.0,0.0,0.0,19.0,0.0,2048.0,0.0,0.0,0.9766153846153847,0.0,0.0
0.0,7.0,0.0,0.0,23.0,0.0,2496.0,0.0,0.0,0.9969230769230769,0.0,0.0
1.0,3.0,0.0,0.0,16.0,0.0,1632.0,0.0,0.0,0.9513846153846154,0.0,0.0
1.0,5.0,0.0,0.0,39.0,0.0,4208.0,0.0,0.0,0.9895384615384616,0.0,0.0
1.0,7.0,0.0,0.0,47.0,0.0,5104.0,0.0,0.0,0.9969230769230769,0.0,0.0
2.0,3.0,0.0,0.0,24.0,0.0,2448.0,0.0,0.0,0.9513846153846154,0.0,0.0
2.0,5.0,0.0,0.0,58.0,0.0,6256.0,0.0,0.0,0.9895384615384616,0.0,0.0
2.0,7.0,0.0,0.0,70.0,0.0,7600.0,0.0,0.0,0.9969230769230769,0.0,0.0
3.0,3.0,0.0,0.0,32.0,0.0,3264.0,0.0,0.0,0.9513846153846154,0.0,0.0
3.0,5.0,0.0,0.0,75.0,0.0,8080.0,0.0,0.0,0.9895384615384616,0.0,0.0
3.0,7.0,0.0,0.0,94.0,0.0,10208.0,0.0,0.0,0.9969230769230769,0.0,0.0
4.0,3.0,0.0,0.0,40.0,0.0,4080.0,0.0,0.0,0.9501538461538461,0.0,0.0
4.0,5.0,0.0,0.0,91.0,0.0,9792.0,0.0,0.0,0.992,0.0,0.0
4.0,7.0,0.0,0.0,113.0,0.0,12256.0,0.0,0.0,0.9969230769230769,0.0,0.0
5.0,3.0,0.0,0.0,48.0,0.0,4896.0,0.0,0.0,0.9501538461538461,0.0,0.0
5.0,5.0,0.0,0.0,108.0,0.0,11616.0,0.0,0.0,0.992,0.0,0.0
5.0,7.0,0.0,0.0,136.0,0.0,14752.0,0.0,0.0,0.9969230769230769,0.0,0.0
6.0,3.0,0.0,0.0,56.0,0.0,5712.0,0.0,0.0,0.9501538461538461,0.0,0.0
6.0,5.0,0.0,0.0,126.0,0.0,13552.0,0.0,0.0,0.992,0.0,0.0
6.0,7.0,0.0,0.0,163.0,0.0,17696.0,0.0,0.0,0.9969230769230769,0.0,0.0
7.0,3.0,0.0,0.0,64.0,0.0,6528.0,0.0,0.0,0.9778461538461538,0.0,0.0
7.0,5.0,0.0,0.0,144.0,0.0,15488.0,0.0,0.0,0.992,0.0,0.0
7.0,7.0,0.0,0.0,188.0,0.0,20416.0,0.0,0.0,0.9969230769230769,0.0,0.0
8.0,3.0,0.0,0.0,72.0,0.0,7344.0,0.0,0.0,0.9778461538461538,0.0,0.0
8.0,5.0,0.0,0.0,161.0,0.0,17312.0,0.0,0.0,0.992,0.0,0.0
8.0,7.0,0.0,0.0,213.0,0.0,23136.0,0.0,0.0,0.9969230769230769,0.0,0.0
9.0,3.0,0.0,0.0,80.0,0.0,8160.0,0.0,0.0,0.9778461538461538,0.0,0.0
9.0,5.0,0.0,0.0,177.0,0.0,19024.0,0.0,0.0,0.992,0.0,0.0
9.0,7.0,0.0,0.0,235.0,0.0,25520.0,0.0,0.0,0.9969230769230769,0.0,0.0
14.0,3.0,0.0,0.0,120.0,0.0,12240.0,0.0,0.0,0.976,0.0,0.0
14.0,5.0,0.0,0.0,272.0,0.0,29264.0,0.0,0.0,0.9944615384615385,0.0,0.0
14.0,7.0,0.0,0.0,374.0,0.0,40688.0,0.0,0.0,1.0,0.0,0.0
19.0,3.0,0.0,0.0,159.0,0.0,16208.0,0.0,0.0,0.9883076923076923,0.0,0.0
19.0,5.0,0.0,0.0,381.0,0.0,41072.0,0.0,0.0,1.0,0.0,0.0
19.0,7.0,0.0,0.0,511.0,0.0,55632.0,0.0,0.0,1.0,0.0,0.0
29.0,3.0,0.0,0.0,234.0,0.0,23808.0,0.0,0.0,0.9883076923076923,0.0,0.0
29.0,5.0,0.0,0.0,603.0,0.0,65136.0,0.0,0.0,1.0,0.0,0.0
29.0,7.0,0.0,0.0,788.0,0.0,85856.0,0.0,0.0,1.0,0.0,0.0
39.0,3.0,0.0,0.0,308.0,0.0,31296.0,0.0,0.0,0.9938461538461538,0.0,0.0
39.0,5.0,0.0,0.0,818.0,0.0,88416.0,0.0,0.0,1.0,0.0,0.0
39.0,7.0,0.0,0.0,1060.0,0.0,115520.0,0.0,0.0,1.0,0.0,0.0
49.0,3.0,0.0,0.0,385.0,0.0,39120.0,0.0,0.0,0.9944615384615385,0.0,0.0
49.0,5.0,0.0,0.0,1075.0,0.0,116400.0,0.0,0.0,1.0,0.0,0.0
49.0,7.0,0.0,0.0,1347.0,0.0,146864.0,0.0,0.0,1.0,0.0,0.0
99.0,3.0,0.0,0.0,785.0,0.0,79920.0,0.0,0.0,1.0,0.0,0.0
99.0,5.0,0.0,0.0,2406.0,0.0,261472.0,0.0,0.0,1.0,0.0,0.0
99.0,7.0,0.0,0.0,2703.0,0.0,294736.0,0.0,0.0,1.0,0.0,0.0
