no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
5.0,5.0,3.0,8.0,38.0,40.0,1327.0,5760.0,0.9501538461538461,0.0,0.000976562
5.0,5.0,5.0,14.0,62.0,77.0,2344.0,11680.0,0.992,0.0,0.000976562
25.0,25.0,3.0,15.0,202.0,197.0,6653.0,28320.0,0.9883076923076923,0.0,0.000976562
25.0,25.0,5.0,16.0,374.0,454.0,12959.0,69440.0,1.0,0.0,0.000976562
50.0,50.0,3.0,20.0,396.0,383.0,13239.0,54880.0,0.9944615384615385,0.0,0.000976562
50.0,50.0,5.0,19.0,918.0,1013.0,31256.0,155680.0,1.0,0.0,0.000976562
100.0,100.0,3.0,20.0,806.0,782.0,27117.0,112320.0,1.0,0.0,0.000976562
100.0,100.0,5.0,20.0,2300.0,2385.0,78309.0,368800.0,1.0,0.0,0.000976562
1000.0,1000.0,3.0,20.0,4165.0,4135.0,139357.0,533600.0,1.0,0.0,0.000976562
1000.0,1000.0,5.0,20.0,5417.0,5501.0,182831.0,752160.0,1.0,0.0,0.000976562
100.0,100.0,3.0,20.0,806.0,782.0,27117.0,112320.0,1.0,0.0,0.00195312
1000.0,1000.0,3.0,20.0,4165.0,4135.0,139357.0,533600.0,1.0,0.0,0.00195312
100.0,100.0,3.0,19.0,790.0,768.0,26583.0,110080.0,1.0,0.0,0.00390625
1000.0,1000.0,3.0,19.0,4242.0,4214.0,141953.0,546240.0,1.0,0.0,0.00390625
100.0,100.0,3.0,20.0,794.0,770.0,26667.0,110400.0,1.0,0.0,0.0078125
1000.0,1000.0,3.0,20.0,4060.0,4031.0,135777.0,516960.0,1.0,0.0,0.0078125
100.0,100.0,3.0,20.0,794.0,770.0,26667.0,110400.0,1.0,0.0,0.015625
1000.0,1000.0,3.0,20.0,4131.0,4105.0,138093.0,528800.0,1.0,0.0,0.015625
5.0,5.0,3.0,8.0,38.0,40.0,1327.0,5760.0,0.9501538461538461,0.0,0.03125
5.0,5.0,5.0,14.0,62.0,77.0,2344.0,11680.0,0.992,0.0,0.03125
25.0,25.0,3.0,15.0,198.0,193.0,6464.0,27680.0,0.9883076923076923,0.0,0.03125
25.0,25.0,5.0,16.0,373.0,453.0,12900.0,69280.0,1.0,0.0,0.03125
50.0,50.0,3.0,18.0,387.0,376.0,12816.0,53760.0,0.9944615384615385,0.0,0.03125
50.0,50.0,5.0,18.0,912.0,1009.0,30930.0,155040.0,1.0,0.0,0.03125
100.0,100.0,3.0,19.0,788.0,766.0,26520.0,109760.0,1.0,0.0,0.03125
100.0,100.0,5.0,19.0,2280.0,2367.0,77265.0,365920.0,1.0,0.0,0.03125
1000.0,1000.0,3.0,19.0,4181.0,4158.0,139735.0,537280.0,1.0,0.0,0.03125
1000.0,1000.0,5.0,19.0,5447.0,5534.0,182603.0,757440.0,1.0,0.0,0.03125
100.0,100.0,3.0,18.0,785.0,766.0,26245.0,109760.0,1.0,0.0,0.0625
1000.0,1000.0,3.0,18.0,3980.0,3960.0,133019.0,505600.0,1.0,0.0,0.0625
100.0,100.0,3.0,18.0,785.0,766.0,26245.0,109760.0,1.0,0.0,0.125
1000.0,1000.0,3.0,18.0,3980.0,3960.0,133019.0,505600.0,1.0,0.0,0.125
100.0,100.0,3.0,17.0,783.0,769.0,26157.0,110240.0,1.0,0.0,0.25
1000.0,1000.0,3.0,17.0,3954.0,3940.0,131364.0,502400.0,1.0,0.0,0.25
100.0,100.0,3.0,18.0,783.0,769.0,26149.0,110240.0,1.0,0.0,0.5
1000.0,1000.0,3.0,18.0,4148.0,4134.0,137876.0,533440.0,1.0,0.0,0.5
