no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
4,3,8,38,40,1564,4080,0,0,0.950153846153846,0.000976562,0.000976562,5
4,5,14,63,73,3632,7776,0,0,0.992,0.000976562,0.000976562,5
4,7,14,46,85,7267,9120,0,0,0.9969230769230768,0.000976562,0.000976562,5
9,3,8,76,80,3274,8160,0,0,0.9778461538461538,0.000976562,0.000976562,10
9,5,14,111,146,7144,15552,0,0,0.992,0.000976562,0.000976562,10
9,7,16,90,173,17050,18576,0,0,0.9969230769230768,0.000976562,0.000976562,10
14,3,10,120,120,5139,12240,0,0,0.976,0.000976562,0.000976562,15
14,5,15,169,217,11338,23104,0,0,0.9944615384615384,0.000976562,0.000976562,15
14,7,18,136,260,27556,27920,0,0,1.0,0.000976562,0.000976562,15
19,3,16,163,154,7029,15648,0,0,0.9883076923076924,0.000976562,0.000976562,20
19,5,15,240,293,15650,31216,0,0,1.0,0.000976562,0.000976562,20
19,7,18,192,350,39655,37600,0,0,1.0,0.000976562,0.000976562,20
29,3,16,216,206,9715,20672,0,0,0.9883076923076924,0.000976562,0.000976562,30
29,5,18,393,442,26509,47104,0,0,1.0,0.000976562,0.000976562,30
29,7,18,322,530,64435,56960,0,0,1.0,0.000976562,0.000976562,30
39,3,18,278,262,13073,26144,0,0,0.9938461538461538,0.000976562,0.000976562,40
39,5,18,534,586,35664,62432,0,0,1.0,0.000976562,0.000976562,40
39,7,18,460,699,86893,75088,0,0,1.0,0.000976562,0.000976562,40
49,3,19,336,317,16422,31504,0,0,0.9944615384615384,0.000976562,0.000976562,50
49,5,18,621,671,44700,71152,0,0,1.0,0.000976562,0.000976562,50
49,7,18,586,828,115446,88736,0,0,1.0,0.000976562,0.000976562,50
99,3,19,597,568,31440,55616,0,0,1.0,0.000976562,0.000976562,100
69,5,18,771,818,59364,86016,0,0,1.0,0.000976562,0.000976562,100
