no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
2.0,2.0,3.0,8.0,19.0,12.0,741.0,1664.0,0.6228070175438597,0.0,0.0
2.0,2.0,5.0,10.0,30.0,19.0,1360.0,2784.0,0.6228070175438597,0.0,0.0
2.0,2.0,7.0,10.0,34.0,21.0,2367.0,3104.0,0.6228070175438597,0.0,0.0
4.0,4.0,3.0,11.0,37.0,24.0,1382.0,3328.0,0.8947368421052632,0.0,0.0
4.0,4.0,5.0,14.0,65.0,40.0,2597.0,5888.0,0.8947368421052632,0.0,0.0
4.0,4.0,7.0,15.0,87.0,51.0,4322.0,7648.0,0.8947368421052632,0.0,0.0
8.0,8.0,3.0,14.0,76.0,48.0,2733.0,6656.0,0.956140350877193,0.0,0.0
8.0,8.0,5.0,19.0,133.0,83.0,5013.0,12256.0,0.956140350877193,0.0,0.0
8.0,8.0,7.0,21.0,184.0,110.0,7961.0,16576.0,0.956140350877193,0.0,0.0
16.0,16.0,3.0,19.0,154.0,102.0,5454.0,14272.0,0.9649122807017544,0.0,0.0
16.0,16.0,5.0,25.0,268.0,174.0,9776.0,25792.0,0.956140350877193,0.0,0.0
16.0,16.0,7.0,27.0,372.0,230.0,14679.0,34752.0,0.956140350877193,0.0,0.0
32.0,32.0,3.0,25.0,306.0,211.0,10723.0,29664.0,0.956140350877193,0.0,0.0
32.0,32.0,5.0,30.0,548.0,370.0,19590.0,55104.0,0.9649122807017544,0.0,0.0
32.0,32.0,7.0,31.0,772.0,495.0,28803.0,75104.0,0.956140350877193,0.0,0.0
64.0,64.0,3.0,31.0,607.0,435.0,21177.0,61408.0,0.9649122807017544,0.0,0.0
64.0,64.0,5.0,31.0,1198.0,842.0,42744.0,126528.0,0.9649122807017544,0.0,0.0
64.0,64.0,7.0,31.0,1675.0,1136.0,61356.0,173568.0,0.9736842105263158,0.0,0.0
128.0,128.0,3.0,31.0,1146.0,889.0,40204.0,125856.0,0.956140350877193,0.0,0.0
128.0,128.0,5.0,31.0,2297.0,1744.0,82453.0,262656.0,0.9649122807017544,0.0,0.0
128.0,128.0,7.0,31.0,3194.0,2385.0,117210.0,365216.0,0.9649122807017544,0.0,0.0
256.0,256.0,3.0,31.0,2060.0,1667.0,72545.0,233952.0,0.9736842105263158,0.0,0.0
256.0,256.0,5.0,31.0,3032.0,2377.0,108939.0,347552.0,0.9649122807017544,0.0,0.0
256.0,256.0,7.0,31.0,3858.0,2967.0,140915.0,441952.0,0.9649122807017544,0.0,0.0
512.0,512.0,3.0,31.0,2626.0,2214.0,92033.0,288704.0,0.9736842105263158,0.0,0.0
435.0,512.0,5.0,31.0,3401.0,2735.0,121629.0,381920.0,0.9649122807017544,0.0,0.0
512.0,512.0,7.0,31.0,4383.0,3479.0,158997.0,491104.0,0.9649122807017544,0.0,0.0
565.0,1024.0,3.0,31.0,2740.0,2320.0,96079.0,298880.0,0.9736842105263158,0.0,0.0
435.0,1024.0,5.0,31.0,3401.0,2735.0,121629.0,381920.0,0.9649122807017544,0.0,0.0
1024.0,1024.0,7.0,31.0,4425.0,4503.0,162389.0,589408.0,0.9649122807017544,0.0,0.0
2.0,2.0,3.0,8.0,19.0,12.0,741.0,1664.0,0.6228070175438597,0.0,0.000976562
2.0,2.0,5.0,8.0,26.0,16.0,1144.0,2304.0,0.6228070175438597,0.0,0.000976562
2.0,2.0,7.0,8.0,26.0,16.0,1816.0,2304.0,0.6228070175438597,0.0,0.000976562
4.0,4.0,3.0,11.0,37.0,24.0,1382.0,3328.0,0.8947368421052632,0.0,0.000976562
4.0,4.0,5.0,13.0,61.0,37.0,2455.0,5408.0,0.8947368421052632,0.0,0.000976562
4.0,4.0,7.0,14.0,65.0,39.0,3569.0,5728.0,0.8947368421052632,0.0,0.000976562
8.0,8.0,3.0,14.0,76.0,48.0,2733.0,6656.0,0.956140350877193,0.0,0.000976562
8.0,8.0,5.0,18.0,128.0,80.0,4840.0,11776.0,0.956140350877193,0.0,0.000976562
8.0,8.0,7.0,19.0,140.0,87.0,6431.0,12896.0,0.956140350877193,0.0,0.000976562
16.0,16.0,3.0,19.0,154.0,102.0,5454.0,14272.0,0.9649122807017544,0.0,0.000976562
16.0,16.0,5.0,24.0,257.0,169.0,9406.0,24992.0,0.956140350877193,0.0,0.000976562
16.0,16.0,7.0,25.0,286.0,188.0,11661.0,28032.0,0.956140350877193,0.0,0.000976562
32.0,32.0,3.0,25.0,305.0,211.0,10690.0,29664.0,0.956140350877193,0.0,0.000976562
32.0,32.0,5.0,30.0,523.0,363.0,18760.0,53984.0,0.9649122807017544,0.0,0.000976562
32.0,32.0,7.0,30.0,607.0,418.0,23092.0,62784.0,0.9649122807017544,0.0,0.000976562
64.0,64.0,3.0,30.0,596.0,433.0,20806.0,61088.0,0.9649122807017544,0.0,0.000976562
64.0,64.0,5.0,31.0,1089.0,813.0,38827.0,121888.0,0.9649122807017544,0.0,0.000976562
64.0,64.0,7.0,31.0,1298.0,977.0,47835.0,148128.0,0.9736842105263158,0.0,0.000976562
128.0,128.0,3.0,30.0,1105.0,876.0,38691.0,123776.0,0.956140350877193,0.0,0.000976562
128.0,128.0,5.0,31.0,2107.0,1752.0,75481.0,263936.0,0.9649122807017544,0.0,0.000976562
128.0,128.0,7.0,31.0,2621.0,2213.0,96037.0,337696.0,0.9736842105263158,0.0,0.000976562
256.0,256.0,3.0,30.0,1901.0,1651.0,66684.0,231392.0,0.9649122807017544,0.0,0.000976562
256.0,256.0,5.0,31.0,2702.0,2346.0,96577.0,342592.0,0.9649122807017544,0.0,0.000976562
256.0,256.0,7.0,31.0,3172.0,2763.0,115534.0,409312.0,0.9736842105263158,0.0,0.000976562
512.0,512.0,3.0,30.0,2455.0,2205.0,85596.0,287264.0,0.9736842105263158,0.0,0.000976562
355.0,512.0,5.0,31.0,2900.0,2544.0,103339.0,361600.0,0.9649122807017544,0.0,0.000976562
512.0,512.0,7.0,31.0,3684.0,3275.0,133032.0,458464.0,0.9736842105263158,0.0,0.000976562
681.0,1024.0,3.0,30.0,2793.0,2543.0,97083.0,319712.0,0.9736842105263158,0.0,0.000976562
355.0,1024.0,5.0,31.0,2900.0,2544.0,103339.0,361600.0,0.9649122807017544,0.0,0.000976562
1024.0,1024.0,7.0,31.0,4169.0,4299.0,150176.0,556768.0,0.9736842105263158,0.0,0.000976562
2.0,2.0,3.0,8.0,19.0,12.0,741.0,1664.0,0.6228070175438597,0.0,0.00195312
2.0,2.0,5.0,8.0,26.0,16.0,1144.0,2304.0,0.6228070175438597,0.0,0.00195312
2.0,2.0,7.0,8.0,26.0,16.0,1816.0,2304.0,0.6228070175438597,0.0,0.00195312
4.0,4.0,3.0,11.0,37.0,24.0,1382.0,3328.0,0.8947368421052632,0.0,0.00195312
