model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_base,breastcancer,1,1,1,0.0,0.6329670329670329,0.6052631578947368,3
lgbm_base,breastcancer,32,32,1,0.0,0.9692307692307692,0.9122807017543859,96
lgbm_base,breastcancer,8,8,8,0.0,0.978021978021978,0.9298245614035088,212
lgbm_quant,breastcancer,8,8,8,0.0,0.978021978021978,0.9298245614035088,212
lgbm_quant,breastcancer,1,1,1,0.0,0.9692307692307692,0.9122807017543859,3
lgbm_base,breastcancer,64,64,2,0.0,0.9956043956043956,0.9385964912280702,448
lgbm_quant,breastcancer,64,64,2,0.0,0.9956043956043956,0.9385964912280702,448
lgbm_base,kin8nm,32,32,1,0.0,0.04678580576805811,0.04858863228258106,96
lgbm_quant,kin8nm,32,32,1,0.0,0.046784656059278236,0.048586657758128274,96
lgbm_base,mushroom,32,32,1,0.0,0.968148945991691,0.9723076923076923,96
lgbm_quant,mushroom,32,32,1,0.0,0.968148945991691,0.9723076923076923,96
lgbm_base,california_housing,4,4,4,0.0,0.8730120982922631,0.8953762858130344,124
lgbm_base,california_housing,8,8,8,0.0,0.5577614420883822,0.5810792883517257,488
lgbm_quant,california_housing,4,4,4,0.0,0.8731572661985252,0.895348939096015,124
lgbm_quant,california_housing,8,8,8,0.0,0.5593152442440714,0.5817413797616523,488
lgbm_base,mushroom,64,64,2,0.0,0.9981535620864749,0.9975384615384615,446
lgbm_quant,mushroom,64,64,2,0.0,0.9981535620864749,0.9975384615384615,446
lgbm_base,mushroom,128,128,4,0.0,1.0,1.0,3408
lgbm_quant,mushroom,128,128,4,0.0,1.0,1.0,3408
lgbm_base,california_housing,1024,1024,1,0.0,0.31659641005203604,0.34385713835918624,3072
lgbm_base,california_housing,1,1,1,0.0,1.2492948562742885,1.2683547415985175,3
lgbm_quant,california_housing,1,1,1,0.0,1.2499504148793439,1.2690132825615548,3
lgbm_base,california_housing,32,32,1,0.0,0.6492240303000508,0.6723931528164611,96
lgbm_base,mushroom,4,4,4,0.0,0.9783043545160794,0.976,104
lgbm_quant,mushroom,4,4,4,0.0,0.9783043545160794,0.976,104
lgbm_base,kin8nm,4,4,4,0.0,0.053326731021414366,0.05606245361544723,124
lgbm_quant,california_housing,32,32,1,0.0,0.6495874889762053,0.6725765076064611,96
lgbm_quant,kin8nm,4,4,4,0.0,0.05333404061372853,0.056068144903686605,124
lgbm_base,kin8nm,1,1,1,0.0,0.06606371687997134,0.06802546627389565,3
lgbm_quant,kin8nm,1,1,1,0.0,0.06606035068633975,0.06802139176685888,3
lgbm_base,california_housing,2,2,2,0.0,1.1220749409729727,1.1410828966518654,14
lgbm_quant,california_housing,2,2,2,0.0,1.121967695457814,1.140981679527719,14
lgbm_base,kin8nm,8,8,8,0.0,0.03957997878145067,0.0441507935379727,488
lgbm_base,california_housing,64,64,2,0.0,0.3592099927215397,0.3866231939323454,448
lgbm_quant,kin8nm,8,8,8,0.0,0.842569934632946,0.8507036031624751,488
lgbm_base,kin8nm,2,2,2,0.0,0.06188037701106369,0.06407309976776074,14
lgbm_quant,kin8nm,2,2,2,0.0,0.06190795256931695,0.0640996986909508,14
lgbm_quant,california_housing,64,64,2,0.0,0.3615998244302678,0.38916123892681015,448
lgbm_base,mushroom,8,8,8,0.0,0.99523003539006,0.9969230769230769,458
lgbm_quant,mushroom,8,8,8,0.0,0.99523003539006,0.9969230769230769,458
lgbm_base,mushroom,2,2,2,0.0,0.9106016310201569,0.912,14
lgbm_quant,mushroom,2,2,2,0.0,0.9106016310201569,0.912,14
lgbm_base,california_housing,128,128,4,0.0,0.20546527126698952,0.25010026186116857,3670
lgbm_base,mushroom,256,256,8,0.0,1.0,1.0,7842
lgbm_base,mushroom,1024,1024,1,0.0,1.0,1.0,3072
lgbm_quant,mushroom,256,256,8,0.0,1.0,1.0,7842
lgbm_quant,california_housing,1024,1024,1,0.0,0.3208748790802768,0.3468725064841657,3072
lgbm_quant,california_housing,128,128,4,0.0,0.24313187314160378,0.28812186115631816,3670
lgbm_quant,mushroom,1024,1024,1,0.0,1.0,1.0,3072
lgbm_base,california_housing,256,256,8,0.0,0.10588487880209296,0.20631325154357058,15614
lgbm_quant,california_housing,256,256,8,0.0,16.951692276678227,16.96519408330547,15614
lgbm_base,mushroom,1,1,1,0.0,0.7864286813355901,0.8055384615384615,3
lgbm_quant,mushroom,1,1,1,0.0,0.7864286813355901,0.8055384615384615,3
lgbm_base,breastcancer,8,8,4,0.0,0.978021978021978,0.9298245614035088,120
lgbm_quant,breastcancer,8,8,4,0.0,0.978021978021978,0.9298245614035088,120
lgbm_base,breastcancer,16,16,8,0.0,0.9934065934065934,0.9298245614035088,458
lgbm_quant,breastcancer,16,16,8,0.0,0.9934065934065934,0.9298245614035088,458
lgbm_base,breastcancer,64,64,1,0.0,0.9912087912087912,0.9298245614035088,192
lgbm_quant,breastcancer,64,64,1,0.0,0.9912087912087912,0.9298245614035088,192
lgbm_base,covtype,128,128,4,0.0,0.8044659204103191,0.8004268392382297,3894
lgbm_base,mushroom,64,64,1,0.0,0.9746114786890291,0.976,192
lgbm_quant,mushroom,64,64,1,0.0,0.9746114786890291,0.976,192
lgbm_base,kin8nm,4,4,2,0.0,0.05692590043209845,0.05910488429394084,28
lgbm_quant,kin8nm,4,4,2,0.0,0.05694835270908654,0.05912636496203198,28
lgbm_base,california_housing,256,256,4,0.0,0.16962844462383556,0.22474521268698178,7228
lgbm_quant,california_housing,256,256,4,0.0,0.21006442633708297,0.26504669925826607,7228
lgbm_base,mushroom,4,4,2,0.0,0.9106016310201569,0.912,28
lgbm_quant,mushroom,4,4,2,0.0,0.9106016310201569,0.912,28
lgbm_base,california_housing,2,2,1,0.0,1.1840586067669492,1.204435949687965,6
lgbm_quant,california_housing,2,2,1,0.0,1.1846602455252404,1.2050254582502047,6
lgbm_base,kin8nm,8,8,4,0.0,0.04498487884865543,0.048138070964654105,248
lgbm_base,kin8nm,2,2,1,0.0,0.06360830996260533,0.06548092029734409,6
lgbm_quant,kin8nm,2,2,1,0.0,0.06360467390051404,0.06547653616469687,6
lgbm_quant,kin8nm,8,8,4,0.0,0.04499031666292585,0.04814344698440796,248
lgbm_base,mushroom,2,2,1,0.0,0.7864286813355901,0.8055384615384615,6
lgbm_quant,mushroom,2,2,1,0.0,0.7864286813355901,0.8055384615384615,6
lgbm_base,california_housing,8,8,4,0.0,0.6498159225854324,0.6759120198737983,248
