,no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
0,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,2048.0,0.25,6400000.0
1,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,32768.0,1.0,6400000.0
2,56.0,8.0,2.0,2.0,239.0,206.0,8597.0,25792.0,0.5023076923076923,256.0,0.5,6400000.0
3,56.0,8.0,4.0,12.0,1114.0,782.0,39988.0,117952.0,0.5476923076923077,0.0,0.0078125,6400000.0
4,56.0,8.0,4.0,12.0,1118.0,781.0,40110.0,117792.0,0.5476923076923077,0.03125,0.00195312,6400000.0
5,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.0078125,32768.0,6400000.0
6,56.0,8.0,4.0,12.0,1101.0,780.0,39516.0,117632.0,0.5476923076923077,0.000976562,0.0625,6400000.0
7,56.0,8.0,4.0,11.0,307.0,280.0,10856.0,37632.0,0.5230769230769231,0.0078125,32.0,6400000.0
8,7.0,1.0,2.0,8.0,47.0,27.0,1663.0,3424.0,0.4592307692307692,0.5,1.0,6400000.0
9,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,512.0,4096.0,6400000.0
10,56.0,8.0,4.0,12.0,1115.0,781.0,40013.0,117792.0,0.5476923076923077,0.00390625,0.00390625,6400000.0
11,56.0,8.0,4.0,8.0,200.0,184.0,7071.0,22272.0,0.5230769230769231,0.000976562,64.0,6400000.0
12,56.0,8.0,4.0,12.0,1058.0,773.0,38104.0,116512.0,0.55,0.00195312,0.5,6400000.0
13,7.0,1.0,2.0,8.0,47.0,27.0,1663.0,3424.0,0.4592307692307692,0.5,0.000976562,6400000.0
14,56.0,8.0,4.0,12.0,832.0,689.0,29680.0,103072.0,0.546923076923077,0.0,8.0,6400000.0
15,56.0,8.0,4.0,12.0,1122.0,782.0,40247.0,117952.0,0.5476923076923077,0.00195312,0.0,6400000.0
16,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,4096.0,0.00195312,6400000.0
17,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,32768.0,0.000976562,6400000.0
18,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,16384.0,0.125,6400000.0
19,56.0,8.0,2.0,2.0,226.0,197.0,7985.0,24352.0,0.5023076923076923,512.0,4.0,6400000.0
20,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.0,8192.0,6400000.0
21,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,1024.0,0.03125,6400000.0
22,14.0,8.0,4.0,2.0,12.0,16.0,475.0,768.0,0.4592307692307692,0.00195312,512.0,6400000.0
23,7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4592307692307692,0.0,0.0,6400000.0
24,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,1024.0,32768.0,6400000.0
25,7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,0.5,1024.0,6400000.0
26,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,4096.0,2.0,6400000.0
27,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,16.0,6400000.0
28,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,2048.0,256.0,6400000.0
29,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,0.015625,6400000.0
30,56.0,8.0,4.0,12.0,1106.0,781.0,39727.0,117792.0,0.5476923076923077,0.0078125,0.03125,6400000.0
31,56.0,8.0,2.0,2.0,246.0,211.0,8851.0,26592.0,0.5023076923076923,512.0,0.00390625,6400000.0
32,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.03125,2048.0,6400000.0
33,56.0,8.0,4.0,12.0,1082.0,776.0,38895.0,116992.0,0.546923076923077,0.015625,0.25,6400000.0
34,7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4592307692307692,0.0,0.5,6400000.0
35,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,16384.0,128.0,6400000.0
36,56.0,8.0,4.0,12.0,965.0,753.0,34599.0,113312.0,0.5453846153846154,0.00390625,4.0,6400000.0
37,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,1024.0,32.0,6400000.0
38,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.00390625,4096.0,6400000.0
39,7.0,1.0,2.0,8.0,47.0,27.0,1663.0,3424.0,0.4592307692307692,1.0,0.0078125,6400000.0
40,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,256.0,512.0,6400000.0
41,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,32768.0,1024.0,6400000.0
42,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,16384.0,6400000.0
43,56.0,8.0,4.0,12.0,1030.0,784.0,36905.0,118272.0,0.5453846153846154,0.03125,2.0,6400000.0
44,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,4096.0,2048.0,6400000.0
45,7.0,1.0,1.0,2.0,11.0,9.0,373.0,544.0,0.4592307692307692,0.00390625,256.0,6400000.0
46,42.0,8.0,4.0,2.0,35.0,55.0,1265.0,3424.0,0.5023076923076923,0.015625,256.0,6400000.0
47,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.00195312,1024.0,6400000.0
48,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,4096.0,4096.0,6400000.0
49,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,16384.0,256.0,6400000.0
50,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,4096.0,0.00390625,6400000.0
51,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,4096.0,4.0,6400000.0
52,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,32768.0,2048.0,6400000.0
53,7.0,1.0,2.0,8.0,47.0,27.0,1663.0,3424.0,0.4592307692307692,0.5,0.00195312,6400000.0
54,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,32768.0,6400000.0
55,56.0,8.0,4.0,12.0,1104.0,782.0,39668.0,117952.0,0.5430769230769231,0.000976562,0.125,6400000.0
56,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.0,16384.0,6400000.0
57,56.0,8.0,4.0,12.0,1058.0,773.0,38104.0,116512.0,0.55,0.015625,0.5,6400000.0
58,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,32.0,6400000.0
59,56.0,8.0,4.0,12.0,832.0,689.0,29680.0,103072.0,0.546923076923077,0.00390625,8.0,6400000.0
60,14.0,8.0,4.0,2.0,12.0,16.0,475.0,768.0,0.4592307692307692,0.015625,512.0,6400000.0
61,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,0.03125,6400000.0
62,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,32768.0,0.00195312,6400000.0
63,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,1024.0,64.0,6400000.0
64,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,256.0,1024.0,6400000.0
65,56.0,8.0,4.0,12.0,965.0,753.0,34599.0,113312.0,0.5453846153846154,0.03125,4.0,6400000.0
66,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,2048.0,0.5,6400000.0
67,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.03125,4096.0,6400000.0
68,56.0,8.0,4.0,12.0,1122.0,782.0,40247.0,117952.0,0.5476923076923077,0.015625,0.0,6400000.0
69,56.0,8.0,4.0,12.0,1115.0,781.0,40013.0,117792.0,0.5476923076923077,0.03125,0.00390625,6400000.0
70,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,2048.0,512.0,6400000.0
71,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,16384.0,0.25,6400000.0
72,7.0,1.0,1.0,2.0,9.0,8.0,305.0,384.0,0.4592307692307692,0.00390625,512.0,6400000.0
73,56.0,8.0,4.0,12.0,1107.0,781.0,39760.0,117792.0,0.5476923076923077,0.0,0.015625,6400000.0
74,56.0,8.0,4.0,12.0,1101.0,780.0,39516.0,117632.0,0.5476923076923077,0.0078125,0.0625,6400000.0
75,7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4592307692307692,0.00390625,8192.0,6400000.0
76,7.0,1.0,2.0,8.0,47.0,27.0,1663.0,3424.0,0.4592307692307692,1.0,0.015625,6400000.0
77,7.0,1.0,2.0,8.0,47.0,27.0,1663.0,3424.0,0.4592307692307692,0.5,2.0,6400000.0
78,56.0,8.0,4.0,12.0,1119.0,781.0,40143.0,117792.0,0.5476923076923077,0.00195312,0.000976562,6400000.0
79,56.0,8.0,2.0,2.0,246.0,211.0,8851.0,26592.0,0.5023076923076923,512.0,0.0078125,6400000.0
80,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,1024.0,0.0625,6400000.0
81,56.0,8.0,4.0,8.0,200.0,184.0,7071.0,22272.0,0.5230769230769231,0.0078125,64.0,6400000.0
82,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,2048.0,0.0,6400000.0
83,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,32768.0,2.0,6400000.0
84,56.0,8.0,4.0,12.0,1114.0,782.0,39988.0,117952.0,0.5476923076923077,0.00390625,0.0078125,6400000.0
85,7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4592307692307692,0.0,0.000976562,6400000.0
86,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,512.0,8192.0,6400000.0
87,56.0,8.0,2.0,2.0,209.0,183.0,7371.0,22112.0,0.5023076923076923,512.0,8.0,6400000.0
88,56.0,8.0,4.0,12.0,1049.0,768.0,37770.0,115712.0,0.5515384615384615,0.00195312,1.0,6400000.0
89,56.0,8.0,4.0,12.0,621.0,532.0,22155.0,77952.0,0.54,0.0,16.0,6400000.0
90,7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4592307692307692,0.0,1.0,6400000.0
91,56.0,8.0,4.0,3.0,72.0,93.0,2567.0,7712.0,0.5284615384615384,0.000976562,128.0,6400000.0
92,7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,0.5,2048.0,6400000.0
93,56.0,8.0,2.0,2.0,239.0,206.0,8597.0,25792.0,0.5023076923076923,256.0,1.0,6400000.0
94,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,16384.0,512.0,6400000.0
95,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,8192.0,0.0625,6400000.0
96,7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4592307692307692,2048.0,1.0,6400000.0
