model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
ccp,kr-vs-kp,2,2,4,0.5,1.3832927686112306,0.0,0.5015625,2,0.5273919092465753
cegb,breastcancer,4,2,8,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
cegb,breastcancer,2,2,8,0.125,0.8219780219780219,0.0,0.8333333333333334,18,0.6703296703296704
cegb,breastcancer,64,2,4,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
cegb,breastcancer,2,2,1,0.0078125,0.6197802197802198,0.0,0.6578947368421053,6,0.6703296703296704
cegb,kr-vs-kp,8,8,2,0.03125,0.9033646322378716,0.0,0.9078125,44,0.9033657962328766
cegb,breastcancer,64,13,8,0.125,0.9516483516483516,0.0,0.9298245614035088,51,0.9142857142857144
cegb,kr-vs-kp,4,4,2,0.0078125,0.9033646322378716,0.0,0.9078125,22,0.9033657962328766
cegb,breastcancer,1,1,2,0.5,0.6197802197802198,0.0,0.6578947368421053,3,0.6197802197802198
cegb,kr-vs-kp,2,1,4,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,256,19,2,0.03125,0.9374021909233176,0.0,0.9375,111,0.937793542074364
cegb,breastcancer,1,1,8,0.03125,0.6197802197802198,0.0,0.6578947368421053,9,0.6197802197802198
cegb,breastcancer,32,25,8,0.03125,0.9824175824175824,0.0,0.9736842105263158,167,0.9472527472527472
cegb,kr-vs-kp,1,1,8,0.03125,0.9589201877934272,0.0,0.95625,31,0.9491400134540116
cegb,breastcancer,8,8,4,0.0078125,0.9626373626373628,0.0,0.956140350877193,80,0.9208791208791208
cegb,kr-vs-kp,64,3,8,0.125,0.940923317683881,0.0,0.940625,29,0.9409246575342464
cegb,kr-vs-kp,32,1,2,0.5,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
lgbm_base,breastcancer,2,2,2,0.0,0.6197802197802198,0.0,0.6578947368421053,14,0.7076923076923078
lgbm_base,breastcancer,1,1,1,0.0,0.6197802197802198,0.0,0.6578947368421053,3,0.6197802197802197
lgbm_quant,breastcancer,2,2,2,0.0,0.6197802197802198,0.0,0.6578947368421053,14,0.7076923076923078
lgbm_quant,breastcancer,1,1,1,0.0,0.6197802197802198,0.0,0.6578947368421053,3,0.6197802197802197
cegb,kr-vs-kp,16,3,2,0.125,0.9033646322378716,0.0,0.9078125,15,0.9033657962328766
cegb,breastcancer,16,16,8,0.0078125,0.978021978021978,0.0,0.9736842105263158,166,0.9252747252747252
cegb,kr-vs-kp,2,2,1,0.0078125,0.5273865414710485,0.0,0.5015625,6,0.5430474865459882
cegb,breastcancer,2,2,4,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.6703296703296704
ccp,kr-vs-kp,128,128,2,0.0078125,0.7233615073239819,0.0,0.940625,198,0.9303571428571428
ccp,kr-vs-kp,2,2,8,0.125,1.3832927686112306,0.0,0.5015625,2,0.5273919092465753
cegb,breastcancer,512,36,8,0.0078125,0.9934065934065934,0.0,0.9736842105263158,404,0.9516483516483516
cegb,breastcancer,4,4,2,0.0078125,0.945054945054945,0.0,0.9210526315789472,26,0.8989010989010989
ccp,kr-vs-kp,16,16,1,0.5,1.3832927686112306,0.0,0.5015625,16,0.5273919092465753
cegb,breastcancer,8,8,2,0.03125,0.9582417582417584,0.0,0.9473684210526316,52,0.9186813186813186
cegb,breastcancer,16,16,4,0.03125,0.978021978021978,0.0,0.9649122807017544,126,0.9362637362637364
cegb,kr-vs-kp,16,13,4,0.03125,0.940923317683881,0.0,0.940625,133,0.9409246575342464
ccp,kr-vs-kp,16,16,8,0.0078125,0.6189728999395187,0.0,0.940625,94,0.9409246575342464
cegb,breastcancer,32,2,2,0.5,0.6197802197802198,0.0,0.6578947368421053,6,0.720879120879121
cegb,kr-vs-kp,8,5,1,0.125,0.9033646322378716,0.0,0.9078125,15,0.8740115887964773
ccp,kr-vs-kp,4,4,1,0.03125,1.2578124024851454,0.0,0.9078125,12,0.8744029782289628
cegb,breastcancer,512,13,2,0.125,0.9494505494505494,0.0,0.9385964912280702,45,0.9142857142857144
cegb,breastcancer,16,13,2,0.125,0.9494505494505494,0.0,0.9385964912280702,45,0.9142857142857144
ccp,kr-vs-kp,256,256,1,0.125,1.3832927686112306,0.0,0.5015625,256,0.5273919092465753
cegb,kr-vs-kp,2,2,8,0.125,0.940923317683881,0.0,0.940625,20,0.9409246575342464
