model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes
lgbm_base,breastcancer,1,1,1,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,3
lgbm_base,breastcancer,32,32,1,0.0,0.9584352078239609,0.9782608695652174,0.9473684210526315,96
lgbm_quant,breastcancer,1,1,1,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,3
lgbm_base,breastcancer,8,8,8,0.0,0.9706601466992665,0.9782608695652174,0.9736842105263158,226
lgbm_quant,breastcancer,32,32,1,0.0,0.9584352078239609,0.9782608695652174,0.9473684210526315,96
lgbm_base,breastcancer,64,64,2,0.0,0.9951100244498777,1.0,0.956140350877193,448
lgbm_quant,breastcancer,8,8,8,0.0,0.9706601466992665,0.9782608695652174,0.9736842105263158,226
lgbm_quant,breastcancer,64,64,2,0.0,0.9951100244498777,1.0,0.956140350877193,448
lgbm_base,kin8nm,2,2,2,0.0,0.061609738646259536,0.06249149215315539,0.0654891077761027,14
lgbm_quant,kin8nm,2,2,2,0.0,0.061612130785424116,0.06249399582471983,0.06549397109801698,14
lgbm_base,mushroom,32,32,1,0.0,0.9690545392374765,0.9692307692307692,0.9686153846153847,96
lgbm_quant,mushroom,32,32,1,0.0,0.9690545392374765,0.9692307692307692,0.9686153846153847,96
lgbm_base,mushroom,8,8,8,0.0,0.9923063771584887,0.9938461538461538,0.9932307692307693,348
lgbm_quant,mushroom,8,8,8,0.0,0.9923063771584887,0.9938461538461538,0.9932307692307693,348
lgbm_base,kin8nm,1,1,1,0.0,0.06564887561619227,0.06641048526378009,0.06958152832167659,3
lgbm_base,kin8nm,32,32,1,0.0,0.046439865017607544,0.04736524005543354,0.04969060744450953,96
lgbm_quant,kin8nm,1,1,1,0.0,0.06563768975932181,0.06640139334359126,0.06957378346418767,3
lgbm_quant,kin8nm,32,32,1,0.0,0.04644288243651717,0.04736249316535294,0.049687907105612106,96
lgbm_base,california_housing,128,128,4,0.0,0.19952577653375153,0.2480496960415765,0.2460877764868596,3658
lgbm_base,kin8nm,8,8,8,0.0,0.03904922166226702,0.04116685725319337,0.043849632925962105,488
lgbm_base,mushroom,4,4,4,0.0,0.9729868353564712,0.9784615384615385,0.9803076923076923,94
lgbm_quant,kin8nm,8,8,8,0.0,0.039052519113218866,0.04118176609199993,0.04385169714067506,488
lgbm_base,mushroom,2,2,2,0.0,0.9116088220208582,0.9153846153846154,0.9064615384615384,14
lgbm_base,mushroom,128,128,4,0.0,1.0,1.0,1.0,3390
lgbm_quant,mushroom,4,4,4,0.0,0.9729868353564712,0.9784615384615385,0.9803076923076923,94
lgbm_base,kin8nm,4,4,4,0.0,0.0531854308608171,0.054767462868691025,0.05697083453793251,124
lgbm_base,california_housing,4,4,4,0.0,0.8721759103761131,0.8574428933635249,0.9000252849352847,124
lgbm_quant,kin8nm,4,4,4,0.0,0.05316923306751832,0.05475751414751236,0.05695558098487488,124
lgbm_base,california_housing,1,1,1,0.0,1.2493362978242153,1.2061657466939024,1.2847304731349625,3
lgbm_quant,california_housing,4,4,4,0.0,0.8720870431814012,0.8574496094596797,0.8998048075569272,124
lgbm_base,california_housing,8,8,8,0.0,0.5612234019563234,0.5742981138980567,0.5907941101842221,488
lgbm_quant,california_housing,1,1,1,0.0,1.2492258604577355,1.2060706584486538,1.284588928495487,3
lgbm_base,california_housing,2,2,2,0.0,1.123675129417699,1.086208440359442,1.1569124661163799,14
lgbm_quant,mushroom,128,128,4,0.0,1.0,1.0,1.0,3390
lgbm_quant,california_housing,8,8,8,0.0,0.5620166183438244,0.5731620417094072,0.590772582913711,488
lgbm_quant,california_housing,2,2,2,0.0,1.123624838779043,1.0861691233806925,1.156861547335097,14
lgbm_base,mushroom,64,64,2,0.0,0.9977773978457856,0.9984615384615385,0.9987692307692307,446
lgbm_quant,mushroom,64,64,2,0.0,0.9977773978457856,0.9984615384615385,0.9987692307692307,446
lgbm_base,california_housing,64,64,2,0.0,0.3628413911152294,0.3655151960135866,0.37951870170437635,448
lgbm_base,california_housing,32,32,1,0.0,0.6522467681093401,0.6416015990460059,0.6683597311486811,96
lgbm_quant,california_housing,32,32,1,0.0,0.6524483791927242,0.6414229948061659,0.6682766054278814,96
lgbm_quant,california_housing,128,128,4,0.0,0.20611356879501294,0.2508794928114172,0.2511056975917603,3658
lgbm_quant,california_housing,64,64,2,0.0,0.3653717985020827,0.3662974281278605,0.3813240614723942,448
lgbm_base,mushroom,256,256,8,0.0,1.0,1.0,1.0,7438
lgbm_base,mushroom,1024,1024,1,0.0,1.0,1.0,1.0,3072
lgbm_quant,mushroom,256,256,8,0.0,1.0,1.0,1.0,7438
lgbm_quant,mushroom,1024,1024,1,0.0,1.0,1.0,1.0,3072
lgbm_base,california_housing,1024,1024,1,0.0,0.31748761563629063,0.32549849183484064,0.3372688720143482,3072
lgbm_base,california_housing,256,256,8,0.0,0.10130394437897199,0.21366848574732897,0.2098847204222744,15616
lgbm_quant,california_housing,1024,1024,1,0.0,0.3214239776204406,0.32644547281566766,0.34047582895740325,3072
lgbm_quant,california_housing,256,256,8,0.0,5.114339329572417,5.167955415385251,5.191534222984519,15616
lgbm_base,mushroom,1,1,1,0.0,0.7941528466404514,0.7861538461538462,0.7778461538461539,3
lgbm_quant,mushroom,1,1,1,0.0,0.7941528466404514,0.7861538461538462,0.7778461538461539,3
lgbm_base,breastcancer,16,16,8,0.0,0.9828850855745721,0.9782608695652174,0.9736842105263158,474
lgbm_quant,breastcancer,16,16,8,0.0,0.9828850855745721,0.9782608695652174,0.9736842105263158,474
lgbm_base,breastcancer,64,64,1,0.0,0.9828850855745721,1.0,0.956140350877193,192
lgbm_quant,breastcancer,64,64,1,0.0,0.9828850855745721,1.0,0.956140350877193,192
lgbm_base,breastcancer,8,8,4,0.0,0.9706601466992665,0.9782608695652174,0.9736842105263158,130
lgbm_quant,breastcancer,8,8,4,0.0,0.9706601466992665,0.9782608695652174,0.9736842105263158,130
lgbm_base,covtype,128,128,4,0.0,0.8036970989271577,0.8011445536886039,0.8026643029870141,3880
lgbm_base,mushroom,8,8,4,0.0,0.9868353564711917,0.9830769230769231,0.9876923076923076,194
lgbm_base,kin8nm,2,2,1,0.0,0.06322067812362726,0.06368199576711067,0.06710069858537177,6
lgbm_quant,kin8nm,2,2,1,0.0,0.06321081895800773,0.06367413498511787,0.06709418473295677,6
lgbm_base,kin8nm,4,4,2,0.0,0.056552662968701393,0.057478543852844,0.06013307553784605,28
lgbm_quant,kin8nm,4,4,2,0.0,0.056555692274806016,0.05748055866805234,0.06013725540481669,28
lgbm_base,mushroom,4,4,2,0.0,0.9162249957257651,0.916923076923077,0.9113846153846153,28
lgbm_quant,mushroom,4,4,2,0.0,0.9162249957257651,0.916923076923077,0.9113846153846153,28
lgbm_base,mushroom,128,128,2,0.0,0.9996580612070439,1.0,1.0,892
lgbm_quant,mushroom,128,128,2,0.0,0.9996580612070439,1.0,1.0,892
lgbm_base,kin8nm,16,16,8,0.0,0.02785001487855297,0.030870489440022,0.033924330515146976,976
lgbm_quant,kin8nm,16,16,8,0.0,0.027857303581022355,0.030882067927068154,0.03392991927244105,976
lgbm_base,california_housing,64,64,1,0.0,0.532597406362482,0.5287757989687671,0.5488378124792339,192
lgbm_base,kin8nm,8,8,4,0.0,0.04440908281310024,0.046180024989825194,0.04844063509585169,248
lgbm_quant,kin8nm,8,8,4,0.0,0.04439862396960598,0.046174141926427895,0.04842982922363256,248
lgbm_quant,california_housing,64,64,1,0.0,0.5329239651976125,0.5284914180453232,0.5491583896662072,192
lgbm_base,mushroom,2,2,1,0.0,0.7941528466404514,0.7861538461538462,0.7778461538461539,6
lgbm_quant,mushroom,2,2,1,0.0,0.7941528466404514,0.7861538461538462,0.7778461538461539,6
lgbm_base,california_housing,16,16,8,0.0,0.35564740534987266,0.38003550762258476,0.38856259202426463,976
lgbm_base,mushroom,16,16,8,0.0,0.9957257650880492,0.9969230769230769,0.9944615384615385,772
lgbm_base,california_housing,2,2,1,0.0,1.1849154706606002,1.1447560201911529,1.2165717325336103,6
lgbm_base,kin8nm,64,64,2,0.0,0.03409654484805164,0.03451464627897868,0.039398635174877045,448
lgbm_quant,california_housing,16,16,8,0.0,0.35833557537669014,0.3790902555725639,0.39015493522105227,976
lgbm_base,california_housing,4,4,2,0.0,0.9783701914938499,0.9510615759285823,1.0055414367776543,28
lgbm_quant,mushroom,16,16,8,0.0,0.9957257650880492,0.9969230769230769,0.9944615384615385,772
lgbm_quant,california_housing,4,4,2,0.0,0.978349320782205,0.9509946543324432,1.0055025262186439,28
lgbm_quant,kin8nm,64,64,2,0.0,0.03410041289889767,0.03451626437506027,0.03940248688543375,448
lgbm_base,california_housing,128,128,2,0.0,0.2975060183355876,0.30719509028921316,0.3219642940869105,896
lgbm_base,mushroom,64,64,1,0.0,0.9750384681142076,0.9723076923076923,0.9753846153846154,192
lgbm_base,california_housing,8,8,4,0.0,0.6462814046587804,0.6482070404641613,0.6726443592681319,248
lgbm_base,mushroom,512,512,8,0.0,1.0,1.0,1.0,8222
lgbm_base,mushroom,256,256,4,0.0,1.0,1.0,1.0,5398
lgbm_quant,california_housing,128,128,2,0.0,23.185999296608806,23.222085721737418,23.38870591062246,896
lgbm_quant,mushroom,256,256,4,0.0,1.0,1.0,1.0,5398
lgbm_quant,mushroom,512,512,8,0.0,1.0,1.0,1.0,8222
lgbm_base,california_housing,256,256,4,0.0,0.16464083581382394,0.2339892690446697,0.22688067965088612,7130
lgbm_quant,california_housing,256,256,4,0.0,2.879477955398179,3.1740029000122263,2.8071191962425552,7130
lgbm_base,california_housing,512,512,8,0.0,0.06370206774270264,0.20732702937590444,0.20508824748348822,31172
lgbm_quant,covtype,128,128,4,0.0,0.5172185462125414,0.515436414879198,0.5195476880975535,3880
lgbm_quant,california_housing,512,512,8,0.0,95.57593160900417,99.50484114612695,94.2994643815286,31172
lgbm_base,breastcancer,32,32,8,0.0,0.9951100244498777,0.9782608695652174,0.9736842105263158,982
lgbm_quant,breastcancer,32,32,8,0.0,0.9951100244498777,0.9782608695652174,0.9736842105263158,982
lgbm_base,covtype,256,256,8,0.0,0.8722724751869346,0.8656870549256686,0.8678605543746719,15616
lgbm_base,breastcancer,1,1,8,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,17
lgbm_quant,breastcancer,1,1,8,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,17
lgbm_base,breastcancer,16,16,4,0.0,0.980440097799511,0.9782608695652174,0.9736842105263158,266
lgbm_quant,breastcancer,16,16,4,0.0,0.980440097799511,0.9782608695652174,0.9736842105263158,266
lgbm_base,breastcancer,8,8,2,0.0,0.9486552567237164,0.9782608695652174,0.9385964912280702,56
lgbm_quant,breastcancer,8,8,2,0.0,0.9486552567237164,0.9782608695652174,0.9385964912280702,56
lgbm_base,kin8nm,128,128,4,0.0,0.016466735431137847,0.02262087895101061,0.02522181788137139,3326
lgbm_quant,kin8nm,128,128,4,0.0,0.016489510418713858,0.0226301639664465,0.025230415842883346,3326
lgbm_base,kin8nm,8,8,2,0.0,0.050674041242285646,0.051472929575183096,0.05402252851118573,56
lgbm_quant,kin8nm,8,8,2,0.0,0.050678672974177885,0.051474424752061494,0.05402614183628621,56
lgbm_base,mushroom,32,32,8,0.0,1.0,1.0,1.0,1716
lgbm_quant,mushroom,32,32,8,0.0,1.0,1.0,1.0,1716
lgbm_base,mushroom,4,4,1,0.0,0.8062916737903916,0.796923076923077,0.788923076923077,12
lgbm_quant,mushroom,4,4,1,0.0,0.8062916737903916,0.796923076923077,0.788923076923077,12
lgbm_base,kin8nm,1,1,8,0.0,0.06246191321976143,0.06373436827875605,0.06636387989870332,61
lgbm_quant,kin8nm,1,1,8,0.0,0.062461585053266884,0.06374042916551617,0.0663632272659078,61
lgbm_base,california_housing,128,128,1,0.0,0.43916855935748406,0.43893588992154986,0.45428129392929906,384
lgbm_quant,california_housing,128,128,1,0.0,0.44020104904104773,0.4385101423113858,0.45501162301019943,384
lgbm_base,mushroom,1,1,8,0.0,0.9917934689690545,0.9907692307692307,0.9963076923076923,45
lgbm_quant,mushroom,1,1,8,0.0,0.9917934689690545,0.9907692307692307,0.9963076923076923,45
lgbm_base,kin8nm,64,64,1,0.0,0.042441499283142343,0.0433211649476566,0.046061110253707245,192
lgbm_quant,kin8nm,64,64,1,0.0,0.0424456239412504,0.04331880195229884,0.046060690212735525,192
lgbm_base,mushroom,8,8,2,0.0,0.9283638228757053,0.9276923076923077,0.9224615384615384,56
lgbm_base,mushroom,512,512,4,0.0,1.0,1.0,1.0,6350
lgbm_base,kin8nm,16,16,4,0.0,0.036103052407731505,0.038167670025075304,0.04136345195981035,496
lgbm_quant,mushroom,8,8,2,0.0,0.9283638228757053,0.9276923076923077,0.9224615384615384,56
lgbm_base,california_housing,4,4,1,0.0,1.0806092878141471,1.0423223117754812,1.1086123850541418,12
lgbm_quant,california_housing,4,4,1,0.0,1.0805110184462297,1.042069169376557,1.1084398275437657,12
lgbm_quant,kin8nm,16,16,4,0.0,0.03609710819084724,0.03816057375122748,0.04135701247447686,496
lgbm_base,california_housing,8,8,2,0.0,0.8057282414061591,0.7889916164108248,0.8267874845809756,56
lgbm_base,mushroom,128,128,1,0.0,0.9811933663874166,0.9753846153846154,0.9815384615384616,384
lgbm_quant,california_housing,8,8,2,0.0,0.8057509693279289,0.7889262300654956,0.8265789844141549,56
lgbm_base,kin8nm,4,4,1,0.0,0.059522619347328116,0.05962710652851672,0.06323298878988941,12
lgbm_quant,mushroom,128,128,1,0.0,0.9811933663874166,0.9753846153846154,0.9815384615384616,384
