model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
ccp,kr-vs-kp,2,2,4,0.5,1.3834619178255694,0.0,0.5046875,2,0.5266060726516634
cegb,breastcancer,4,2,8,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,breastcancer,64,2,4,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,breastcancer,2,2,8,0.125,0.6175824175824176,0.0,0.6666666666666666,10,0.7208791208791209
cegb,breastcancer,2,2,1,0.0078125,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,breastcancer,1,1,2,0.5,0.6175824175824176,0.0,0.6666666666666666,3,0.6175824175824176
cegb,kr-vs-kp,8,8,2,0.03125,0.9045383411580594,0.0,0.903125,44,0.9045369068003914
cegb,kr-vs-kp,4,4,2,0.0078125,0.9045383411580594,0.0,0.903125,20,0.8756306568003914
cegb,breastcancer,64,13,8,0.125,0.9472527472527472,0.0,0.9473684210526316,47,0.923076923076923
cegb,kr-vs-kp,2,1,4,0.5,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,1,1,8,0.03125,0.9624413145539906,0.0,0.9609375,27,0.9479620229941292
cegb,breastcancer,1,1,8,0.03125,0.6175824175824176,0.0,0.6666666666666666,7,0.6175824175824176
cegb,breastcancer,8,8,4,0.0078125,0.9604395604395604,0.0,0.956140350877193,88,0.9362637362637362
cegb,breastcancer,32,25,8,0.03125,0.9802197802197802,0.0,0.9649122807017544,171,0.9362637362637364
cegb,kr-vs-kp,64,3,8,0.125,0.9389671361502347,0.0,0.9484375,43,0.93896771037182
cegb,kr-vs-kp,256,19,2,0.03125,0.9354460093896714,0.0,0.9453125,109,0.9315351333170254
cegb,kr-vs-kp,2,2,1,0.0078125,0.52660406885759,0.0,0.5046875,6,0.5266060726516634
cegb,breastcancer,32,2,2,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,breastcancer,2,2,4,0.5,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,kr-vs-kp,32,1,2,0.5,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,16,16,8,0.0078125,0.978021978021978,0.0,0.9736842105263158,192,0.9384615384615383
cegb,breastcancer,512,35,8,0.0078125,0.9934065934065934,0.0,0.9649122807017544,449,0.9472527472527472
lgbm_base,breastcancer,2,2,2,0.0,0.8813186813186813,0.0,0.912280701754386,14,0.7494505494505493
ccp,kr-vs-kp,16,16,2,0.125,1.383461917825569,0.0,0.5046875,16,0.5266060726516634
lgbm_quant,breastcancer,2,2,2,0.0,0.8813186813186813,0.0,0.912280701754386,14,0.7494505494505493
ccp,kr-vs-kp,128,128,2,0.0078125,0.7261409053879472,0.0,0.903125,198,0.907668022260274
ccp,kr-vs-kp,16,16,1,0.5,1.383461917825569,0.0,0.5046875,16,0.5266060726516634
cegb,kr-vs-kp,16,13,4,0.03125,0.9389671361502347,0.0,0.9484375,133,0.93896771037182
cegb,kr-vs-kp,16,3,2,0.125,0.9045383411580594,0.0,0.903125,15,0.8830104880136986
cegb,breastcancer,16,13,2,0.125,0.9472527472527472,0.0,0.9473684210526316,47,0.923076923076923
lgbm_base,breastcancer,1,1,1,0.0,0.6175824175824176,0.0,0.6666666666666666,3,0.6175824175824175
lgbm_quant,breastcancer,1,1,1,0.0,0.6175824175824176,0.0,0.6666666666666666,3,0.6175824175824175
ccp,kr-vs-kp,2,2,8,0.125,1.3834619178255694,0.0,0.5046875,2,0.5266060726516634
cegb,kr-vs-kp,8,6,1,0.125,0.9045383411580594,0.0,0.903125,18,0.8591357326320939
cegb,breastcancer,16,16,4,0.03125,0.978021978021978,0.0,0.9649122807017544,132,0.9362637362637364
cegb,breastcancer,32,13,4,0.125,0.9472527472527472,0.0,0.9473684210526316,47,0.923076923076923
ccp,kr-vs-kp,4,4,1,0.03125,1.2588786231207014,0.0,0.903125,12,0.8427539444716242
ccp,kr-vs-kp,256,256,1,0.125,1.383461917825569,0.0,0.5046875,256,0.5266060726516634
cegb,breastcancer,4,4,2,0.0078125,0.9230769230769232,0.0,0.9210526315789472,28,0.9076923076923076
