model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
ccp,kr-vs-kp,2,2,4,0.5,1.3847633119176872,0.0,0.5328125,2,0.519554947407045
cegb,breastcancer,64,2,4,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
cegb,breastcancer,4,2,8,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
cegb,breastcancer,2,2,8,0.125,0.6395604395604395,0.0,0.5789473684210527,10,0.6395604395604396
cegb,breastcancer,2,2,1,0.0078125,0.6395604395604395,0.0,0.5789473684210527,6,0.6395604395604396
cegb,breastcancer,1,1,2,0.5,0.6395604395604395,0.0,0.5789473684210527,3,0.6395604395604396
cegb,breastcancer,64,13,8,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
cegb,kr-vs-kp,4,4,2,0.0078125,0.9017996870109546,0.0,0.9140625,26,0.9018002385029353
cegb,kr-vs-kp,8,8,2,0.03125,0.9017996870109546,0.0,0.9140625,48,0.9018002385029353
cegb,kr-vs-kp,2,1,4,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,1,1,8,0.03125,0.6395604395604395,0.0,0.5789473684210527,7,0.6395604395604396
cegb,breastcancer,8,8,4,0.0078125,0.9626373626373627,0.0,0.9210526315789473,74,0.923076923076923
cegb,kr-vs-kp,1,1,8,0.03125,0.9620500782472613,0.0,0.95,29,0.9561750856164382
cegb,kr-vs-kp,256,21,2,0.03125,0.9420970266040689,0.0,0.9359375,129,0.9420965325342466
cegb,kr-vs-kp,64,3,8,0.125,0.9420970266040689,0.0,0.9359375,31,0.9420965325342466
cegb,breastcancer,32,2,2,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
cegb,breastcancer,32,25,8,0.03125,0.989010989010989,0.0,0.9473684210526315,173,0.9516483516483516
cegb,kr-vs-kp,2,2,1,0.0078125,0.6604068857589984,0.0,0.6609375,6,0.5590409430039138
cegb,breastcancer,16,16,8,0.0078125,0.9824175824175824,0.0,0.9385964912280702,146,0.945054945054945
cegb,breastcancer,2,2,4,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.6395604395604396
cegb,kr-vs-kp,16,3,2,0.125,0.9017996870109546,0.0,0.9140625,19,0.9018002385029353
lgbm_base,breastcancer,2,2,2,0.0,0.6395604395604395,0.0,0.5789473684210527,14,0.6395604395604396
lgbm_quant,breastcancer,2,2,2,0.0,0.6395604395604395,0.0,0.5789473684210527,14,0.6395604395604396
cegb,kr-vs-kp,32,1,2,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,512,37,8,0.0078125,0.9956043956043956,0.0,0.9385964912280702,355,0.956043956043956
cegb,breastcancer,8,8,2,0.03125,0.9604395604395605,0.0,0.9035087719298246,56,0.923076923076923
cegb,breastcancer,4,4,2,0.0078125,0.9340659340659341,0.0,0.8859649122807017,28,0.9098901098901099
cegb,breastcancer,16,16,4,0.03125,0.9758241758241758,0.0,0.9298245614035088,114,0.9472527472527472
cegb,kr-vs-kp,16,13,4,0.03125,0.9420970266040689,0.0,0.9359375,141,0.9420965325342466
ccp,kr-vs-kp,16,16,1,0.5,1.3847633119176872,0.0,0.5328125,16,0.519554947407045
cegb,breastcancer,16,13,2,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
ccp,kr-vs-kp,16,16,2,0.125,1.3847633119176872,0.0,0.5328125,16,0.519554947407045
cegb,breastcancer,32,13,4,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
cegb,kr-vs-kp,1,1,2,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
ccp,kr-vs-kp,128,128,2,0.0078125,0.7155417020227544,0.0,0.9359375,200,0.930354849559687
ccp,kr-vs-kp,2,2,8,0.125,1.3847633119176872,0.0,0.5328125,2,0.519554947407045
ccp,kr-vs-kp,4,4,1,0.03125,1.2588516631127264,0.0,0.9140625,12,0.8434832130626223
cegb,kr-vs-kp,8,5,1,0.125,0.9017996870109546,0.0,0.9140625,15,0.9018002385029353
cegb,breastcancer,128,42,2,0.0078125,0.9956043956043956,0.0,0.9385964912280702,276,0.956043956043956
cegb,breastcancer,512,25,4,0.03125,0.989010989010989,0.0,0.9473684210526315,173,0.9516483516483516
lgbm_base,breastcancer,1,1,1,0.0,0.6395604395604395,0.0,0.5789473684210527,3,0.6395604395604396
lgbm_quant,breastcancer,1,1,1,0.0,0.6395604395604395,0.0,0.5789473684210527,3,0.6395604395604396
ccp,kr-vs-kp,16,16,8,0.0078125,0.6149038244362109,0.0,0.9359375,94,0.9420965325342466
cegb,breastcancer,4,4,1,0.03125,0.9230769230769231,0.0,0.8771929824561403,12,0.9076923076923077
ccp,kr-vs-kp,2,2,1,0.0078125,1.314489282547146,0.0,0.6609375,6,0.5590409430039138
cegb,breastcancer,256,26,2,0.03125,0.9802197802197802,0.0,0.9385964912280702,148,0.9516483516483516
cegb,kr-vs-kp,256,25,4,0.0078125,0.9420970266040689,0.0,0.9359375,299,0.9420965325342466
ccp,kr-vs-kp,256,256,1,0.125,1.3847633119176872,0.0,0.5328125,256,0.519554947407045
cegb,kr-vs-kp,512,1,1,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
ccp,kr-vs-kp,4,4,2,0.0078125,1.0955478661413365,0.0,0.9140625,22,0.9018002385029353
cegb,kr-vs-kp,4,1,8,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,256,5,1,0.125,0.9017996870109546,0.0,0.9140625,15,0.9018002385029353
cegb,kr-vs-kp,32,13,8,0.03125,0.9636150234741784,0.0,0.9640625,277,0.957348489481409
cegb,breastcancer,512,13,2,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
ccp,kr-vs-kp,64,64,1,0.0078125,0.8362717532144763,0.0,0.934375,130,0.9280072773972602
cegb,kr-vs-kp,8,8,4,0.0078125,0.9420970266040689,0.0,0.9359375,108,0.9420965325342466
cegb,kr-vs-kp,16,16,8,0.0078125,0.9702660406885759,0.0,0.9671875,548,0.9640013454011742
cegb,kr-vs-kp,128,54,2,0.0078125,0.9420970266040689,0.0,0.9359375,342,0.9420965325342466
cegb,breastcancer,16,2,1,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
cegb,breastcancer,256,37,4,0.0078125,0.9956043956043956,0.0,0.9298245614035088,373,0.9582417582417582
ccp,kr-vs-kp,128,128,1,0.03125,1.2313147979035233,0.0,0.9140625,138,0.9018002385029353
cegb,breastcancer,8,8,1,0.125,0.9362637362637363,0.0,0.8771929824561403,24,0.9230769230769231
cegb,kr-vs-kp,64,1,4,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,128,46,1,0.03125,0.939358372456964,0.0,0.934375,138,0.9283979023972602
cegb,kr-vs-kp,4,4,1,0.03125,0.7515649452269171,0.0,0.7671875,12,0.814129005626223
cegb,breastcancer,1,1,4,0.125,0.6395604395604395,0.0,0.5789473684210527,7,0.6395604395604396
cegb,kr-vs-kp,64,64,1,0.0078125,0.939358372456964,0.0,0.934375,192,0.9397489603718199
cegb,kr-vs-kp,512,13,4,0.03125,0.9420970266040689,0.0,0.9359375,141,0.9420965325342466
ccp,kr-vs-kp,8,8,2,0.03125,1.1686463920841046,0.0,0.9140625,20,0.9018002385029353
cegb,kr-vs-kp,1,1,4,0.125,0.9420970266040689,0.0,0.9359375,13,0.9420965325342466
lgbm_base,breastcancer,8,8,8,0.0,0.9692307692307692,0.0,0.9122807017543859,208,0.9252747252747253
lgbm_quant,breastcancer,8,8,8,0.0,0.9692307692307692,0.0,0.9122807017543859,208,0.9252747252747253
cegb,kr-vs-kp,512,3,8,0.125,0.9420970266040689,0.0,0.9359375,31,0.9420965325342466
cegb,kr-vs-kp,16,1,1,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
ccp,kr-vs-kp,32,32,8,0.03125,1.063304153094134,0.0,0.9140625,50,0.9018002385029353
cegb,breastcancer,512,2,1,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
ccp,kr-vs-kp,1,1,4,0.125,1.3847633119176872,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,2,2,8,0.125,0.9420970266040689,0.0,0.9359375,22,0.9420965325342466
ccp,kr-vs-kp,1,1,8,0.03125,1.2557529566372352,0.0,0.9140625,7,0.9018002385029353
cegb,kr-vs-kp,512,3,2,0.125,0.9017996870109546,0.0,0.9140625,19,0.9018002385029353
cegb,kr-vs-kp,1024,1,2,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,128,31,1,0.03125,0.9626373626373627,0.0,0.9122807017543859,93,0.9428571428571428
cegb,breastcancer,1024,25,8,0.03125,0.989010989010989,0.0,0.9473684210526315,173,0.9516483516483516
ccp,kr-vs-kp,32,32,2,0.5,1.3847633119176872,0.0,0.5328125,32,0.519554947407045
cegb,breastcancer,512,13,8,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
ccp,kr-vs-kp,8,8,1,0.125,1.3847633119176872,0.0,0.5328125,8,0.519554947407045
cegb,kr-vs-kp,128,1,8,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,1024,2,2,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
ccp,kr-vs-kp,1,1,2,0.5,1.3847633119176872,0.0,0.5328125,1,0.519554947407045
lgbm_base,breastcancer,32,32,1,0.0,0.9648351648351648,0.0,0.9122807017543859,96,0.9406593406593406
lgbm_quant,breastcancer,32,32,1,0.0,0.9648351648351648,0.0,0.9122807017543859,96,0.9406593406593406
cegb,kr-vs-kp,32,3,4,0.125,0.9420970266040689,0.0,0.9359375,31,0.9420965325342466
ccp,kr-vs-kp,32,32,4,0.125,1.3847633119176872,0.0,0.5328125,32,0.519554947407045
cegb,breastcancer,1024,2,8,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
cegb,breastcancer,256,14,1,0.125,0.9494505494505494,0.0,0.8947368421052632,42,0.9252747252747253
lgbm_base,breastcancer,128,128,4,0.0,1.0,0.0,0.9473684210526315,2430,0.9714285714285713
lgbm_quant,breastcancer,128,128,4,0.0,1.0,0.0,0.9473684210526315,2430,0.9714285714285713
cegb,breastcancer,1024,13,4,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
cegb,breastcancer,64,64,1,0.0078125,0.9824175824175824,0.0,0.9298245614035088,192,0.9648351648351647
lgbm_base,breastcancer,64,64,2,0.0,0.9978021978021978,0.0,0.9385964912280702,446,0.9670329670329669
lgbm_quant,breastcancer,64,64,2,0.0,0.9978021978021978,0.0,0.9385964912280702,446,0.9670329670329669
ccp,kr-vs-kp,4,4,8,0.5,1.3847633119176872,0.0,0.5328125,4,0.519554947407045
cegb,breastcancer,1024,37,8,0.0078125,0.9956043956043956,0.0,0.9385964912280702,355,0.956043956043956
cegb,kr-vs-kp,1024,13,8,0.03125,0.9636150234741784,0.0,0.9640625,277,0.957348489481409
cegb,breastcancer,128,2,8,0.5,0.6395604395604395,0.0,0.5789473684210527,6,0.7296703296703296
cegb,kr-vs-kp,1024,3,8,0.125,0.9420970266040689,0.0,0.9359375,31,0.9420965325342466
cegb,kr-vs-kp,512,26,8,0.0078125,0.9788732394366197,0.0,0.965625,846,0.9714362157534246
ccp,kr-vs-kp,8,8,4,0.0078125,0.6850593404249895,0.0,0.9359375,72,0.9420965325342466
cegb,kr-vs-kp,1024,3,4,0.125,0.9420970266040689,0.0,0.9359375,31,0.9420965325342466
cegb,breastcancer,1024,13,8,0.125,0.9516483516483516,0.0,0.8947368421052632,47,0.9318681318681319
ccp,kr-vs-kp,16,16,4,0.03125,1.063304155482991,0.0,0.9140625,34,0.9018002385029353
ccp,breastcancer,128,128,1,0.03125,0.5696686518274253,0.0,0.8771929824561403,148,0.9164835164835166
lgbm_base,breastcancer,256,256,8,0.0,1.0,0.0,0.9473684210526315,5652,0.9736263736263735
cegb,kr-vs-kp,1024,26,8,0.0078125,0.9788732394366197,0.0,0.965625,846,0.9714362157534246
lgbm_quant,breastcancer,256,256,8,0.0,1.0,0.0,0.9473684210526315,5652,0.9736263736263735
cegb,kr-vs-kp,1024,1,8,0.5,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
ccp,kr-vs-kp,64,64,4,0.5,1.3847633119176872,0.0,0.5328125,64,0.519554947407045
ccp,breastcancer,128,128,2,0.0078125,0.3346612326938342,0.0,0.9122807017543859,182,0.9384615384615383
ccp,kr-vs-kp,256,256,2,0.03125,1.1686463508675569,0.0,0.9140625,268,0.9018002385029353
ccp,kr-vs-kp,512,512,1,0.5,1.3847633119176872,0.0,0.5328125,512,0.519554947407045
ccp,breastcancer,64,64,8,0.125,1.0557095987607816,0.0,0.5789473684210527,68,0.6395604395604396
ccp,kr-vs-kp,64,64,8,0.125,1.3847633119176872,0.0,0.5328125,64,0.519554947407045
ccp,kr-vs-kp,128,128,8,0.5,1.3847633119176872,0.0,0.5328125,128,0.519554947407045
ccp,breastcancer,256,256,1,0.125,1.0557095987381229,0.0,0.5789473684210527,260,0.6395604395604396
ccp,kr-vs-kp,512,512,2,0.125,1.3847633119176872,0.0,0.5328125,512,0.519554947407045
ccp,breastcancer,128,128,8,0.5,1.307341365769712,0.0,0.5789473684210527,128,0.6395604395604396
ccp,kr-vs-kp,256,256,4,0.0078125,0.6132988194057539,0.0,0.9359375,334,0.9420965325342466
ccp,breastcancer,256,256,2,0.03125,0.569668651827425,0.0,0.8771929824561403,276,0.9164835164835166
ccp,breastcancer,512,512,1,0.5,1.307341365769712,0.0,0.5789473684210527,512,0.6395604395604396
ccp,breastcancer,256,256,4,0.0078125,0.33466123269383347,0.0,0.9122807017543859,310,0.9362637362637362
ccp,kr-vs-kp,512,512,4,0.03125,1.0633041530091913,0.0,0.9140625,530,0.9018002385029353
ccp,kr-vs-kp,1024,1024,2,0.5,1.3847633119176872,0.0,0.5328125,1024,0.519554947407045
ccp,breastcancer,512,512,2,0.125,1.0557095987381235,0.0,0.5789473684210527,516,0.6395604395604396
ccp,kr-vs-kp,512,512,8,0.0078125,0.6149038244361958,0.0,0.9359375,590,0.9420965325342466
ccp,kr-vs-kp,512,512,8,0.125,1.3847633119176872,0.0,0.5328125,512,0.519554947407045
ccp,kr-vs-kp,1024,1024,4,0.125,1.3847633119176872,0.0,0.5328125,1024,0.519554947407045
ccp,breastcancer,512,512,4,0.03125,0.5696686518274253,0.0,0.8771929824561403,532,0.9164835164835166
ccp,breastcancer,1024,1024,2,0.5,1.307341365769712,0.0,0.5789473684210527,1024,0.6395604395604396
ccp,breastcancer,512,512,8,0.125,1.0557095987381235,0.0,0.5789473684210527,516,0.6395604395604396
ccp,kr-vs-kp,1024,1024,8,0.0078125,0.6149038244361958,0.0,0.9359375,1102,0.9420965325342466
ccp,kr-vs-kp,1024,1024,8,0.5,1.3847633119176872,0.0,0.5328125,1024,0.519554947407045
ccp,kr-vs-kp,1024,1024,8,0.125,1.3847633119176872,0.0,0.5328125,1024,0.519554947407045
