no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize,mean
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,1024.0,64.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,4096.0,0.0078125,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,32768.0,1.0,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,4096.0,2048.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,4096.0,4096.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,4.0,97.0,67.0,3521.0,9696.0,0,0.9736842105263158,8.0,0.03125,6400000.0,0.9318681318681318
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,0.0625,16384.0,6400000.0,0.6175824175824176
7.0,8.0,4.0,4.0,19.0,15.0,743.0,1504.0,0,0.9473684210526315,0.125,128.0,6400000.0,0.9054945054945056
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,256.0,1024.0,6400000.0,0.6175824175824176
1.0,1.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,0.5,1024.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,512.0,8.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,19.0,140.0,89.0,7968.0,13216.0,0,0.956140350877193,0.03125,0.00390625,6400000.0,0.9318681318681318
8.0,8.0,4.0,8.0,47.0,36.0,1757.0,4736.0,0,0.9649122807017544,0.00390625,4.0,6400000.0,0.9274725274725275
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,8192.0,0.03125,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,2048.0,256.0,6400000.0,0.6175824175824176
1.0,1.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,4.0,512.0,6400000.0,0.6175824175824176
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0,0.6666666666666666,0.0,0.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,2.0,99.0,83.0,5604.0,12256.0,0,0.9210526315789473,256.0,0.00195312,6400000.0,0.7054945054945055
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,0.25,2048.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,16384.0,0.25,6400000.0,0.6175824175824176
1.0,1.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,1.0,8192.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,512.0,0.0078125,6400000.0,0.6175824175824176
1.0,8.0,4.0,2.0,3.0,2.0,138.0,192.0,0,0.6666666666666666,0.015625,256.0,6400000.0,0.6527472527472529
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,4.0,8192.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,0.015625,512.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,4096.0,8.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,15.0,90.0,57.0,3302.0,8096.0,0,0.956140350877193,0.125,0.125,6400000.0,0.9252747252747252
8.0,8.0,8.0,2.0,92.0,77.0,5280.0,11296.0,0,0.9210526315789473,64.0,0.03125,6400000.0,0.8901098901098902
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,16.0,512.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,19.0,97.0,63.0,3576.0,9056.0,0,0.956140350877193,0.0,0.0078125,6400000.0,0.9274725274725274
8.0,8.0,4.0,3.0,29.0,23.0,1070.0,2656.0,0,0.9473684210526315,8.0,32.0,6400000.0,0.9010989010989012
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,1024.0,32.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,1024.0,128.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,16.0,86.0,55.0,3170.0,7776.0,0,0.956140350877193,0.015625,0.25,6400000.0,0.923076923076923
8.0,8.0,8.0,3.0,84.0,64.0,4692.0,9216.0,0,0.956140350877193,16.0,0.5,6400000.0,0.9340659340659341
8.0,8.0,4.0,3.0,83.0,63.0,2979.0,9056.0,0,0.956140350877193,16.0,0.25,6400000.0,0.9340659340659341
8.0,8.0,8.0,10.0,112.0,74.0,6684.0,10816.0,0,0.9649122807017544,1.0,0.125,6400000.0,0.9274725274725274
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,4.0,4096.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,15.0,75.0,52.0,2800.0,7296.0,0,0.956140350877193,0.00195312,0.5,6400000.0,0.9252747252747252
1.0,1.0,2.0,2.0,7.0,4.0,252.0,512.0,0,0.6666666666666666,16.0,0.03125,6400000.0,0.6175824175824176
1.0,1.0,2.0,3.0,5.0,3.0,193.0,352.0,0,0.6666666666666666,1.0,8.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,512.0,8192.0,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,2048.0,0.25,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,1024.0,0.125,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,32768.0,4096.0,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,32768.0,1024.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,2.0,37.0,30.0,2797.0,3776.0,0,0.9210526315789473,256.0,2.0,6400000.0,0.6175824175824176
16.0,16.0,1.0,6.0,42.0,32.0,1439.0,3072.0,0,0.956140350877193,0.0,0.03125,6400000.0,0.9230769230769231
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,2048.0,0.000976562,6400000.0,0.6175824175824176
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0,0.6666666666666666,0.5,0.000976562,6400000.0,0.6175824175824176
8.0,8.0,4.0,2.0,78.0,64.0,2844.0,9216.0,0,0.9210526315789473,64.0,0.015625,6400000.0,0.8901098901098902
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,4096.0,2.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,256.0,2048.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,32768.0,4.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,2.0,3.0,2.0,618.0,192.0,0,0.6666666666666666,0.125,256.0,6400000.0,0.6527472527472529
8.0,8.0,8.0,14.0,162.0,98.0,8440.0,14656.0,0,0.9736842105263158,0.25,0.00195312,6400000.0,0.9274725274725275
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,32768.0,2048.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,11.0,139.0,85.0,7619.0,12576.0,0,0.9736842105263158,0.5,0.015625,6400000.0,0.9362637362637362
8.0,8.0,4.0,19.0,100.0,64.0,3674.0,9216.0,0,0.956140350877193,0.00390625,0.00390625,6400000.0,0.9274725274725274
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0,0.6666666666666666,0.0,0.5,6400000.0,0.6175824175824176
8.0,8.0,4.0,8.0,45.0,33.0,1687.0,4256.0,0,0.9473684210526315,0.0,8.0,6400000.0,0.9296703296703297
8.0,8.0,4.0,4.0,24.0,19.0,928.0,2016.0,0,0.9473684210526315,1.0,64.0,6400000.0,0.9010989010989012
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,16384.0,512.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,128.0,256.0,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,64.0,32768.0,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,256.0,512.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,21.0,123.0,78.0,7370.0,11456.0,0,0.956140350877193,0.0,0.015625,6400000.0,0.9252747252747252
7.0,8.0,8.0,4.0,19.0,15.0,2183.0,1504.0,0,0.9473684210526315,1.0,128.0,6400000.0,0.9032967032967033
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,8192.0,0.015625,6400000.0,0.6175824175824176
1.0,1.0,2.0,3.0,7.0,4.0,258.0,512.0,0,0.6666666666666666,8.0,0.00390625,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,0.5,16384.0,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,16384.0,0.125,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,32768.0,0.00390625,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,8192.0,16.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,0.00195312,512.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,4096.0,4.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,3.0,23.0,18.0,2309.0,1856.0,0,0.9385964912280702,8.0,64.0,6400000.0,0.9010989010989012
8.0,8.0,2.0,2.0,40.0,32.0,1387.0,4096.0,0,0.9210526315789473,256.0,0.5,6400000.0,0.6703296703296704
8.0,8.0,4.0,2.0,49.0,40.0,1820.0,5376.0,0,0.9210526315789473,256.0,1.0,6400000.0,0.6175824175824176
1.0,1.0,2.0,2.0,3.0,2.0,114.0,192.0,0,0.6666666666666666,2.0,64.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,3.0,168.0,125.0,8036.0,18976.0,0,0.9473684210526315,16.0,0.0,6400000.0,0.9318681318681319
8.0,8.0,4.0,2.0,34.0,29.0,1258.0,3616.0,0,0.9210526315789473,64.0,16.0,6400000.0,0.8901098901098902
8.0,8.0,4.0,5.0,34.0,28.0,1262.0,3456.0,0,0.956140350877193,0.0078125,32.0,6400000.0,0.9076923076923078
1.0,1.0,2.0,3.0,7.0,4.0,258.0,512.0,0,0.6666666666666666,4.0,0.5,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,32768.0,0.00195312,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,16384.0,128.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,2.0,512.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,15.0,102.0,64.0,3704.0,9216.0,0,0.956140350877193,0.25,0.000976562,6400000.0,0.9252747252747253
8.0,8.0,8.0,6.0,36.0,29.0,3273.0,3616.0,0,0.9385964912280702,0.5,16.0,6400000.0,0.9296703296703297
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,8192.0,32768.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,16384.0,256.0,6400000.0,0.6175824175824176
6.0,8.0,4.0,2.0,16.0,12.0,615.0,1152.0,0,0.9210526315789473,128.0,128.0,6400000.0,0.7054945054945055
8.0,8.0,4.0,10.0,53.0,38.0,1993.0,5056.0,0,0.9649122807017544,0.03125,2.0,6400000.0,0.923076923076923
8.0,8.0,4.0,17.0,99.0,64.0,3603.0,9216.0,0,0.956140350877193,0.0625,0.015625,6400000.0,0.9230769230769231
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,0.03125,2048.0,6400000.0,0.6175824175824176
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,32768.0,0.000976562,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,0.0,8192.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,11.0,94.0,60.0,3405.0,8576.0,0,0.956140350877193,1.0,0.0625,6400000.0,0.9274725274725274
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,8192.0,0.0625,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,0.25,1024.0,6400000.0,0.6175824175824176
8.0,8.0,8.0,8.0,45.0,33.0,3847.0,4256.0,0,0.9473684210526315,0.00390625,8.0,6400000.0,0.9296703296703297
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0,0.6666666666666666,1.0,0.0078125,6400000.0,0.6175824175824176
1.0,8.0,8.0,1.0,1.0,1.0,543.0,32.0,0,0.6666666666666666,32.0,4096.0,6400000.0,0.6175824175824176
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0,0.6666666666666666,0.5,1.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,11.0,96.0,63.0,3472.0,9056.0,0,0.956140350877193,0.5,0.0078125,6400000.0,0.9274725274725274
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0,0.6666666666666666,0.00390625,256.0,6400000.0,0.6175824175824176
1.0,1.0,2.0,2.0,5.0,3.0,183.0,352.0,0,0.6666666666666666,16.0,32.0,6400000.0,0.6175824175824176
1.0,8.0,4.0,1.0,1.0,1.0,63.0,32.0,0,0.6666666666666666,2048.0,0.5,6400000.0,0.6175824175824176
1.0,1.0,2.0,1.0,1.0,1.0,39.0,32.0,0,0.6666666666666666,16.0,32768.0,6400000.0,0.6175824175824176
8.0,8.0,4.0,19.0,97.0,63.0,3576.0,9056.0,0,0.956140350877193,0.0078125,0.03125,6400000.0,0.9252747252747253
8.0,8.0,8.0,2.0,33.0,29.0,2645.0,3616.0,0,0.9210526315789473,64.0,32.0,6400000.0,0.8901098901098902
