no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,1.0,2.0,2.0,7.0,4.0,253.0,512.0,0.7276736731137454,0.7254545923943444,0.5,1024.0,6400000.0
8.0,8.0,2.0,3.0,53.0,32.0,1865.0,4096.0,0.730233858996149,0.7279846475564314,1024.0,0.03125,6400000.0
8.0,8.0,2.0,3.0,53.0,32.0,1865.0,4096.0,0.730233858996149,0.7279846475564314,1024.0,32.0,6400000.0
1.0,1.0,2.0,2.0,5.0,3.0,184.0,352.0,0.7276736731137454,0.7254545923943444,1.0,8192.0,6400000.0
3.0,8.0,4.0,2.0,12.0,8.0,470.0,896.0,0.730233858996149,0.7279846475564314,0.0078125,32768.0,6400000.0
8.0,8.0,2.0,2.0,53.0,32.0,1854.0,4096.0,0.730233858996149,0.7279846475564314,2048.0,0.25,6400000.0
1.0,1.0,2.0,2.0,7.0,4.0,253.0,512.0,0.7276736731137454,0.7254545923943444,0.5,1.0,6400000.0
1.0,1.0,2.0,2.0,7.0,4.0,253.0,512.0,0.7276736731137454,0.7254545923943444,0.5,0.000976562,6400000.0
8.0,8.0,2.0,4.0,53.0,32.0,1879.0,4096.0,0.730233858996149,0.7279846475564314,512.0,4.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,111.0,192.0,0.6645941352380542,0.6648365360618916,0.0,0.5,6400000.0
3.0,8.0,2.0,2.0,12.0,8.0,422.0,896.0,0.730233858996149,0.7279846475564314,1024.0,32768.0,6400000.0
1.0,1.0,2.0,2.0,7.0,4.0,253.0,512.0,0.7276736731137454,0.7254545923943444,1.0,8.0,6400000.0
8.0,8.0,2.0,4.0,53.0,32.0,1875.0,4096.0,0.730233858996149,0.7279846475564314,256.0,0.5,6400000.0
8.0,8.0,2.0,2.0,53.0,32.0,1854.0,4096.0,0.730233858996149,0.7279846475564314,16384.0,128.0,6400000.0
7.0,8.0,4.0,2.0,30.0,20.0,1121.0,2304.0,0.730233858996149,0.7279846475564314,0.0625,16384.0,6400000.0
8.0,8.0,4.0,12.0,152.0,106.0,5268.0,15936.0,0.7545018394612852,0.7543522972728759,0.25,1024.0,6400000.0
