no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,4.0,32768.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,16384.0,32768.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,64.0,32768.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,1024.0,32768.0,6400000.0
35.0,256.0,2.0,3.0,59.0,57.0,2012.0,4640.0,0.6349691271702416,0.6335550717279244,0.00195312,32768.0,6400000.0
35.0,256.0,2.0,3.0,59.0,57.0,2012.0,4640.0,0.6349691271702416,0.6335550717279244,0.03125,32768.0,6400000.0
63.0,256.0,1.0,2.0,93.0,94.0,3159.0,6976.0,0.6336567629784213,0.6340025644776813,2.0,16384.0,6400000.0
63.0,256.0,1.0,2.0,93.0,94.0,3159.0,6976.0,0.6336567629784213,0.6340025644776813,8192.0,16384.0,6400000.0
63.0,256.0,1.0,2.0,93.0,94.0,3159.0,6976.0,0.6336567629784213,0.6340025644776813,512.0,16384.0,6400000.0
63.0,256.0,1.0,2.0,93.0,94.0,3159.0,6976.0,0.6336567629784213,0.6340025644776813,32.0,16384.0,6400000.0
63.0,256.0,2.0,3.0,108.0,104.0,3681.0,8576.0,0.6711774703642348,0.6688897876991128,0.000976562,16384.0,6400000.0
63.0,256.0,2.0,3.0,108.0,104.0,3681.0,8576.0,0.6711774703642348,0.6688897876991128,0.25,16384.0,6400000.0
63.0,256.0,2.0,3.0,108.0,104.0,3681.0,8576.0,0.6711774703642348,0.6688897876991128,0.015625,16384.0,6400000.0
119.0,256.0,1.0,2.0,175.0,181.0,6003.0,13728.0,0.671263527032551,0.6703785616550347,4096.0,8192.0,6400000.0
161.0,256.0,1.0,2.0,292.0,273.0,10162.0,23072.0,0.6717798670424474,0.6704732235828679,32768.0,4096.0,6400000.0
224.0,256.0,1.0,2.0,422.0,391.0,14709.0,33888.0,0.6717798670424474,0.6704732235828679,16384.0,2048.0,6400000.0
294.0,256.0,1.0,2.0,540.0,513.0,18849.0,44448.0,0.6717798670424474,0.6704732235828679,8192.0,1024.0,6400000.0
427.0,256.0,1.0,2.0,856.0,792.0,29985.0,72064.0,0.6717798670424474,0.6704732235828679,32768.0,256.0,6400000.0
672.0,256.0,1.0,2.0,1174.0,1190.0,41753.0,104384.0,0.6734794862416902,0.6704129841742468,16384.0,128.0,6400000.0
1519.0,256.0,1.0,2.0,2594.0,2737.0,92795.0,243488.0,0.6738882554161916,0.6711186458180942,32768.0,16.0,6400000.0
1554.0,256.0,1.0,2.0,2750.0,2848.0,98395.0,256768.0,0.6738882554161916,0.6711186458180942,16384.0,8.0,6400000.0
35.0,256.0,2.0,3.0,59.0,57.0,2012.0,4640.0,0.6349691271702416,0.6335550717279244,0.25,32768.0,6400000.0
63.0,256.0,1.0,2.0,93.0,94.0,3159.0,6976.0,0.6336567629784213,0.6340025644776813,4096.0,16384.0,6400000.0
119.0,256.0,1.0,2.0,175.0,181.0,6003.0,13728.0,0.671263527032551,0.6703785616550347,32768.0,8192.0,6400000.0
161.0,256.0,1.0,2.0,292.0,273.0,10162.0,23072.0,0.6717798670424474,0.6704732235828679,16384.0,4096.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,32.0,32768.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,512.0,32768.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,2.0,32768.0,6400000.0
224.0,256.0,1.0,2.0,422.0,391.0,14709.0,33888.0,0.6717798670424474,0.6704732235828679,8192.0,2048.0,6400000.0
35.0,256.0,2.0,3.0,59.0,57.0,2012.0,4640.0,0.6349691271702416,0.6335550717279244,0.015625,32768.0,6400000.0
35.0,256.0,1.0,2.0,51.0,52.0,1728.0,3840.0,0.6332479938039198,0.6319974527335783,8192.0,32768.0,6400000.0
35.0,256.0,2.0,3.0,59.0,57.0,2012.0,4640.0,0.6349691271702416,0.6335550717279244,0.000976562,32768.0,6400000.0
427.0,256.0,1.0,2.0,856.0,792.0,29985.0,72064.0,0.6717798670424474,0.6704732235828679,16384.0,256.0,6400000.0
350.0,256.0,1.0,2.0,703.0,646.0,24606.0,58560.0,0.6717798670424474,0.6704732235828679,32768.0,512.0,6400000.0
