no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,16384.0,0.125,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,1024.0,32.0,6400000.0
1.0,1.0,2.0,3.0,5.0,3.0,158.0,352.0,0.05063865891709329,0.05286908356280029,1.0,8.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,256.0,0.5,6400000.0
8.0,8.0,4.0,3.0,41.0,27.0,1313.0,3296.0,0.21287455623406126,0.24923527502696807,0.0,8.0,6400000.0
8.0,8.0,4.0,3.0,41.0,27.0,1313.0,3296.0,0.21287455623406126,0.24923527502696807,0.5,8.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,108.0,192.0,0.03948290248241293,0.0441598468431591,0.0,0.0,6400000.0
1.0,1.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,0.5,1024.0,6400000.0
8.0,8.0,4.0,9.0,140.0,91.0,4291.0,13536.0,0.27719675782786635,0.31637757385917065,0.03125,2.0,6400000.0
8.0,8.0,4.0,6.0,76.0,49.0,2412.0,6816.0,0.25347036223167774,0.287886319827074,0.00390625,4.0,6400000.0
8.0,8.0,4.0,9.0,223.0,128.0,6363.0,19456.0,0.30313456531479666,0.33729649962317576,0.00390625,0.00390625,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,1024.0,0.03125,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,4096.0,2048.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,8192.0,16.0,6400000.0
8.0,8.0,4.0,3.0,28.0,18.0,884.0,1856.0,0.1866131444897765,0.2232890951587424,0.0625,16.0,6400000.0
8.0,8.0,4.0,9.0,224.0,128.0,6397.0,19456.0,0.3019798107217806,0.33789366528326026,0.25,0.000976562,6400000.0
8.0,8.0,4.0,9.0,222.0,128.0,6362.0,19456.0,0.30327746474005757,0.3372709489289535,0.0078125,0.03125,6400000.0
2.0,8.0,4.0,2.0,6.0,4.0,250.0,384.0,0.07087648081289954,0.08090560508977995,0.000976562,64.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,8192.0,16384.0,6400000.0
8.0,8.0,4.0,9.0,223.0,128.0,6363.0,19456.0,0.30313456531479666,0.33729649962317576,0.03125,0.00195312,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,1024.0,32768.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,8192.0,0.015625,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-1.8376260082719753e-05,-0.00013196305023766008,512.0,4.0,6400000.0
