no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,256.0,6400000.0
8.0,8.0,2.0,4.0,35.0,32.0,1200.0,4096.0,0.9092307692307692,0.9076923076923077,512.0,0.00390625,6400000.0
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0.9092307692307692,0.9076923076923077,0.5,0.000976562,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,4096.0,0.00195312,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,4096.0,2.0,6400000.0
8.0,8.0,2.0,5.0,37.0,32.0,1247.0,4096.0,0.9107692307692308,0.908923076923077,256.0,0.5,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.0,0.0,6400000.0
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0.9092307692307692,0.9076923076923077,0.5,1.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.0,0.5,6400000.0
8.0,8.0,2.0,4.0,35.0,32.0,1200.0,4096.0,0.9092307692307692,0.9076923076923077,512.0,4.0,6400000.0
8.0,8.0,2.0,3.0,36.0,31.0,1211.0,3936.0,0.7861538461538462,0.7981538461538461,1024.0,32.0,6400000.0
8.0,8.0,2.0,3.0,36.0,31.0,1211.0,3936.0,0.7861538461538462,0.7981538461538461,1024.0,0.03125,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.00390625,256.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,512.0,4096.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,1024.0,32768.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,0.25,6400000.0
8.0,8.0,2.0,4.0,35.0,32.0,1200.0,4096.0,0.9092307692307692,0.9076923076923077,256.0,512.0,6400000.0
8.0,8.0,2.0,4.0,35.0,32.0,1200.0,4096.0,0.9092307692307692,0.9076923076923077,512.0,0.0078125,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,0.5,6400000.0
8.0,8.0,2.0,5.0,37.0,32.0,1247.0,4096.0,0.9107692307692308,0.908923076923077,256.0,1.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,512.0,6400000.0
8.0,8.0,2.0,3.0,32.0,28.0,1077.0,3456.0,0.7861538461538462,0.7981538461538461,1024.0,64.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.00390625,512.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,4096.0,4.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,0.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,4096.0,0.00390625,6400000.0
8.0,8.0,2.0,3.0,36.0,31.0,1211.0,3936.0,0.7861538461538462,0.7981538461538461,1024.0,0.0625,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.0,0.000976562,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.0,1.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,512.0,8192.0,6400000.0
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0.9092307692307692,0.9076923076923077,0.5,0.00195312,6400000.0
1.0,1.0,2.0,4.0,7.0,4.0,271.0,512.0,0.9092307692307692,0.9076923076923077,0.5,2.0,6400000.0
8.0,8.0,2.0,3.0,25.0,22.0,826.0,2496.0,0.9107692307692308,0.9126153846153846,256.0,1024.0,6400000.0
8.0,8.0,2.0,4.0,35.0,32.0,1200.0,4096.0,0.9092307692307692,0.9076923076923077,512.0,8.0,6400000.0
8.0,8.0,2.0,4.0,35.0,32.0,1200.0,4096.0,0.9092307692307692,0.9076923076923077,512.0,0.015625,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,1.0,6400000.0
8.0,8.0,2.0,5.0,37.0,32.0,1247.0,4096.0,0.9107692307692308,0.908923076923077,256.0,2.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,1024.0,6400000.0
8.0,8.0,2.0,3.0,27.0,24.0,894.0,2816.0,0.7861538461538462,0.7981538461538461,1024.0,128.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.00390625,1024.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,4096.0,8.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,4096.0,0.0078125,6400000.0
8.0,8.0,2.0,3.0,36.0,31.0,1211.0,3936.0,0.7861538461538462,0.7981538461538461,1024.0,0.125,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,2048.0,0.000976562,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.0,2.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,110.0,192.0,0.7861538461538462,0.7981538461538461,0.0,0.00195312,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,0.5061538461538462,0.5187692307692308,512.0,16384.0,6400000.0
