no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.0078125,32768.0,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.00390625,4096.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,512.0,4096.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,32768.0,1024.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1024.0,32768.0,6400000.0
7.0,1.0,1.0,2.0,11.0,9.0,373.0,544.0,0.4576923076923077,0.4338461538461538,0.00390625,256.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,32768.0,0.000976562,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,8192.0,16.0,6400000.0
7.0,1.0,2.0,6.0,45.0,27.0,1573.0,3424.0,0.45384615384615384,0.4330769230769231,1.0,8.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,8192.0,16384.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,8192.0,0.015625,6400000.0
112.0,16.0,4.0,12.0,1830.0,1505.0,66486.0,226464.0,0.573076923076923,0.5746153846153846,0.03125,2.0,6400000.0
7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4576923076923077,0.4338461538461538,0.0,0.0,6400000.0
7.0,1.0,2.0,6.0,47.0,27.0,1637.0,3424.0,0.45384615384615384,0.4330769230769231,0.5,0.000976562,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1024.0,0.03125,6400000.0
7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1.0,8192.0,6400000.0
7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,0.5,1024.0,6400000.0
112.0,16.0,4.0,12.0,1970.0,1516.0,71742.0,228224.0,0.5865384615384616,0.5823076923076923,0.015625,0.25,6400000.0
112.0,16.0,2.0,2.0,469.0,428.0,16957.0,54144.0,0.5,0.5176923076923077,256.0,0.5,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,32768.0,1.0,6400000.0
7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4576923076923077,0.4338461538461538,0.0,0.5,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.0625,16384.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,16384.0,0.125,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,2048.0,0.25,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,16384.0,128.0,6400000.0
35.0,16.0,4.0,2.0,30.0,45.0,1096.0,2720.0,0.4576923076923077,0.4338461538461538,0.015625,256.0,6400000.0
112.0,16.0,2.0,2.0,476.0,434.0,17217.0,55104.0,0.5,0.5176923076923077,512.0,0.00390625,6400000.0
7.0,1.0,2.0,6.0,46.0,27.0,1605.0,3424.0,0.45384615384615384,0.4330769230769231,0.5,1.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1024.0,32.0,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.0,8192.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,4096.0,0.00195312,6400000.0
112.0,16.0,4.0,12.0,1159.0,1067.0,41510.0,156384.0,0.5769230769230769,0.5684615384615385,0.0625,16.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,4096.0,2048.0,6400000.0
77.0,16.0,4.0,3.0,75.0,118.0,2664.0,9024.0,0.5403846153846154,0.5461538461538461,0.125,128.0,6400000.0
7.0,1.0,2.0,6.0,47.0,27.0,1637.0,3424.0,0.45384615384615384,0.4330769230769231,1.0,0.0078125,6400000.0
112.0,16.0,4.0,12.0,1977.0,1510.0,72042.0,227264.0,0.5865384615384616,0.5823076923076923,0.5,0.0078125,6400000.0
112.0,16.0,4.0,6.0,148.0,199.0,5236.0,17504.0,0.5403846153846154,0.5453846153846154,0.000976562,64.0,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.03125,2048.0,6400000.0
112.0,16.0,4.0,12.0,1965.0,1501.0,71604.0,225824.0,0.575,0.583076923076923,0.00390625,0.00390625,6400000.0
112.0,16.0,4.0,10.0,370.0,373.0,12992.0,45344.0,0.5403846153846154,0.546923076923077,0.0078125,32.0,6400000.0
112.0,16.0,4.0,12.0,1966.0,1501.0,71636.0,225824.0,0.575,0.583076923076923,0.03125,0.00195312,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,256.0,512.0,6400000.0
112.0,16.0,4.0,12.0,1977.0,1510.0,72042.0,227264.0,0.5865384615384616,0.5823076923076923,0.0,0.0078125,6400000.0
112.0,16.0,4.0,12.0,1935.0,1512.0,70511.0,227584.0,0.5865384615384616,0.5846153846153846,0.00195312,0.5,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,4096.0,2.0,6400000.0
7.0,16.0,4.0,2.0,9.0,8.0,361.0,384.0,0.4576923076923077,0.4338461538461538,0.00195312,512.0,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.25,1024.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,2048.0,256.0,6400000.0
112.0,16.0,4.0,12.0,1970.0,1503.0,71671.0,226144.0,0.5769230769230769,0.5776923076923077,0.000976562,0.0625,6400000.0
112.0,16.0,4.0,12.0,1984.0,1505.0,72236.0,226464.0,0.575,0.583076923076923,0.00195312,0.0,6400000.0
112.0,16.0,4.0,12.0,1892.0,1506.0,68899.0,226624.0,0.5788461538461539,0.58,0.25,1.0,6400000.0
112.0,16.0,2.0,2.0,368.0,355.0,13044.0,42464.0,0.5,0.5176923076923077,512.0,4.0,6400000.0
112.0,16.0,4.0,12.0,1966.0,1501.0,71636.0,225824.0,0.575,0.583076923076923,0.25,0.000976562,6400000.0
112.0,16.0,4.0,12.0,1655.0,1475.0,59612.0,221664.0,0.5903846153846154,0.5746153846153846,0.5,8.0,6400000.0
112.0,16.0,4.0,12.0,1969.0,1503.0,71643.0,226144.0,0.5788461538461539,0.583076923076923,0.0625,0.015625,6400000.0
112.0,16.0,4.0,12.0,1967.0,1502.0,71570.0,225984.0,0.5788461538461539,0.583076923076923,0.0078125,0.03125,6400000.0
112.0,16.0,4.0,12.0,1655.0,1475.0,59612.0,221664.0,0.5903846153846154,0.5746153846153846,0.0,8.0,6400000.0
112.0,16.0,4.0,12.0,1984.0,1519.0,72211.0,228704.0,0.5788461538461539,0.5807692307692308,0.125,0.125,6400000.0
112.0,16.0,4.0,12.0,1769.0,1517.0,64380.0,228384.0,0.575,0.5807692307692308,0.00390625,4.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,4096.0,0.00390625,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,512.0,8192.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,8192.0,0.03125,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.00390625,8192.0,6400000.0
7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1.0,16384.0,6400000.0
7.0,1.0,2.0,6.0,45.0,27.0,1573.0,3424.0,0.45384615384615384,0.4330769230769231,1.0,16.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,2048.0,0.5,6400000.0
112.0,16.0,2.0,2.0,476.0,434.0,17217.0,55104.0,0.5,0.5176923076923077,512.0,0.0078125,6400000.0
7.0,1.0,2.0,6.0,46.0,27.0,1605.0,3424.0,0.45384615384615384,0.4330769230769231,0.5,2.0,6400000.0
112.0,16.0,4.0,6.0,148.0,199.0,5236.0,17504.0,0.5403846153846154,0.5453846153846154,0.0078125,64.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1024.0,0.0625,6400000.0
112.0,16.0,4.0,12.0,1935.0,1512.0,70511.0,227584.0,0.5865384615384616,0.5846153846153846,0.015625,0.5,6400000.0
112.0,16.0,2.0,2.0,351.0,343.0,12439.0,40544.0,0.5,0.5176923076923077,512.0,8.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,32768.0,2048.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,4096.0,4096.0,6400000.0
7.0,1.0,1.0,2.0,9.0,8.0,305.0,384.0,0.4576923076923077,0.4338461538461538,0.00390625,512.0,6400000.0
112.0,16.0,4.0,12.0,1969.0,1503.0,71643.0,226144.0,0.5788461538461539,0.583076923076923,0.0,0.015625,6400000.0
112.0,16.0,4.0,12.0,1984.0,1505.0,72236.0,226464.0,0.575,0.583076923076923,0.015625,0.0,6400000.0
7.0,1.0,2.0,6.0,47.0,27.0,1637.0,3424.0,0.45384615384615384,0.4330769230769231,1.0,0.015625,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,4096.0,4.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,8192.0,32.0,6400000.0
112.0,16.0,4.0,12.0,1965.0,1501.0,71604.0,225824.0,0.575,0.583076923076923,0.03125,0.00390625,6400000.0
112.0,16.0,2.0,2.0,459.0,420.0,16589.0,52864.0,0.5,0.5176923076923077,256.0,1.0,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.00195312,1024.0,6400000.0
112.0,16.0,4.0,12.0,1892.0,1506.0,68899.0,226624.0,0.5788461538461539,0.58,0.00195312,1.0,6400000.0
112.0,16.0,4.0,12.0,1966.0,1501.0,71636.0,225824.0,0.575,0.583076923076923,0.25,0.00195312,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.0,16384.0,6400000.0
112.0,16.0,4.0,12.0,1969.0,1503.0,71643.0,226144.0,0.5788461538461539,0.583076923076923,0.5,0.015625,6400000.0
112.0,16.0,4.0,12.0,1984.0,1519.0,72211.0,228704.0,0.5788461538461539,0.5807692307692308,0.000976562,0.125,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,32768.0,2.0,6400000.0
7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4576923076923077,0.4338461538461538,0.0,1.0,6400000.0
7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,0.5,2048.0,6400000.0
7.0,1.0,2.0,6.0,47.0,27.0,1637.0,3424.0,0.45384615384615384,0.4330769230769231,0.5,0.00195312,6400000.0
112.0,16.0,4.0,12.0,1977.0,1510.0,72042.0,227264.0,0.5865384615384616,0.5823076923076923,0.00390625,0.0078125,6400000.0
112.0,16.0,4.0,12.0,1967.0,1502.0,71570.0,225984.0,0.5788461538461539,0.583076923076923,0.0625,0.03125,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,2048.0,512.0,6400000.0
7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.4576923076923077,0.4338461538461538,0.0,0.000976562,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.0625,32768.0,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.25,2048.0,6400000.0
35.0,16.0,4.0,2.0,30.0,45.0,1096.0,2720.0,0.4576923076923077,0.4338461538461538,0.125,256.0,6400000.0
77.0,16.0,4.0,3.0,75.0,118.0,2664.0,9024.0,0.5403846153846154,0.5461538461538461,0.000976562,128.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,1024.0,64.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,8192.0,32768.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,2048.0,0.0,6400000.0
112.0,16.0,4.0,12.0,1159.0,1067.0,41510.0,156384.0,0.5769230769230769,0.5684615384615385,0.0,16.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,16384.0,0.25,6400000.0
7.0,16.0,4.0,1.0,7.0,7.0,287.0,224.0,0.4576923076923077,0.4338461538461538,0.03125,4096.0,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,32768.0,0.00195312,6400000.0
7.0,16.0,2.0,1.0,7.0,7.0,239.0,224.0,0.4576923076923077,0.4338461538461538,16384.0,256.0,6400000.0
