no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
7.0,1.0,8.0,2.0,11.0,9.0,1643.0,544.0,0.4576923076923077,0.4338461538461538,0.00390625,256.0,6400000.0
7.0,1.0,8.0,12.0,319.0,176.0,14098.0,27264.0,0.47307692307692306,0.44461538461538463,0.0,0.5,6400000.0
7.0,1.0,8.0,12.0,318.0,180.0,14129.0,27904.0,0.47307692307692306,0.44384615384615383,0.0,0.0,6400000.0
14.0,2.0,8.0,12.0,613.0,382.0,24869.0,59328.0,0.5423076923076923,0.5123076923076924,0.5,0.000976562,6400000.0
14.0,2.0,8.0,12.0,606.0,382.0,24634.0,59328.0,0.5326923076923077,0.5138461538461538,0.5,1.0,6400000.0
7.0,512.0,8.0,1.0,7.0,7.0,1247.0,224.0,0.4576923076923077,0.4338461538461538,32.0,2048.0,6400000.0
7.0,2.0,8.0,1.0,7.0,7.0,1247.0,224.0,0.4576923076923077,0.4338461538461538,0.5,1024.0,6400000.0
161.0,512.0,8.0,5.0,693.0,731.0,27700.0,96352.0,0.5461538461538461,0.54,32.0,32.0,6400000.0
7.0,512.0,8.0,1.0,7.0,7.0,1247.0,224.0,0.4576923076923077,0.4338461538461538,32.0,8192.0,6400000.0
7.0,512.0,8.0,1.0,7.0,7.0,1247.0,224.0,0.4576923076923077,0.4338461538461538,32.0,32768.0,6400000.0
70.0,512.0,8.0,3.0,68.0,106.0,4087.0,8000.0,0.5346153846153846,0.54,32.0,128.0,6400000.0
112.0,512.0,8.0,3.0,163.0,214.0,7928.0,19904.0,0.5403846153846154,0.5430769230769231,64.0,64.0,6400000.0
371.0,512.0,8.0,6.0,6518.0,6477.0,248309.0,988832.0,0.5884615384615385,0.5838461538461538,32.0,8.0,6400000.0
7.0,512.0,8.0,1.0,7.0,7.0,1247.0,224.0,0.4576923076923077,0.4338461538461538,64.0,4096.0,6400000.0
217.0,512.0,8.0,3.0,1163.0,1222.0,45338.0,167744.0,0.5480769230769231,0.5423076923076923,64.0,16.0,6400000.0
378.0,512.0,8.0,4.0,7420.0,7366.0,287901.0,1130176.0,0.575,0.5653846153846154,64.0,4.0,6400000.0
7.0,512.0,8.0,1.0,7.0,7.0,1247.0,224.0,0.4576923076923077,0.4338461538461538,64.0,1024.0,6400000.0
