no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,val_acc,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,2048.0,256.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,2048.0,0.25,6400000.0
7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.43653846153846154,0.43538461538461537,0.25,1024.0,6400000.0
7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.43653846153846154,0.43538461538461537,0.0625,16384.0,6400000.0
7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,1.0,8192.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,4096.0,2.0,6400000.0
7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.43653846153846154,0.43538461538461537,0.0,0.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,16384.0,128.0,6400000.0
7.0,1.0,2.0,8.0,46.0,27.0,1642.0,3424.0,0.4346153846153846,0.4346153846153846,0.5,0.000976562,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,1024.0,32.0,6400000.0
7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.43653846153846154,0.43538461538461537,0.0,8192.0,6400000.0
56.0,8.0,4.0,8.0,186.0,170.0,6674.0,20032.0,0.4980769230769231,0.5230769230769231,0.000976562,64.0,6400000.0
7.0,1.0,1.0,2.0,11.0,9.0,373.0,544.0,0.43653846153846154,0.43538461538461537,0.00390625,256.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,1024.0,0.03125,6400000.0
56.0,8.0,2.0,2.0,220.0,189.0,7753.0,23072.0,0.49230769230769234,0.49538461538461537,512.0,4.0,6400000.0
56.0,8.0,4.0,12.0,1061.0,772.0,38182.0,116352.0,0.5019230769230769,0.5392307692307692,0.015625,0.25,6400000.0
7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.43653846153846154,0.43538461538461537,0.00390625,4096.0,6400000.0
7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.43653846153846154,0.43538461538461537,0.03125,2048.0,6400000.0
7.0,8.0,4.0,2.0,9.0,8.0,361.0,384.0,0.43653846153846154,0.43538461538461537,0.00195312,512.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,16384.0,0.125,6400000.0
56.0,8.0,4.0,12.0,1075.0,773.0,38661.0,116512.0,0.5019230769230769,0.5392307692307692,0.0625,0.015625,6400000.0
7.0,1.0,2.0,8.0,46.0,27.0,1642.0,3424.0,0.4346153846153846,0.4346153846153846,0.5,1.0,6400000.0
49.0,8.0,4.0,2.0,34.0,63.0,1236.0,3808.0,0.49423076923076925,0.4946153846153846,0.015625,256.0,6400000.0
56.0,8.0,4.0,3.0,59.0,84.0,2117.0,6272.0,0.5,0.5161538461538462,0.125,128.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,32768.0,1.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,8192.0,16.0,6400000.0
56.0,8.0,4.0,12.0,1077.0,773.0,38725.0,116512.0,0.5019230769230769,0.5392307692307692,0.25,0.000976562,6400000.0
7.0,1.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,0.5,1024.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,512.0,4096.0,6400000.0
56.0,8.0,4.0,12.0,1074.0,774.0,38629.0,116672.0,0.5019230769230769,0.5392307692307692,0.000976562,0.0625,6400000.0
56.0,8.0,4.0,12.0,1074.0,773.0,38629.0,116512.0,0.5019230769230769,0.5392307692307692,0.0078125,0.03125,6400000.0
56.0,8.0,4.0,12.0,958.0,770.0,34359.0,116032.0,0.5,0.54,0.00390625,4.0,6400000.0
56.0,8.0,4.0,11.0,347.0,309.0,12269.0,42272.0,0.5,0.5269230769230769,0.0078125,32.0,6400000.0
56.0,8.0,2.0,2.0,249.0,211.0,8947.0,26592.0,0.49230769230769234,0.49538461538461537,512.0,0.00390625,6400000.0
7.0,1.0,1.0,5.0,21.0,14.0,732.0,1344.0,0.43653846153846154,0.43538461538461537,0.0,0.5,6400000.0
56.0,8.0,4.0,12.0,633.0,563.0,22554.0,82912.0,0.4980769230769231,0.5376923076923077,0.0625,16.0,6400000.0
7.0,8.0,4.0,1.0,7.0,7.0,287.0,224.0,0.43653846153846154,0.43538461538461537,0.0078125,32768.0,6400000.0
56.0,8.0,4.0,12.0,1083.0,774.0,38943.0,116672.0,0.5019230769230769,0.5392307692307692,0.00195312,0.0,6400000.0
56.0,8.0,4.0,12.0,884.0,756.0,31677.0,113792.0,0.5,0.5438461538461539,0.5,8.0,6400000.0
56.0,8.0,4.0,12.0,1042.0,786.0,37594.0,118592.0,0.5038461538461538,0.536923076923077,0.25,1.0,6400000.0
56.0,8.0,4.0,12.0,1019.0,785.0,36781.0,118432.0,0.49423076923076925,0.5446153846153846,0.03125,2.0,6400000.0
56.0,8.0,4.0,12.0,1075.0,773.0,38661.0,116512.0,0.5019230769230769,0.5392307692307692,0.5,0.0078125,6400000.0
56.0,8.0,4.0,12.0,885.0,755.0,31715.0,113632.0,0.49230769230769234,0.5392307692307692,0.0,8.0,6400000.0
56.0,8.0,4.0,12.0,1076.0,773.0,38694.0,116512.0,0.5019230769230769,0.5392307692307692,0.03125,0.00195312,6400000.0
56.0,8.0,2.0,2.0,238.0,202.0,8541.0,25152.0,0.49230769230769234,0.49538461538461537,256.0,0.5,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,32768.0,1024.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,1024.0,32768.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,8192.0,0.015625,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,4096.0,0.00195312,6400000.0
7.0,1.0,2.0,8.0,46.0,27.0,1642.0,3424.0,0.4346153846153846,0.4346153846153846,1.0,8.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,4096.0,2048.0,6400000.0
56.0,8.0,4.0,12.0,1057.0,776.0,38093.0,116992.0,0.5057692307692307,0.5376923076923077,0.00195312,0.5,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,32768.0,0.000976562,6400000.0
56.0,8.0,4.0,12.0,1069.0,775.0,38443.0,116832.0,0.5019230769230769,0.54,0.125,0.125,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,256.0,512.0,6400000.0
7.0,8.0,2.0,1.0,7.0,7.0,239.0,224.0,0.43653846153846154,0.43538461538461537,8192.0,16384.0,6400000.0
56.0,8.0,4.0,12.0,1076.0,773.0,38694.0,116512.0,0.5019230769230769,0.5392307692307692,0.00390625,0.00390625,6400000.0
7.0,1.0,2.0,8.0,46.0,27.0,1642.0,3424.0,0.4346153846153846,0.4346153846153846,1.0,0.0078125,6400000.0
