no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
4.0,8.0,2.0,2.0,12.0,8.0,417.0,768.0,0.17633520302887706,512.0,4096.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-0.00021908719740171279,1024.0,32768.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-0.00021908719740171279,8192.0,0.015625,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-0.00021908719740171279,16384.0,0.125,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-0.00021908719740171279,8192.0,16.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,108.0,192.0,0.05530675323248602,0.0,0.5,6400000.0
1.0,1.0,2.0,2.0,7.0,4.0,250.0,512.0,0.08261504155170019,0.5,1.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-0.00021908719740171279,8192.0,16384.0,6400000.0
8.0,8.0,2.0,3.0,51.0,30.0,1777.0,3776.0,0.3731271277144834,256.0,512.0,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,108.0,192.0,0.05530675323248602,0.0,0.0,6400000.0
1.0,1.0,2.0,2.0,7.0,4.0,250.0,512.0,0.08261504155170019,0.5,0.000976562,6400000.0
1.0,1.0,1.0,2.0,3.0,2.0,108.0,192.0,0.05530675323248602,0.00390625,256.0,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,1024.0,32.0,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,1024.0,0.03125,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,4096.0,0.00195312,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,2048.0,0.25,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,4096.0,2.0,6400000.0
8.0,8.0,2.0,2.0,50.0,31.0,1750.0,3936.0,0.36668055382984743,2048.0,256.0,6400000.0
8.0,8.0,2.0,3.0,55.0,32.0,1917.0,4096.0,0.38152685730018365,256.0,0.5,6400000.0
8.0,8.0,2.0,3.0,52.0,32.0,1819.0,4096.0,0.37603594309762667,512.0,0.00390625,6400000.0
8.0,8.0,2.0,2.0,26.0,17.0,902.0,1696.0,0.29096590482381346,4096.0,2048.0,6400000.0
8.0,8.0,2.0,3.0,52.0,32.0,1819.0,4096.0,0.37603594309762667,512.0,4.0,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,1024.0,64.0,6400000.0
8.0,8.0,2.0,3.0,52.0,32.0,1819.0,4096.0,0.37603594309762667,512.0,0.0078125,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,2048.0,0.5,6400000.0
1.0,1.0,2.0,2.0,7.0,4.0,250.0,512.0,0.08261504155170019,0.5,0.00195312,6400000.0
8.0,8.0,2.0,3.0,52.0,32.0,1819.0,4096.0,0.37603594309762667,512.0,8.0,6400000.0
8.0,8.0,2.0,2.0,52.0,32.0,1819.0,4096.0,0.3686388076882595,4096.0,4.0,6400000.0
1.0,8.0,2.0,1.0,1.0,1.0,39.0,32.0,-0.00021908719740171279,8192.0,32.0,6400000.0
