no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
7.0,1.0,1.0,2.0,21.0,14.0,715.0,1344.0,0.48621808387046805,0.00390625,256.0,6400000.0
7.0,1.0,2.0,3.0,23.0,15.0,772.0,1504.0,0.48776709723501116,16.0,32768.0,6400000.0
7.0,1.0,1.0,2.0,21.0,14.0,715.0,1344.0,0.48621808387046805,0.0,0.5,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,1.0,8.0,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,8.0,4.0,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,4.0,0.5,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,1.0,0.0078125,6400000.0
7.0,1.0,2.0,9.0,47.0,28.0,1519.0,3584.0,0.48776709723501116,4.0,512.0,6400000.0
7.0,1.0,2.0,6.0,36.0,25.0,1161.0,3104.0,0.48776709723501116,1.0,8192.0,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,0.5,1.0,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,2.0,64.0,6400000.0
7.0,1.0,1.0,2.0,21.0,14.0,715.0,1344.0,0.48621808387046805,0.0078125,0.00195312,6400000.0
7.0,1.0,2.0,8.0,42.0,27.0,1335.0,3424.0,0.48776709723501116,8.0,4096.0,6400000.0
7.0,1.0,2.0,9.0,46.0,28.0,1484.0,3584.0,0.48776709723501116,0.5,1024.0,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,8.0,0.00390625,6400000.0
7.0,1.0,2.0,10.0,48.0,28.0,1537.0,3584.0,0.48776709723501116,16.0,0.03125,6400000.0
