no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,tinygbdt_forestsize
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,2.0,16384.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,16.0,8192.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,8.0,4096.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,4.0,2048.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,4.0,32768.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,2.0,1024.0,6400000.0
256.0,256.0,1.0,5.0,516.0,512.0,16704.0,49152.0,0.93125,8.0,256.0,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,2.0,6400000.0
256.0,256.0,1.0,9.0,521.0,512.0,16781.0,49152.0,0.93125,8.0,0.00390625,6400000.0
256.0,256.0,1.0,11.0,523.0,512.0,16804.0,49152.0,0.93125,4.0,0.03125,6400000.0
256.0,256.0,1.0,8.0,519.0,512.0,16769.0,49152.0,0.93125,8.0,16.0,6400000.0
256.0,256.0,1.0,7.0,518.0,512.0,16727.0,49152.0,0.925,16.0,32.0,6400000.0
256.0,256.0,1.0,9.0,521.0,512.0,16781.0,49152.0,0.93125,8.0,0.0625,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,0.0078125,6400000.0
256.0,256.0,1.0,8.0,519.0,512.0,16769.0,49152.0,0.93125,4.0,8.0,6400000.0
256.0,256.0,1.0,4.0,515.0,512.0,16693.0,49152.0,0.9109375,16.0,512.0,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,0.0,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,32.0,0.000976562,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,32.0,0.015625,6400000.0
256.0,256.0,1.0,9.0,521.0,512.0,16781.0,49152.0,0.93125,8.0,1.0,6400000.0
256.0,256.0,1.0,11.0,523.0,512.0,16804.0,49152.0,0.93125,4.0,0.00195312,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,0.125,6400000.0
256.0,256.0,1.0,11.0,523.0,512.0,16804.0,49152.0,0.93125,4.0,0.5,6400000.0
256.0,256.0,1.0,5.0,516.0,512.0,16704.0,49152.0,0.93125,4.0,128.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,2.0,32768.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,2.0,2048.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,4.0,4096.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,8.0,8192.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,16.0,1024.0,6400000.0
1.0,256.0,1.0,1.0,1.0,1.0,35.0,32.0,0.53125,16.0,16384.0,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,0.000976562,6400000.0
256.0,256.0,1.0,8.0,519.0,512.0,16769.0,49152.0,0.93125,4.0,16.0,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,0.015625,6400000.0
256.0,256.0,1.0,9.0,521.0,512.0,16781.0,49152.0,0.93125,8.0,0.0078125,6400000.0
256.0,256.0,1.0,11.0,523.0,512.0,16804.0,49152.0,0.934375,4.0,1.0,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,0.25,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,16.0,4.0,6400000.0
256.0,256.0,1.0,11.0,523.0,512.0,16804.0,49152.0,0.93125,4.0,0.00390625,6400000.0
256.0,256.0,1.0,11.0,523.0,512.0,16804.0,49152.0,0.93125,4.0,0.0625,6400000.0
256.0,256.0,1.0,8.0,520.0,512.0,16770.0,49152.0,0.93125,32.0,0.00195312,6400000.0
